Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Set/2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
56;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 51 ; 297.027.716 ; 16 ; 20.067.490 ; 68 ; 24.068.491 ; 166 ; 147.836.499 ; 301 ; 489.000.196 ; 88 ; 640.261.602 ; 155 ; 805.954.216 ; 243 ; 1.446.215.818 ; 544 ; 1.935.216.014 ;;
57;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 40 ; 338.838.130 ; 64 ; 8.681.505 ; 146 ; 284.137.234 ; 242 ; 364.692.718 ; 492 ; 996.349.587 ; 51 ; 304.885.059 ; 82 ; 555.089.588 ; 133 ; 859.974.647 ; 625 ; 1.856.324.234 ;;
58;61.024.352;BANCO VOITER S.A.; 139 ; 117.879.156 ; 987 ; 370.951.276 ; 1.510 ; 367.917.326 ; 7.515 ; 403.370.347 ; 10.151 ; 1.260.118.105 ; 508 ; 423.103.573 ; 484 ; 125.491.010 ; 992 ; 548.594.583 ; 11.143 ; 1.808.712.688 ;;
59;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 1.595 ; 38.329.712 ; 6.269 ; 201.412.469 ; 110.632 ; 232.861.868 ; 319.630 ; 398.382.713 ; 438.126 ; 870.986.762 ; 14.484 ; 484.910.002 ; 1.011 ; 156.119.316 ; 15.495 ; 641.029.318 ; 453.621 ; 1.512.016.080 ;;
60;45.246.410;BANCO GENIAL S.A.; 99 ; 6.869.893 ; 300 ; 34.783.744 ; 2.588 ; 420.895.793 ; 3.210 ; 622.439.748 ; 6.197 ; 1.084.989.178 ; 139 ; 324.281.031 ; 50 ; 93.956.994 ; 189 ; 418.238.025 ; 6.386 ; 1.503.227.203 ;;
61;03.609.817;BANCO CARGILL S.A.; 48 ; 290.819.240 ; 3 ; 253.503 ; 65 ; 87.870.807 ; 515 ; 232.271.861 ; 631 ; 611.215.411 ; 21 ; 345.000.000 ; 14 ; 525.000.000 ; 35 ; 870.000.000 ; 666 ; 1.481.215.411 ;;
62;00.416.968;BANCO INTER S.A.; 121 ; 15.486.262 ; 427 ; 4.589.788 ; 195.646 ; 620.267.116 ; 460.123 ; 494.346.038 ; 656.317 ; 1.134.689.204 ; 69 ; 37.169.283 ; 88 ; 156.329.861 ; 157 ; 193.499.144 ; 656.474 ; 1.328.188.348 ;;
63;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 1.032 ; 27.362.213 ; 7.402 ; 248.694.123 ; 12.885 ; 129.384.870 ; 33.703 ; 229.461.161 ; 55.022 ; 634.902.367 ; 6.093 ; 502.018.003 ; 661 ; 180.584.527 ; 6.754 ; 682.602.530 ; 61.776 ; 1.317.504.897 ;;
64;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 343 ; 142.860 ; 11.588 ; 3.185.632 ; 1.215.405 ; 413.462.161 ; 2.084.257 ; 596.087.215 ; 3.311.593 ; 1.012.877.868 ; 919 ; 237.516.074 ; 1.569 ; 52.527.212 ; 2.488 ; 290.043.286 ; 3.314.081 ; 1.302.921.154 ;;
65;60.889.128;BANCO SOFISA S.A.; 1.886 ; 411.423.691 ; 694 ; 60.298.462 ; 153 ; 25.759.281 ; 998 ; 137.524.405 ; 3.731 ; 635.005.839 ; 87 ; 116.845.785 ; 157 ; 358.391.622 ; 244 ; 475.237.407 ; 3.975 ; 1.110.243.246 ;;
