Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em AGOSTO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
50;61.024.352;BANCO VOITER S.A.; 92 ; 21.989.053 ; 146 ; 24.774.353 ; 126 ; 31.612.612 ; 986 ; 74.947.277 ; 1.350 ; 153.323.296 ; 76 ; 52.835.215 ; 67 ; 8.775.067 ; 143 ; 61.610.282 ; 1.493 ; 214.933.578 ;
51;33.923.798;BANCO MASTER S/A; 91 ; 37.694.793 ; 129 ; 15.537.426 ; 6.462 ; 50.453.102 ; 692 ; 33.862.619 ; 7.374 ; 137.547.939 ; 15 ; 20.207.769 ; 32 ; 56.563.123 ; 47 ; 76.770.892 ; 7.421 ; 214.318.831 ;
52;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 583 ; 59.551.111 ; 507 ; 33.532.320 ; 377 ; 8.951.565 ; 569 ; 10.153.910 ; 2.036 ; 112.188.907 ; 35 ; 34.025.821 ; 50 ; 58.420.169 ; 85 ; 92.445.990 ; 2.121 ; 204.634.897 ;
53;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 861 ; 39.833.193 ; 1.000 ; 56.077.713 ; 791 ; 31.513.280 ; 409 ; 23.519.140 ; 3.061 ; 150.943.327 ; 11 ; 24.130.957 ; 6 ; 15.863.852 ; 17 ; 39.994.810 ; 3.078 ; 190.938.136 ;
54;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 1 ; 156.512 ; 29 ; 9.469.633 ; 27 ; 111.171.359 ; 35 ; 30.356.159 ; 92 ; 151.153.662 ; 14 ; 13.589.812 ; 7 ; 20.271.264 ; 21 ; 33.861.077 ; 113 ; 185.014.739 ;
55;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 145 ; 3.277.554 ; 1.126 ; 34.245.656 ; 632 ; 14.589.208 ; 1.748 ; 25.558.747 ; 3.651 ; 77.671.164 ; 882 ; 59.730.156 ; 72 ; 17.909.631 ; 954 ; 77.639.787 ; 4.605 ; 155.310.951 ;
56;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 12.173 ; 41.982.450 ; 21.843 ; 66.239.814 ; 34.016 ; 108.222.264 ; 101 ; 31.958.156 ; 395 ; 5.871.440 ; 496 ; 37.829.596 ; 34.512 ; 146.051.860 ;
57;61.186.680;BANCO BMG S.A.; 8 ; 13.123.517 ;;; 28 ; 9.715.507 ; 51 ; 2.454.014 ; 87 ; 25.293.038 ; 4 ; 62.000.000 ; 7 ; 57.466.475 ; 11 ; 119.466.475 ; 98 ; 144.759.513 ;
58;02.318.507;BANCO KEB HANA DO BRASIL S.A.; 2 ; 60.371 ; 18 ; 3.839.013 ; 49 ; 40.311.293 ; 149 ; 27.973.713 ; 218 ; 72.184.390 ; 59 ; 27.981.626 ; 7 ; 36.571.900 ; 66 ; 64.553.526 ; 284 ; 136.737.917 ;
59;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 23 ; 17.264.741 ; 23 ; 22.453.838 ; 10 ; 547.847 ; 80 ; 4.422.070 ; 136 ; 44.688.497 ; 15 ; 60.619.314 ; 13 ; 30.614.840 ; 28 ; 91.234.154 ; 164 ; 135.922.651 ;
60;45.246.410;BANCO GENIAL S.A.; 6 ; 346.015 ; 30 ; 3.412.379 ; 263 ; 16.486.874 ; 309 ; 60.872.285 ; 608 ; 81.117.552 ; 22 ; 51.413.674 ; 4 ; 558.617 ; 26 ; 51.972.291 ; 634 ; 133.089.843 ;
61;60.889.128;BANCO SOFISA S.A.; 191 ; 56.036.109 ; 75 ; 9.406.779 ; 19 ; 3.399.430 ; 101 ; 4.053.495 ; 386 ; 72.895.814 ; 9 ; 246.688 ; 21 ; 59.247.605 ; 30 ; 59.494.293 ; 416 ; 132.390.106 ;
62;62.144.175;BANCO PINE S.A.; 25 ; 15.812.518 ; 305 ; 50.177.366 ; 7 ; 88.425 ; 43 ; 11.920.685 ; 380 ; 77.998.994 ; 11 ; 32.749.000 ; 6 ; 13.243.000 ; 17 ; 45.992.000 ; 397 ; 123.990.994 ;
