Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JANEIRO / 2019;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
50;62.144.175;BANCO PINE S.A.; 15 ; 8.214.414 ; 8 ; 406.920 ; 2 ; 62.405.907 ; 28 ; 1.631.714 ; 53 ; 72.658.954 ; 3 ; 45.148.380 ; 5 ; 67.847.446 ; 8 ; 112.995.826 ; 61 ; 185.654.780 
51;07.679.404;BANCO TOPÁZIO S.A.; 5 ; 1.095.483 ; 4 ; 130.948 ; 58 ; 2.101.969 ; 305 ; 91.615.706 ; 372 ; 94.944.106 ; 182 ; 88.742.420 ; 3 ; 163.451 ; 185 ; 88.905.871 ; 557 ; 183.849.977 
52;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 1 ; 815 ; 36 ; 789.726 ; 990 ; 39.619.837 ; 6.795 ; 77.591.312 ; 7.822 ; 118.001.690 ; 339 ; 53.669.351 ; 549 ; 10.665.856 ; 888 ; 64.335.207 ; 8.710 ; 182.336.897 
53;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 207 ; 4.507.125 ; 1.834 ; 32.927.851 ; 1.749 ; 12.752.190 ; 4.661 ; 33.719.758 ; 8.451 ; 83.906.924 ; 429 ; 68.731.993 ; 95 ; 19.463.262 ; 524 ; 88.195.254 ; 8.975 ; 172.102.178 
54;15.114.366;BANCO BOCOM BBM S.A.; 15 ; 7.843.701 ; 27 ; 931.554 ; 15 ; 46.094.627 ; 109 ; 35.969.875 ; 166 ; 90.839.757 ; 4 ; 20.156.882 ; 6 ; 55.157.241 ; 10 ; 75.314.123 ; 176 ; 166.153.880 
55;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; 20 ; 2.926.892 ; 37 ; 950.083 ; 9 ; 2.184.723 ; 53 ; 51.813.086 ; 119 ; 57.874.784 ; 14 ; 69.558.662 ; 11 ; 37.308.662 ; 25 ; 106.867.324 ; 144 ; 164.742.108 
56;59.118.133;BANCO LUSO BRASILEIRO S.A.; 56 ; 4.414.514 ; 313 ; 37.854.915 ; 72 ; 12.610.860 ; 195 ; 22.464.095 ; 636 ; 77.344.384 ; 309 ; 63.955.167 ; 96 ; 20.661.604 ; 405 ; 84.616.771 ; 1.041 ; 161.961.155 
57;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 29 ; 61.233.871 ; 21 ; 20.976.135 ; 50 ; 82.210.007 ; 15 ; 19.535.928 ; 18 ; 59.675.494 ; 33 ; 79.211.422 ; 83 ; 161.421.429 
58;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 898 ; 10.853.484 ; 3.857 ; 62.833.013 ; 4.755 ; 73.686.497 ; 2.941 ; 52.418.955 ; 35 ; 1.671.956 ; 2.976 ; 54.090.911 ; 7.731 ; 127.777.408 
59;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 26 ; 479.725 ; 237 ; 3.237.557 ; 1.463 ; 10.672.549 ; 4.542 ; 59.895.709 ; 6.268 ; 74.285.540 ; 895 ; 52.148.553 ; 2 ; 10.674 ; 897 ; 52.159.227 ; 7.165 ; 126.444.767 
