Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Dez/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
52;92.894.922;BANCO ORIGINAL S.A.; 194 ; 225.230.119 ; 1.366 ; 184.695.053 ; 432 ; 321.316.931 ; 2.223 ; 89.036.586 ; 4.215 ; 820.278.688 ; 137 ; 178.782.225 ; 52 ; 495.737.576 ; 189 ; 674.519.802 ; 4.404 ; 1.494.798.490 ;
53;61.186.680;BANCO BMG S.A.; 121 ; 324.409.665 ; 27 ; 10.126.279 ; 31 ; 47.189.927 ; 199 ; 269.840.102 ; 378 ; 651.565.972 ; 44 ; 365.140.073 ; 80 ; 477.171.630 ; 124 ; 842.311.703 ; 502 ; 1.493.877.676 ;
54;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 6 ; 1.288.611 ; 437 ; 223.489.149 ; 455 ; 446.179.712 ; 2.414 ; 215.987.229 ; 3.312 ; 886.944.700 ; 383 ; 272.904.109 ; 114 ; 280.873.445 ; 497 ; 553.777.554 ; 3.809 ; 1.440.722.254 ;
55;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 1.630 ; 41.150.687 ; 15.867 ; 328.563.327 ; 13.544 ; 145.150.834 ; 35.672 ; 290.636.613 ; 66.713 ; 805.501.461 ; 7.584 ; 531.284.001 ; 2.050 ; 98.428.710 ; 9.634 ; 629.712.711 ; 76.347 ; 1.435.214.172 ;
56;59.118.133;BANCO LUSO BRASILEIRO S.A.; 1.256 ; 273.062.328 ; 1.510 ; 186.714.484 ; 443 ; 154.347.576 ; 2.941 ; 147.530.617 ; 6.150 ; 761.655.004 ; 2.398 ; 288.484.126 ; 1.516 ; 381.652.535 ; 3.914 ; 670.136.661 ; 10.064 ; 1.431.791.665 ;
57;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS; 61 ; 4.772.255 ;;; 846 ; 4.674.754 ; 1.706 ; 16.407.039 ; 2.613 ; 25.854.048 ; 3.414 ; 704.209.027 ; 1.738 ; 697.226.322 ; 5.152 ; 1.401.435.349 ; 7.765 ; 1.427.289.397 ;
58;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 428 ; 8.186.642 ; 1.959 ; 23.381.387 ; 15.075 ; 103.789.711 ; 56.936 ; 632.170.892 ; 74.398 ; 767.528.631 ; 8.852 ; 545.678.654 ; 64 ; 1.972.524 ; 8.916 ; 547.651.178 ; 83.314 ; 1.315.179.810 ;
59;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 33 ; 284.746 ; 373 ; 3.557.927 ; 6.578 ; 258.908.081 ; 11.902 ; 603.408.592 ; 18.886 ; 866.159.346 ; 7.824 ; 393.658.368 ; 3.628 ; 42.150.395 ; 11.452 ; 435.808.763 ; 30.338 ; 1.301.968.109 ;
60;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 136 ; 1.763.488 ; 1.782 ; 27.598.118 ; 4.528 ; 47.088.875 ; 15.134 ; 211.580.281 ; 21.580 ; 288.030.763 ; 23.397 ; 598.952.006 ; 3.517 ; 408.597.246 ; 26.914 ; 1.007.549.252 ; 48.494 ; 1.295.580.015 ;
61;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 39 ; 50.290.228 ; 82 ; 29.047.515 ; 156 ; 142.348.333 ; 1.048 ; 74.667.383 ; 1.325 ; 296.353.460 ; 169 ; 452.483.552 ; 195 ; 517.468.515 ; 364 ; 969.952.067 ; 1.689 ; 1.266.305.527 ;
