Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em setembro/2025.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
39;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 82 ; 55.779.657 ; 600 ; 85.067.871 ; 84 ; 29.463.381 ; 594 ; 49.804.654 ; 1.360 ; 220.115.563 ; 96 ; 407.079.272 ; 122 ; 310.015.664 ; 218 ; 717.094.936 ; 1.578 ; 937.210.499 ;
40;58.616.418;BANCO FIBRA S.A.;BCO FIBRA S.A. - PRUDENCIAL; 103 ; 59.878.925 ; 439 ; 122.135.259 ; 30 ; 17.532.389 ; 128 ; 12.021.797 ; 700 ; 211.568.370 ; 59 ; 361.452.188 ; 67 ; 363.337.546 ; 126 ; 724.789.734 ; 826 ; 936.358.104 ;
41;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;JP MORGAN CHASE - PRUDENCIAL; -   ; -   ; -   ; -   ; 17 ; 10.539.813 ; 31 ; 436.827.123 ; 48 ; 447.366.936 ; 32 ; 436.852.181 ; 17 ; 10.539.813 ; 49 ; 447.391.994 ; 97 ; 894.758.930 ;
42;00.360.305;CAIXA ECONOMICA FEDERAL;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL; 102 ; 93.059.100 ; 92 ; 3.210.117 ; 7.149 ; 176.541.727 ; 2.505 ; 46.053.842 ; 9.848 ; 318.864.786 ; 139 ; 179.187.377 ; 162 ; 384.507.975 ; 301 ; 563.695.352 ; 10.149 ; 882.560.138 ;
43;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 52 ; 3.263.756 ; 296 ; 183.292.428 ; 3.638 ; 54.163.911 ; 542 ; 29.012.765 ; 4.528 ; 269.732.860 ; 64 ; 321.476.124 ; 35 ; 168.764.628 ; 99 ; 490.240.752 ; 4.627 ; 759.973.612 ;
44;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 165 ; 24.793.761 ; 799 ; 7.373.864 ; 29.058 ; 107.124.501 ; 73.846 ; 210.044.767 ; 103.868 ; 349.336.893 ; 603 ; 218.223.369 ; 2.365 ; 160.161.055 ; 2.968 ; 378.384.424 ; 106.836 ; 727.721.317 ;
45;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;BNDES - PRUDENCIAL; 51 ; 66.982.175 ; -   ; -   ; 51 ; 52.312.825 ; 2 ; 18.714 ; 104 ; 119.313.714 ; -   ; -   ; 15 ; 479.500.000 ; 15 ; 479.500.000 ; 119 ; 598.813.714 ;
46;61.384.004;AVENUE SECURITIES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;AVENUE SECURITIES DTVM - PRUDENCIAL; -   ; -   ; -   ; -   ; 11.630 ; 27.830.800 ; 111.801 ; 282.144.356 ; 123.431 ; 309.975.156 ; 318 ; 254.596.265 ; -   ; -   ; 318 ; 254.596.265 ; 123.749 ; 564.571.421 ;
47;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;BANRISUL - PRUDENCIAL; 583 ; 109.865.863 ; 948 ; 56.121.806 ; 402 ; 81.779.820 ; 499 ; 21.282.355 ; 2.432 ; 269.049.844 ; 70 ; 48.471.402 ; 87 ; 160.370.942 ; 157 ; 208.842.344 ; 2.589 ; 477.892.188 ;
48;07.450.604;BANK OF CHINA (BRASIL) BANCO MÚLTIPLO S/A;BANK OF CHINA (BRASIL) - PRUDENCIAL; 37 ; 140.004.360 ; 89 ; 33.815.842 ; 26 ; 17.326.478 ; 111 ; 28.855.515 ; 263 ; 220.002.195 ; 42 ; 68.644.461 ; 38 ; 163.813.989 ; 80 ; 232.458.450 ; 343 ; 452.460.645 ;
