Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em NOVEMBRO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
36;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 118 ; 20.549.763 ; 682 ; 130.612.481 ; 322 ; 126.841.358 ; 460 ; 59.962.056 ; 1.582 ; 337.965.659 ; 62 ; 165.054.736 ; 61 ; 120.203.608 ; 123 ; 285.258.344 ; 1.705 ; 623.224.003 ;
37;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 56 ; 71.576.459 ; 259 ; 55.692.579 ; 21 ; 77.268.102 ; 224 ; 138.786.441 ; 560 ; 343.323.581 ; 54 ; 192.629.499 ; 30 ; 83.108.081 ; 84 ; 275.737.580 ; 644 ; 619.061.161 ;
38;13.059.145;BEXS BANCO DE CÂMBIO S/A; 60 ; 78.982.783 ; 180 ; 8.529.090 ; 10.335 ; 45.130.095 ; 95.039 ; 179.813.407 ; 105.614 ; 312.455.375 ; 504 ; 153.044.996 ; 54 ; 88.778.497 ; 558 ; 241.823.493 ; 106.172 ; 554.278.868 ;
39;71.027.866;BANCO BS2 S.A.; 328 ; 42.404.944 ; 1.118 ; 43.192.875 ; 8.015 ; 135.540.583 ; 11.191 ; 116.808.452 ; 20.652 ; 337.946.853 ; 33 ; 73.716.086 ; 30 ; 80.424.913 ; 63 ; 154.140.999 ; 20.715 ; 492.087.852 ;
40;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;;;; 103 ; 132.938.848 ; 144 ; 192.959.622 ; 247 ; 325.898.470 ; 10 ; 51.002.944 ; 11 ; 75.999.993 ; 21 ; 127.002.937 ; 268 ; 452.901.408 ;
41;33.923.798;BANCO MASTER S/A; 63 ; 134.928.099 ; 98 ; 8.780.931 ; 3.094 ; 34.324.988 ; 322 ; 33.819.302 ; 3.577 ; 211.853.319 ; 19 ; 36.527.780 ; 30 ; 156.868.851 ; 49 ; 193.396.631 ; 3.626 ; 405.249.950 ;
42;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 204 ; 6.278.377 ; 1.646 ; 37.460.590 ; 2.354 ; 52.785.974 ; 4.208 ; 83.594.810 ; 8.412 ; 180.119.751 ; 439 ; 79.451.788 ; 101 ; 17.593.858 ; 540 ; 97.045.646 ; 8.952 ; 277.165.397 ;
43;07.656.500;BANCO KDB DO BRASIL S.A.;;; 4 ; 1.909.754 ; 99 ; 56.633.976 ; 293 ; 62.170.111 ; 396 ; 120.713.841 ; 43 ; 79.356.892 ; 29 ; 71.900.000 ; 72 ; 151.256.892 ; 468 ; 271.970.732 ;
44;00.997.185;BANCO B3 S.A.;;;;; 159 ; 80.082.531 ; 152 ; 111.772.804 ; 311 ; 191.855.335 ; 35 ; 52.067.089 ; 31 ; 20.382.082 ; 66 ; 72.449.171 ; 377 ; 264.304.506 ;
45;28.811.341;STONEX BANCO DE CÂMBIO S.A.; 81 ; 12.391.030 ; 64 ; 3.679.266 ; 3.436 ; 108.660.176 ; 178 ; 9.559.380 ; 3.759 ; 134.289.852 ; 84 ; 10.737.806 ; 154 ; 118.549.824 ; 238 ; 129.287.630 ; 3.997 ; 263.577.482 ;
46;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 28 ; 2.127.236 ; 154 ; 10.163.689 ; 297 ; 52.446.640 ; 623 ; 73.340.730 ; 1.102 ; 138.078.296 ; 210 ; 52.953.260 ; 102 ; 23.980.050 ; 312 ; 76.933.310 ; 1.414 ; 215.011.606 ;
47;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 856 ; 51.109.507 ; 911 ; 34.156.379 ; 838 ; 21.919.006 ; 420 ; 37.666.395 ; 3.025 ; 144.851.287 ; 18 ; 35.659.213 ; 9 ; 24.446.908 ; 27 ; 60.106.121 ; 3.052 ; 204.957.408 ;
48;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 197 ; 4.285.464 ; 733 ; 24.279.219 ; 3.146 ; 29.803.464 ; 3.120 ; 55.064.994 ; 7.196 ; 113.433.142 ; 1.522 ; 63.223.954 ; 98 ; 17.883.030 ; 1.620 ; 81.106.984 ; 8.816 ; 194.540.126 ;
49;15.114.366;BANCO BOCOM BBM S.A.; 7 ; 15.504.395 ; 36 ; 11.281.379 ; 34 ; 86.595.988 ; 227 ; 17.151.190 ; 304 ; 130.532.952 ; 9 ; 31.329.606 ; 9 ; 21.260.601 ; 18 ; 52.590.208 ; 322 ; 183.123.160 ;
50;10.690.848;BANCO DA CHINA BRASIL S.A.; 10 ; 6.848.353 ; 20 ; 2.090.599 ; 38 ; 22.688.116 ; 44 ; 30.280.793 ; 112 ; 61.907.861 ; 41 ; 60.651.584 ; 36 ; 57.798.800 ; 77 ; 118.450.384 ; 189 ; 180.358.245 ;
51;30.723.886;BANCO MODAL S.A.; 8 ; 1.012.254 ; 4 ; 147.711 ; 122 ; 45.260.528 ; 170 ; 56.690.809 ; 304 ; 103.111.301 ; 6 ; 42.005.852 ; 4 ; 27.005.909 ; 10 ; 69.011.761 ; 314 ; 172.123.062 ;
52;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 1 ; 3.000.050 ; 7 ; 4.926.083 ; 9 ; 73.785.158 ; 38 ; 1.567.286 ; 55 ; 83.278.577 ; 1 ; 2.500.000 ; 2 ; 70.000.000 ; 3 ; 72.500.000 ; 58 ; 155.778.577 ;
53;45.246.410;BANCO GENIAL S.A.; 5 ; 869.997 ; 23 ; 2.399.385 ; 272 ; 39.755.706 ; 368 ; 53.289.540 ; 668 ; 96.314.629 ; 16 ; 37.052.361 ; 6 ; 22.143.945 ; 22 ; 59.196.306 ; 690 ; 155.510.935 ;
54;62.144.175;BANCO PINE S.A.; 19 ; 51.790.065 ; 193 ; 40.201.483 ; 5 ; 946.408 ; 44 ; 7.023.501 ; 261 ; 99.961.457 ; 11 ; 25.290.300 ; 12 ; 24.542.988 ; 23 ; 49.833.288 ; 284 ; 149.794.745 ;
55;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 572 ; 39.584.500 ; 490 ; 34.232.382 ; 369 ; 5.999.330 ; 502 ; 11.659.901 ; 1.933 ; 91.476.113 ; 31 ; 27.634.711 ; 39 ; 27.461.539 ; 70 ; 55.096.250 ; 2.003 ; 146.572.363 ;
56;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 14.584 ; 44.823.314 ; 23.943 ; 64.066.241 ; 38.527 ; 108.889.555 ; 102 ; 28.461.039 ; 249 ; 6.839.232 ; 351 ; 35.300.271 ; 38.878 ; 144.189.826 ;
57;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 116 ; 2.947.182 ; 975 ; 29.705.381 ; 746 ; 17.795.672 ; 1.629 ; 22.694.256 ; 3.466 ; 73.142.491 ; 664 ; 50.736.567 ; 83 ; 19.053.871 ; 747 ; 69.790.438 ; 4.213 ; 142.932.929 ;
58;71.677.850;FRENTE CORRETORA DE CÂMBIO LTDA.; 5 ; 69.945 ; 55 ; 1.101.132 ; 469 ; 37.094.856 ; 1.847 ; 62.859.298 ; 2.376 ; 101.125.231 ; 498 ; 31.520.405 ; 19 ; 6.805.017 ; 517 ; 38.325.422 ; 2.893 ; 139.450.653 ;
59;00.416.968;BANCO INTER S.A.; 35 ; 1.108.254 ; 8 ; 113.194 ; 11.669 ; 67.732.240 ; 17.691 ; 36.846.786 ; 29.403 ; 105.800.473 ; 4 ; 339.051 ; 9 ; 31.164.500 ; 13 ; 31.503.550 ; 29.416 ; 137.304.024 ;
60;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 5 ; 1.680.220 ; 16 ; 2.650.633 ; 25 ; 57.468.726 ; 34 ; 14.024.388 ; 80 ; 75.823.967 ; 9 ; 3.453.428 ; 19 ; 56.585.494 ; 28 ; 60.038.922 ; 108 ; 135.862.890 ;
61;02.318.507;BANCO KEB HANA DO BRASIL S.A.;;; 34 ; 48.344.768 ; 49 ; 11.671.041 ; 115 ; 9.274.044 ; 198 ; 69.289.854 ; 54 ; 54.718.625 ; 11 ; 8.791.918 ; 65 ; 63.510.543 ; 263 ; 132.800.397 ;
62;61.024.352;BANCO VOITER S.A.; 23 ; 5.124.447 ; 179 ; 33.242.382 ; 168 ; 31.512.371 ; 499 ; 35.977.829 ; 869 ; 105.857.029 ; 42 ; 23.324.038 ; 39 ; 3.325.216 ; 81 ; 26.649.255 ; 950 ; 132.506.284 ;
