Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mar/2020;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
50;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 1.868 ; 162.031.821 ; 3.115 ; 120.101.220 ; 1.318 ; 22.839.194 ; 2.819 ; 101.508.155 ; 9.120 ; 406.480.390 ; 89 ; 104.800.399 ; 67 ; 65.271.782 ; 156 ; 170.072.181 ; 9.276 ; 576.552.571 ;;;;
51;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 19 ; 77.021.813 ; 37 ; 2.089.155 ; 39 ; 30.460.470 ; 140 ; 6.327.949 ; 235 ; 115.899.387 ; 23 ; 180.247.573 ; 37 ; 279.216.627 ; 60 ; 459.464.201 ; 295 ; 575.363.587 ;;;;
52;45.246.410;PLURAL S.A. BANCO MÚLTIPLO; 49 ; 3.907.979 ; 196 ; 17.686.807 ; 569 ; 77.998.849 ; 996 ; 228.344.376 ; 1.810 ; 327.938.010 ; 133 ; 187.112.929 ; 26 ; 22.951.267 ; 159 ; 210.064.196 ; 1.969 ; 538.002.205 ;;;;
53;03.609.817;BANCO CARGILL S.A.; 63 ; 104.352.348 ; 3 ; 243.723 ; 1 ; 17.500 ; 54 ; 17.703.674 ; 121 ; 122.317.244 ; 4 ; 109.000.000 ; 6 ; 286.500.000 ; 10 ; 395.500.000 ; 131 ; 517.817.244 ;;;;
54;92.894.922;BANCO ORIGINAL S.A.; 64 ; 111.825.985 ; 62 ; 39.493.811 ; 175 ; 3.120.927 ; 448 ; 18.811.729 ; 749 ; 173.252.451 ; 17 ; 5.665.595 ; 27 ; 293.664.756 ; 44 ; 299.330.351 ; 793 ; 472.582.801 ;;;;
55;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 549 ; 11.455.130 ; 4.124 ; 60.235.539 ; 5.298 ; 46.686.035 ; 11.068 ; 71.545.366 ; 21.039 ; 189.922.070 ; 1.469 ; 177.430.122 ; 604 ; 103.738.797 ; 2.073 ; 281.168.920 ; 23.112 ; 471.090.989 ;;;;
56;07.679.404;BANCO TOPÁZIO S.A.; 11 ; 4.138.193 ; 16 ; 389.834 ; 1.988 ; 9.708.304 ; 706 ; 219.962.107 ; 2.721 ; 234.198.437 ; 358 ; 211.565.523 ; 32 ; 5.063.453 ; 390 ; 216.628.976 ; 3.111 ; 450.827.413 ;;;;
57;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 49 ; 5.855.905 ; 64 ; 4.183.612 ; 7.677 ; 184.290.212 ; 641 ; 22.877.618 ; 8.431 ; 217.207.347 ; 210 ; 17.569.888 ; 374 ; 180.654.082 ; 584 ; 198.223.971 ; 9.015 ; 415.431.318 ;;;;
58;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 14 ; 85.174.593 ; 35 ; 54.690.877 ; 4 ; 10.154.882 ; 324 ; 37.634.829 ; 377 ; 187.655.180 ; 35 ; 101.190.000 ; 18 ; 100.850.000 ; 53 ; 202.040.000 ; 430 ; 389.695.180 ;;;;
59;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; 16 ; 735.793 ; 38 ; 647.731 ; 17 ; 1.662.966 ; 80 ; 74.235.374 ; 151 ; 77.281.865 ; 23 ; 179.000.000 ; 14 ; 102.000.000 ; 37 ; 281.000.000 ; 188 ; 358.281.865 ;;;;
60;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 4.769 ; 109.972.911 ; 38.095 ; 152.299.371 ; 42.864 ; 262.272.282 ; 514 ; 61.994.520 ; 777 ; 18.349.953 ; 1.291 ; 80.344.473 ; 44.155 ; 342.616.755 ;;;;
61;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 2 ; 6.403.041 ; 14 ; 4.454.980 ; 29 ; 16.551.790 ; 135 ; 18.519.415 ; 180 ; 45.929.226 ; 18 ; 145.181.632 ; 14 ; 65.166.832 ; 32 ; 210.348.464 ; 212 ; 256.277.690 ;;;;
62;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 17 ; 924.671 ; 151 ; 6.174.564 ; 881 ; 33.753.795 ; 3.746 ; 82.595.224 ; 4.795 ; 123.448.254 ; 839 ; 81.890.936 ; 237 ; 27.710.341 ; 1.076 ; 109.601.277 ; 5.871 ; 233.049.532 ;;;;
63;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 92 ; 95.819.659 ; 102 ; 7.194.122 ; 180 ; 3.481.149 ; 202 ; 6.721.079 ; 576 ; 113.216.010 ; 104 ; 14.198.929 ; 88 ; 105.199.425 ; 192 ; 119.398.354 ; 768 ; 232.614.363 ;;;;
64;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 1.636 ; 67.439.078 ; 1.354 ; 37.479.406 ; 1.101 ; 20.963.005 ; 696 ; 34.948.748 ; 4.787 ; 160.830.238 ; 43 ; 29.620.721 ; 43 ; 39.578.366 ; 86 ; 69.199.088 ; 4.873 ; 230.029.325 ;;;;
65;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 2.840 ; 33.926.182 ; 7.656 ; 102.045.272 ; 10.496 ; 135.971.454 ; 6.289 ; 76.148.456 ; 407 ; 15.172.128 ; 6.696 ; 91.320.584 ; 17.192 ; 227.292.038 ;;;;
66;61.186.680;BANCO BMG S.A.; 10 ; 10.531.462 ; 7 ; 4.616.106 ; 4 ; 118.187 ; 103 ; 17.303.634 ; 124 ; 32.569.389 ; 9 ; 78.352.560 ; 5 ; 106.000.000 ; 14 ; 184.352.560 ; 138 ; 216.921.949 ;;;;
67;33.042.953;CITIBANK N.A.;;;;; 3 ; 339.597 ; 24 ; 4.220.270 ; 27 ; 4.559.867 ;;; 2 ; 208.731.501 ; 2 ; 208.731.501 ; 29 ; 213.291.368 ;;;;
68;59.118.133;BANCO LUSO BRASILEIRO S.A.; 152 ; 11.935.689 ; 511 ; 66.566.144 ; 126 ; 17.408.167 ; 277 ; 14.556.810 ; 1.066 ; 110.466.810 ; 476 ; 77.161.783 ; 253 ; 24.387.314 ; 729 ; 101.549.097 ; 1.795 ; 212.015.907 ;;;;
69;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 256 ; 3.787.666 ; 2.388 ; 47.819.705 ; 1.769 ; 24.176.019 ; 4.264 ; 40.149.999 ; 8.677 ; 115.933.389 ; 2.111 ; 76.681.875 ; 142 ; 16.743.994 ; 2.253 ; 93.425.869 ; 10.930 ; 209.359.258 ;;;;
70;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 133 ; 1.962.283 ; 574 ; 6.924.443 ; 4.429 ; 35.369.483 ; 9.141 ; 93.098.322 ; 14.277 ; 137.354.532 ; 1.919 ; 65.708.472 ; 82 ; 3.171.942 ; 2.001 ; 68.880.415 ; 16.278 ; 206.234.946 ;;;;
71;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 45 ; 27.009.462 ; 37 ; 6.041.040 ; 45 ; 55.712.674 ; 125 ; 23.392.022 ; 252 ; 112.155.197 ; 16 ; 1.723.335 ; 27 ; 53.825.241 ; 43 ; 55.548.577 ; 295 ; 167.703.774 ;;;;
