Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MARÇO / 2016;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
49;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 1 ; 73.386 ; 51 ; 27.725.323 ; 27 ; 30.283.005 ; 316 ; 24.580.177 ; 395 ; 82.661.890 ; 56 ; 40.678.185 ; 4 ; 18.800.000 ; 60 ; 59.478.185 ; 455 ; 142.140.075 ;;;;
50;33.923.798;BANCO MÁXIMA S.A.; 24 ; 399.500 ; 191 ; 5.462.502 ; 32 ; 1.207.986 ; 138 ; 2.642.243 ; 385 ; 9.712.231 ; 62 ; 69.049.998 ; 256 ; 61.921.269 ; 318 ; 130.971.267 ; 703 ; 140.683.498 ;;;;
51;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 26 ; 317.766 ; 167 ; 1.553.234 ; 1.178 ; 7.788.799 ; 5.781 ; 66.179.936 ; 7.152 ; 75.839.735 ; 887 ; 59.571.718 ; 8 ; 202.494 ; 895 ; 59.774.212 ; 8.047 ; 135.613.947 ;;;;
52;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;; 110 ; 132.518 ; 1.183 ; 5.156.514 ; 1.293 ; 5.289.032 ; 443 ; 65.441.821 ; 97 ; 59.032.575 ; 540 ; 124.474.396 ; 1.833 ; 129.763.428 ;;;;
53;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 114 ; 2.869.537 ; 1.297 ; 26.353.524 ; 1.193 ; 10.594.439 ; 3.580 ; 30.965.257 ; 6.184 ; 70.782.756 ; 701 ; 49.035.070 ; 123 ; 5.232.787 ; 824 ; 54.267.857 ; 7.008 ; 125.050.613 ;;;;
54;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;; 9 ; 52.634 ; 681 ; 8.738.522 ; 2.940 ; 58.414.339 ; 3.630 ; 67.205.494 ; 1.878 ; 49.402.995 ; 56 ; 618.773 ; 1.934 ; 50.021.767 ; 5.564 ; 117.227.262 ;;;;
55;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 74 ; 1.569.982 ; 1.061 ; 23.738.301 ; 795 ; 9.004.832 ; 4.730 ; 32.770.392 ; 6.660 ; 67.083.508 ; 1.120 ; 46.528.309 ; 8 ; 710.422 ; 1.128 ; 47.238.731 ; 7.788 ; 114.322.239 ;;;;
56;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 3 ; 11.439 ; 33 ; 377.100 ; 532 ; 19.752.529 ; 1.068 ; 50.392.358 ; 1.636 ; 70.533.426 ; 784 ; 36.633.420 ; 241 ; 2.840.380 ; 1.025 ; 39.473.800 ; 2.661 ; 110.007.226 ;;;;
57;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES; 27 ; 10.008.516 ;;; 5 ; 271.628 ; 15 ; 183.160 ; 47 ; 10.463.303 ; 29 ; 43.120.000 ; 48 ; 54.600.000 ; 77 ; 97.720.000 ; 124 ; 108.183.303 ;;;;
58;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 53 ; 167.001 ; 155 ; 1.983.545 ; 208 ; 2.150.545 ; 269 ; 52.805.768 ; 138 ; 50.988.367 ; 407 ; 103.794.135 ; 615 ; 105.944.681 ;;;;
59;61.186.680;BANCO BMG S.A.; 4 ; 22.742.836 ; 1 ; 71.367 ; 1 ; 72.625 ; 21 ; 7.602.813 ; 27 ; 30.489.641 ; 4 ; 28.129.077 ; 5 ; 45.805.588 ; 9 ; 73.934.665 ; 36 ; 104.424.306 ;;;;
60;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 20 ; 363.759 ; 986 ; 29.067.813 ; 340 ; 3.523.908 ; 1.246 ; 13.585.330 ; 2.592 ; 46.540.810 ; 1.497 ; 46.522.132 ; 179 ; 7.733.127 ; 1.676 ; 54.255.260 ; 4.268 ; 100.796.069 ;;;;
61;92.894.922;BANCO ORIGINAL S.A.; 12 ; 45.325.758 ; 77 ; 10.383.458 ; 24 ; 1.246 ; 301 ; 5.461.235 ; 414 ; 61.171.697 ; 17 ; 6.952.215 ; 8 ; 31.558.883 ; 25 ; 38.511.099 ; 439 ; 99.682.795 ;;;;
62;59.118.133;BANCO LUSO BRASILEIRO S.A.; 40 ; 13.380.668 ; 112 ; 10.687.446 ; 16 ; 2.782.361 ; 457 ; 19.752.135 ; 625 ; 46.602.611 ; 206 ; 32.495.204 ; 51 ; 18.225.263 ; 257 ; 50.720.467 ; 882 ; 97.323.077 ;;;;
63;11.495.073;OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA; 2 ; 13.424 ; 95 ; 6.774.680 ; 771 ; 3.546.744 ; 1.792 ; 16.794.402 ; 2.660 ; 27.129.251 ; 1.627 ; 44.935.808 ; 61 ; 24.919.324 ; 1.688 ; 69.855.132 ; 4.348 ; 96.984.383 ;;;;
64;05.452.073;ALBATROSS CORRETORA DE CAMBIO E VALORES S.A;;; 152 ; 4.430.576 ; 55 ; 499.042 ; 913 ; 13.350.356 ; 1.120 ; 18.279.974 ; 1.279 ; 47.726.980 ; 68 ; 30.451.902 ; 1.347 ; 78.178.882 ; 2.467 ; 96.458.856 ;;;;
65;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 1 ; 4.000.000 ; 4 ; 1.015.814 ; 10 ; 15.721.539 ; 96 ; 10.731.814 ; 111 ; 31.469.167 ; 22 ; 14.829.805 ; 30 ; 49.775.565 ; 52 ; 64.605.370 ; 163 ; 96.074.537 ;;;;
66;12.586.596;MULTIMONEY CORRETORA DE CÂMBIO LTDA; 16 ; 944.244 ; 280 ; 4.640.321 ; 775 ; 2.829.735 ; 2.975 ; 17.342.733 ; 4.046 ; 25.757.033 ; 1.727 ; 42.182.631 ; 462 ; 23.970.246 ; 2.189 ; 66.152.877 ; 6.235 ; 91.909.910 ;;;;
67;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 17 ; 8.903.414 ; 164 ; 28.442.770 ; 37 ; 7.082.317 ; 94 ; 4.289.563 ; 312 ; 48.718.064 ; 82 ; 29.918.829 ; 21 ; 12.781.175 ; 103 ; 42.700.004 ; 415 ; 91.418.067 ;;;;
68;62.144.175;BANCO PINE S.A.; 11 ; 12.131.383 ; 13 ; 13.126.202 ; 5 ; 28.556.959 ; 55 ; 12.316.170 ; 84 ; 66.130.713 ; 5 ; 25.001.396 ; 1 ; 1.393 ; 6 ; 25.002.789 ; 90 ; 91.133.502 ;;;;
69;10.690.848;BANCO DA CHINA BRASIL S.A.; 13 ; 19.074.711 ; 26 ; 6.682.526 ; 8 ; 9.874.355 ; 73 ; 2.343.952 ; 120 ; 37.975.544 ; 45 ; 16.549.066 ; 37 ; 33.865.785 ; 82 ; 50.414.851 ; 202 ; 88.390.395 ;;;;
