Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JANEIRO / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
59;02.318.507;BANCO KEB HANA DO BRASIL S.A.;;; 12 ; 4.573.342 ; 48 ; 3.247.695 ; 75 ; 42.809.827 ; 135 ; 50.630.865 ; 30 ; 47.272.034 ; 10 ; 3.121.798 ; 40 ; 50.393.832 ; 175 ; 101.024.696 ;
60;00.416.968;BANCO INTER S.A.; 7 ; 128.254 ; 7 ; 179.240 ; 4.784 ; 45.512.977 ; 613 ; 46.685.740 ; 5.411 ; 92.506.211 ; 72 ; 4.521.426 ; 74 ; 2.546.371 ; 146 ; 7.067.797 ; 5.557 ; 99.574.008 ;
61;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 750 ; 29.150.923 ; 577 ; 18.795.420 ; 432 ; 8.694.736 ; 291 ; 8.850.585 ; 2.050 ; 65.491.664 ; 13 ; 6.277.247 ; 10 ; 17.027.326 ; 23 ; 23.304.572 ; 2.073 ; 88.796.236 ;
62;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 128 ; 3.400.326 ; 1.180 ; 27.659.579 ; 349 ; 7.415.146 ; 932 ; 12.824.060 ; 2.589 ; 51.299.111 ; 422 ; 32.667.244 ; 44 ; 2.946.891 ; 466 ; 35.614.135 ; 3.055 ; 86.913.246 ;
63;59.118.133;BANCO LUSO BRASILEIRO S.A.; 63 ; 4.417.597 ; 249 ; 20.379.067 ; 43 ; 12.740.988 ; 160 ; 3.971.804 ; 515 ; 41.509.456 ; 218 ; 24.736.214 ; 91 ; 17.542.176 ; 309 ; 42.278.390 ; 824 ; 83.787.846 ;
64;61.186.680;BANCO BMG S.A.; 3 ; 9.939.381 ;;; 1 ; 72.000 ; 38 ; 1.474.507 ; 42 ; 11.485.888 ; 3 ; 35.368.460 ; 3 ; 31.938.491 ; 6 ; 67.306.951 ; 48 ; 78.792.839 ;
65;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 104 ; 1.716.806 ; 929 ; 23.429.076 ; 484 ; 8.952.349 ; 923 ; 10.331.448 ; 2.440 ; 44.429.678 ; 441 ; 27.576.522 ; 40 ; 4.345.181 ; 481 ; 31.921.703 ; 2.921 ; 76.351.381 ;
66;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 3.483 ; 36.520.076 ; 7.567 ; 34.397.508 ; 11.050 ; 70.917.584 ; 21 ; 1.507.450 ; 38 ; 3.652.241 ; 59 ; 5.159.692 ; 11.109 ; 76.077.276 ;
67;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 219 ; 4.902.682 ; 883 ; 25.946.895 ; 500 ; 6.119.304 ; 464 ; 4.703.796 ; 2.066 ; 41.672.678 ; 303 ; 26.642.363 ; 79 ; 7.012.683 ; 382 ; 33.655.045 ; 2.448 ; 75.327.723 ;
68;10.690.848;BANCO DA CHINA BRASIL S.A.; 12 ; 5.091.521 ; 15 ; 1.082.372 ; 20 ; 11.682.243 ; 43 ; 17.862.115 ; 90 ; 35.718.251 ; 24 ; 16.078.415 ; 27 ; 13.977.617 ; 51 ; 30.056.032 ; 141 ; 65.774.283 ;
69;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 3 ; 78.410 ; 66 ; 16.977.028 ; 91 ; 9.616.289 ; 138 ; 12.926.572 ; 298 ; 39.598.299 ; 64 ; 22.368.971 ; 17 ; 2.208.000 ; 81 ; 24.576.971 ; 379 ; 64.175.270 ;
70;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 12 ; 8.266.109 ; 6 ; 3.296.510 ; 13 ; 7.778.381 ; 43 ; 19.195.016 ; 74 ; 38.536.015 ; 5 ; 17.863.093 ; 4 ; 5.363.516 ; 9 ; 23.226.609 ; 83 ; 61.762.624 ;
71;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 23 ; 420.940 ; 552 ; 18.544.025 ; 193 ; 5.789.447 ; 460 ; 6.968.810 ; 1.228 ; 31.723.222 ; 695 ; 23.086.225 ; 117 ; 3.790.577 ; 812 ; 26.876.802 ; 2.040 ; 58.600.024 ;
72;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 53 ; 780.734 ; 665 ; 17.064.131 ; 406 ; 5.161.758 ; 871 ; 7.724.679 ; 1.995 ; 30.731.302 ; 834 ; 22.296.666 ; 102 ; 3.439.753 ; 936 ; 25.736.419 ; 2.931 ; 56.467.721 ;
73;30.723.886;BANCO MODAL S.A.; 1 ; 36.052 ; 53 ; 7.104.301 ; 120 ; 26.674.907 ; 86 ; 6.821.887 ; 260 ; 40.637.148 ; 2 ; 7.010 ; 4 ; 12.507.171 ; 6 ; 12.514.181 ; 266 ; 53.151.329 ;
74;60.889.128;BANCO SOFISA S.A.; 111 ; 21.962.725 ; 34 ; 2.869.420 ; 7 ; 1.017.754 ; 53 ; 1.608.429 ; 205 ; 27.458.327 ; 2 ; 439.575 ; 9 ; 19.195.322 ; 11 ; 19.634.897 ; 216 ; 47.093.224 ;
75;09.274.232;STATE STREET BRASIL S.A. – BANCO COMERCIAL;;;;; 1 ; 54 ; 3 ; 4.510 ; 4 ; 4.563 ; 3 ; 2.980.720 ; 7 ; 43.480.800 ; 10 ; 46.461.520 ; 14 ; 46.466.083 ;
76;76.641.497;DOURADA CORRETORA DE CÂMBIO LTDA.; 95 ; 7.584.535 ; 353 ; 10.158.381 ; 453 ; 3.320.639 ; 617 ; 3.791.583 ; 1.518 ; 24.855.137 ; 331 ; 10.045.224 ; 162 ; 6.960.549 ; 493 ; 17.005.773 ; 2.011 ; 41.860.910 ;
