Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MAIO / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
56;03.609.817;BANCO CARGILL S.A.; 9 ; 11.066.886 ;;; 7 ; 13.972.500 ; 38 ; 71.600.026 ; 54 ; 96.639.412 ; 1 ; 30.000.000 ;;; 1 ; 30.000.000 ; 55 ; 126.639.412 ;
57;15.114.366;BANCO BOCOM BBM S.A.; 7 ; 1.285.962 ; 114 ; 21.138.092 ; 23 ; 19.412.127 ; 168 ; 12.271.910 ; 312 ; 54.108.092 ; 4 ; 22.196.794 ; 9 ; 47.199.540 ; 13 ; 69.396.334 ; 325 ; 123.504.426 ;
58;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 4 ; 79.114 ; 78 ; 46.801.560 ; 59 ; 16.361.268 ; 184 ; 8.909.010 ; 325 ; 72.150.952 ; 103 ; 40.370.088 ; 13 ; 1.087.000 ; 116 ; 41.457.088 ; 441 ; 113.608.040 ;
59;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 108 ; 2.083.858 ; 1.120 ; 29.817.207 ; 514 ; 10.151.310 ; 1.185 ; 17.159.711 ; 2.927 ; 59.212.087 ; 701 ; 40.203.537 ; 38 ; 5.352.893 ; 739 ; 45.556.430 ; 3.666 ; 104.768.517 ;
60;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 5 ; 416.218 ; 18 ; 3.586.797 ; 14 ; 46.390.593 ; 33 ; 35.938.423 ; 70 ; 86.332.031 ; 10 ; 3.634.013 ; 5 ; 11.330.000 ; 15 ; 14.964.013 ; 85 ; 101.296.045 ;
61;59.118.133;BANCO LUSO BRASILEIRO S.A.; 57 ; 7.534.811 ; 219 ; 32.722.753 ; 34 ; 5.789.370 ; 162 ; 2.793.578 ; 472 ; 48.840.513 ; 224 ; 35.547.156 ; 82 ; 13.349.995 ; 306 ; 48.897.151 ; 778 ; 97.737.664 ;
62;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 6 ; 24.032.000 ; 79 ; 15.742.099 ; 1 ; 82.188 ; 46 ; 11.764.071 ; 132 ; 51.620.358 ; 7 ; 24.500.000 ; 5 ; 21.000.000 ; 12 ; 45.500.000 ; 144 ; 97.120.358 ;
63;07.656.500;BANCO KDB DO BRASIL S.A.; 1 ; 7.000.000 ;;; 79 ; 9.351.350 ; 264 ; 18.099.603 ; 344 ; 34.450.954 ; 49 ; 23.990.000 ; 15 ; 37.350.000 ; 64 ; 61.340.000 ; 408 ; 95.790.954 ;
64;61.186.680;BANCO BMG S.A.; 1 ; 1.981.460 ; 1 ; 1.994.750 ; 21 ; 469.448 ; 28 ; 1.335.257 ; 51 ; 5.780.915 ; 5 ; 45.250.000 ; 4 ; 42.231.460 ; 9 ; 87.481.460 ; 60 ; 93.262.375 ;
65;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 132 ; 3.730.088 ; 1.303 ; 31.338.097 ; 321 ; 5.300.181 ; 1.013 ; 12.207.542 ; 2.769 ; 52.575.908 ; 510 ; 37.225.944 ; 30 ; 2.635.638 ; 540 ; 39.861.582 ; 3.309 ; 92.437.490 ;
