Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Mar/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
44;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 211 ; 5.673.736 ; 1.418 ; 32.153.275 ; 3.088 ; 34.207.544 ; 5.499 ; 117.052.873 ; 10.216 ; 189.087.429 ; 7.200 ; 237.207.433 ; 982 ; 127.736.995 ; 8.182 ; 364.944.427 ; 18.398 ; 554.031.856 ;
45;58.616.418;BANCO FIBRA S.A.; 359 ; 51.377.274 ; 745 ; 79.516.117 ; 76 ; 37.997.024 ; 413 ; 72.408.296 ; 1.593 ; 241.298.711 ; 74 ; 143.828.353 ; 53 ; 82.817.433 ; 127 ; 226.645.786 ; 1.720 ; 467.944.497 ;
46;33.923.798;BANCO MÁXIMA S.A.; 83 ; 1.156.552 ; 508 ; 15.101.198 ; 123 ; 7.035.478 ; 332 ; 6.560.226 ; 1.046 ; 29.853.454 ; 207 ; 215.316.987 ; 699 ; 200.174.117 ; 906 ; 415.491.104 ; 1.952 ; 445.344.558 ;
47;61.186.680;BANCO BMG S.A.; 22 ; 52.402.458 ; 5 ; 1.351.923 ; 4 ; 4.929.571 ; 50 ; 106.214.306 ; 81 ; 164.898.258 ; 16 ; 146.004.417 ; 25 ; 116.901.826 ; 41 ; 262.906.243 ; 122 ; 427.804.501 ;
48;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 209 ; 92.158.107 ; 197 ; 172.427.260 ; 406 ; 264.585.367 ; 79 ; 120.103.232 ; 67 ; 39.839.991 ; 146 ; 159.943.223 ; 552 ; 424.528.590 ;
49;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 1 ; 73.386 ; 138 ; 91.383.051 ; 74 ; 97.358.772 ; 1.087 ; 41.608.881 ; 1.300 ; 230.424.090 ; 131 ; 109.491.032 ; 9 ; 73.953.519 ; 140 ; 183.444.551 ; 1.440 ; 413.868.641 ;
50;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 26 ; 337.796 ; 272 ; 3.916.733 ; 960 ; 10.184.322 ; 3.162 ; 41.794.797 ; 4.420 ; 56.233.647 ; 5.056 ; 147.723.080 ; 998 ; 112.389.962 ; 6.054 ; 260.113.042 ; 10.474 ; 316.346.689 ;
51;30.723.886;BANCO MODAL S.A.; 12 ; 292.964 ; 138 ; 15.019.251 ; 85 ; 135.472.435 ; 214 ; 120.660.071 ; 449 ; 271.444.721 ; 19 ; 23.350.723 ; 14 ; 21.072.405 ; 33 ; 44.423.128 ; 482 ; 315.867.848 ;
52;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 329 ; 8.356.865 ; 3.235 ; 68.217.290 ; 3.022 ; 25.368.302 ; 8.343 ; 67.876.782 ; 14.929 ; 169.819.239 ; 1.612 ; 119.634.535 ; 388 ; 17.228.101 ; 2.000 ; 136.862.636 ; 16.929 ; 306.681.874 ;
53;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 93 ; 1.563.358 ; 388 ; 4.261.346 ; 3.726 ; 29.168.091 ; 12.667 ; 141.042.522 ; 16.874 ; 176.035.317 ; 1.958 ; 115.326.842 ; 22 ; 906.558 ; 1.980 ; 116.233.400 ; 18.854 ; 292.268.716 ;
54;03.012.230;HIPERCARD BANCO MÚLTIPLO S.A.;;;;;;;;; -   ; -   ; 2 ; 276.231.745 ;;; 2 ; 276.231.745 ; 2 ; 276.231.745 ;
55;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 150 ; 908.779 ; 352 ; 2.989.395 ; 502 ; 3.898.174 ; 655 ; 135.567.791 ; 370 ; 133.489.894 ; 1.025 ; 269.057.684 ; 1.527 ; 272.955.858 ;
56;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 204 ; 4.191.463 ; 2.621 ; 61.739.651 ; 1.977 ; 28.384.260 ; 8.040 ; 64.186.607 ; 12.842 ; 158.501.981 ; 2.171 ; 98.944.478 ; 65 ; 5.837.582 ; 2.236 ; 104.782.061 ; 15.078 ; 263.284.042 ;
57;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 5 ; 17.902 ; 79 ; 942.963 ; 1.567 ; 55.795.251 ; 2.667 ; 118.526.947 ; 4.318 ; 175.283.062 ; 1.724 ; 72.538.160 ; 535 ; 5.798.525 ; 2.259 ; 78.336.686 ; 6.577 ; 253.619.748 ;
58;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;; 16 ; 98.254 ; 2.028 ; 34.070.266 ; 6.459 ; 123.570.836 ; 8.503 ; 157.739.355 ; 4.387 ; 91.979.931 ; 141 ; 3.252.953 ; 4.528 ; 95.232.885 ; 13.031 ; 252.972.240 ;
59;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 63 ; 1.372.781 ; 2.398 ; 72.940.696 ; 991 ; 11.382.966 ; 3.241 ; 32.572.559 ; 6.693 ; 118.269.002 ; 3.445 ; 106.615.599 ; 411 ; 13.817.744 ; 3.856 ; 120.433.343 ; 10.549 ; 238.702.345 ;
60;62.144.175;BANCO PINE S.A.; 24 ; 14.522.949 ; 34 ; 24.923.796 ; 12 ; 29.834.537 ; 147 ; 67.541.088 ; 217 ; 136.822.370 ; 12 ; 85.848.055 ; 5 ; 10.348.645 ; 17 ; 96.196.700 ; 234 ; 233.019.070 ;
61;12.586.596;MULTIMONEY CORRETORA DE CÂMBIO LTDA; 51 ; 2.111.583 ; 592 ; 9.976.096 ; 2.265 ; 12.470.670 ; 7.420 ; 37.875.247 ; 10.328 ; 62.433.595 ; 3.970 ; 101.781.880 ; 1.291 ; 68.481.025 ; 5.261 ; 170.262.904 ; 15.589 ; 232.696.500 ;
62;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 28 ; 927.762 ; 495 ; 21.515.555 ; 172 ; 73.612.456 ; 1.038 ; 24.700.056 ; 1.733 ; 120.755.830 ; 539 ; 39.430.329 ; 880 ; 68.610.769 ; 1.419 ; 108.041.098 ; 3.152 ; 228.796.928 ;
63;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 40 ; 19.804.673 ; 269 ; 51.807.877 ; 121 ; 34.030.713 ; 215 ; 17.734.057 ; 645 ; 123.377.320 ; 129 ; 56.328.438 ; 42 ; 42.414.173 ; 171 ; 98.742.611 ; 816 ; 222.119.931 ;
64;59.118.133;BANCO LUSO BRASILEIRO S.A.; 98 ; 26.705.830 ; 239 ; 37.620.021 ; 55 ; 4.720.918 ; 1.022 ; 35.838.734 ; 1.414 ; 104.885.504 ; 509 ; 76.927.725 ; 140 ; 34.900.636 ; 649 ; 111.828.360 ; 2.063 ; 216.713.864 ;
65;07.237.373;BANCO DO NORDESTE DO BRASIL S.A.; 107 ; 26.164.801 ; 113 ; 12.001.612 ; 65 ; 28.209.013 ; 118 ; 10.384.589 ; 403 ; 76.760.015 ; 39 ; 52.145.295 ; 61 ; 82.763.042 ; 100 ; 134.908.337 ; 503 ; 211.668.352 ;
66;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;; 353 ; 467.238 ; 2.496 ; 9.785.525 ; 2.849 ; 10.252.763 ; 1.112 ; 105.458.171 ; 222 ; 94.759.769 ; 1.334 ; 200.217.939 ; 4.183 ; 210.470.702 ;
67;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 7 ; 10.566.881 ; 11 ; 2.924.926 ; 32 ; 18.411.513 ; 253 ; 18.508.670 ; 303 ; 50.411.989 ; 36 ; 61.287.490 ; 50 ; 91.497.400 ; 86 ; 152.784.890 ; 389 ; 203.196.879 ;
68;11.495.073;OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA; 2 ; 13.424 ; 149 ; 9.137.727 ; 2.508 ; 11.516.830 ; 4.342 ; 36.624.814 ; 7.001 ; 57.292.794 ; 3.660 ; 88.233.460 ; 182 ; 54.524.005 ; 3.842 ; 142.757.465 ; 10.843 ; 200.050.260 ;
69;60.889.128;BANCO SOFISA S.A.; 324 ; 79.969.726 ; 224 ; 19.283.549 ; 44 ; 3.025.883 ; 287 ; 4.787.169 ; 879 ; 107.066.328 ; 32 ; 7.029.412 ; 40 ; 71.962.951 ; 72 ; 78.992.363 ; 951 ; 186.058.691 ;
70;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 251 ; 7.796.373 ; 1.765 ; 54.770.232 ; 904 ; 18.850.644 ; 2.196 ; 27.364.059 ; 5.116 ; 108.781.308 ; 793 ; 66.173.332 ; 79 ; 10.659.080 ; 872 ; 76.832.412 ; 5.988 ; 185.613.720 ;
71;15.114.366;BANCO BBM S/A; 77 ; 38.384.905 ;;; 39 ; 24.763.314 ; 127 ; 24.784.135 ; 243 ; 87.932.353 ; 10 ; 17.689.343 ; 25 ; 75.934.947 ; 35 ; 93.624.290 ; 278 ; 181.556.643 ;
72;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 1.056 ; 51.031.448 ; 907 ; 23.726.319 ; 388 ; 5.285.908 ; 780 ; 32.098.104 ; 3.131 ; 112.141.779 ; 81 ; 27.084.185 ; 46 ; 34.558.573 ; 127 ; 61.642.758 ; 3.258 ; 173.784.537 ;
