Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Fev/2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
37;71.027.866;BANCO BS2 S.A.; 630 ; 140.163.728 ; 2.201 ; 112.819.001 ; 16.181 ; 252.528.178 ; 45.935 ; 267.059.003 ; 64.947 ; 772.569.909 ; 100 ; 120.966.250 ; 97 ; 151.708.650 ; 197 ; 272.674.900 ; 65.144 ; 1.045.244.810 ;
38;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;;;;; 10.255 ; 34.522.542 ; 369.964 ; 296.725.908 ; 380.219 ; 331.248.450 ; 2.805 ; 478.383.336 ; 2.765 ; 216.187.060 ; 5.570 ; 694.570.396 ; 385.789 ; 1.025.818.846 ;
39;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 7 ; 15.025.463 ;;; 7 ; 15.025.463 ; 1 ; 500.550.694 ; 1 ; 500.000.000 ; 2 ; 1.000.550.694 ; 9 ; 1.015.576.158 ;
40;33.923.798;BANCO MASTER S/A; 224 ; 113.849.512 ; 626 ; 28.656.234 ; 36.115 ; 196.588.767 ; 131.578 ; 286.581.210 ; 168.543 ; 625.675.722 ; 149 ; 203.116.664 ; 100 ; 171.818.306 ; 249 ; 374.934.971 ; 168.792 ; 1.000.610.693 ;
41;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 105 ; 138.687.428 ; 585 ; 121.013.049 ; 38 ; 162.420.120 ; 574 ; 226.102.546 ; 1.302 ; 648.223.143 ; 72 ; 161.196.680 ; 50 ; 160.514.059 ; 122 ; 321.710.738 ; 1.424 ; 969.933.881 ;
42;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 5 ; 38.747.796 ; 14 ; 7.434.231 ; 3 ; 1.544 ; 804 ; 360.072.660 ; 826 ; 406.256.231 ; 33 ; 416.587.840 ; 10 ; 93.536.498 ; 43 ; 510.124.338 ; 869 ; 916.380.569 ;
43;00.997.185;BANCO B3 S.A.;;;;; 282 ; 283.009.369 ; 266 ; 313.065.775 ; 548 ; 596.075.144 ; 68 ; 93.855.556 ; 72 ; 63.899.912 ; 140 ; 157.755.468 ; 688 ; 753.830.612 ;
44;15.114.366;BANCO BOCOM BBM S.A.; 23 ; 8.036.218 ; 220 ; 37.419.656 ; 58 ; 102.306.936 ; 424 ; 80.465.931 ; 725 ; 228.228.741 ; 22 ; 99.904.761 ; 32 ; 343.558.260 ; 54 ; 443.463.021 ; 779 ; 671.691.762 ;
45;00.360.305;CAIXA ECONOMICA FEDERAL; 193 ; 71.299.218 ; 167 ; 15.970.358 ; 14.865 ; 101.221.632 ; 1.594 ; 144.158.414 ; 16.819 ; 332.649.622 ; 353 ; 130.846.390 ; 386 ; 150.121.954 ; 739 ; 280.968.344 ; 17.558 ; 613.617.966 ;
46;13.059.145;BEXS BANCO DE CÂMBIO S/A; 35 ; 93.995.855 ; 167 ; 7.500.650 ; 18.973 ; 50.859.800 ; 207.223 ; 168.029.238 ; 226.398 ; 320.385.542 ; 423 ; 152.179.025 ; 59 ; 121.237.459 ; 482 ; 273.416.484 ; 226.880 ; 593.802.026 ;
47;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 21 ; 3.067.390 ; 373 ; 24.550.770 ; 409 ; 58.847.680 ; 2.386 ; 202.827.182 ; 3.189 ; 289.293.021 ; 319 ; 206.905.099 ; 95 ; 41.432.797 ; 414 ; 248.337.896 ; 3.603 ; 537.630.917 ;
48;07.656.500;BANCO KDB DO BRASIL S.A.;;; 3 ; 1.325.433 ; 148 ; 41.977.027 ; 592 ; 223.205.778 ; 743 ; 266.508.239 ; 123 ; 224.791.360 ; 22 ; 27.654.001 ; 145 ; 252.445.361 ; 888 ; 518.953.600 ;
49;61.024.352;BANCO VOITER S.A.; 90 ; 56.647.451 ; 231 ; 36.787.308 ; 232 ; 21.905.590 ; 1.530 ; 148.954.135 ; 2.083 ; 264.294.484 ; 84 ; 162.090.939 ; 66 ; 65.746.990 ; 150 ; 227.837.929 ; 2.233 ; 492.132.412 ;
50;03.609.817;BANCO CARGILL S.A.; 28 ; 189.574.219 ; 1 ; 49.271 ; 8 ; 6.131.907 ; 89 ; 31.270.940 ; 126 ; 227.026.337 ; 2 ; 20.000.000 ; 5 ; 230.000.000 ; 7 ; 250.000.000 ; 133 ; 477.026.337 ;
51;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 1.374 ; 53.672.941 ; 1.474 ; 77.924.689 ; 1.189 ; 125.361.777 ; 722 ; 29.190.758 ; 4.759 ; 286.150.164 ; 25 ; 33.069.855 ; 8 ; 105.457.341 ; 33 ; 138.527.195 ; 4.792 ; 424.677.359 ;
52;10.690.848;BANCO DA CHINA BRASIL S.A.; 52 ; 114.443.118 ; 26 ; 6.537.502 ; 38 ; 1.645.544 ; 170 ; 65.760.071 ; 286 ; 188.386.235 ; 72 ; 95.266.319 ; 124 ; 139.113.717 ; 196 ; 234.380.037 ; 482 ; 422.766.272 ;
53;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 305 ; 7.233.300 ; 1.477 ; 57.597.510 ; 7.741 ; 45.946.396 ; 6.639 ; 114.069.565 ; 16.162 ; 224.846.771 ; 4.084 ; 155.256.266 ; 229 ; 36.861.835 ; 4.313 ; 192.118.101 ; 20.475 ; 416.964.872 ;
54;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 351 ; 13.752.306 ; 3.163 ; 74.832.077 ; 3.115 ; 47.098.375 ; 7.138 ; 92.840.347 ; 13.767 ; 228.523.104 ; 761 ; 133.064.920 ; 144 ; 26.474.757 ; 905 ; 159.539.678 ; 14.672 ; 388.062.782 ;
