Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em MARÄO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
54;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 12 ; 179.578 ; 97 ; 1.425.217 ; 1.036 ; 10.434.601 ; 5.892 ; 79.915.068 ; 7.037 ; 91.954.464 ; 666 ; 70.198.669 ; 5 ; 64.960 ; 671 ; 70.263.629 ; 7.708 ; 162.218.093 ;;;;
55;17.184.037;BANCO MERCANTIL DO BRASIL S.A.; 3 ; 277.221 ; 24 ; 1.120.041 ; 27 ; 857.966 ; 73 ; 4.072.253 ; 127 ; 6.327.481 ; 56 ; 78.052.646 ; 33 ; 74.026.335 ; 89 ; 152.078.981 ; 216 ; 158.406.462 ;;;;
56;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.; 5 ; 255.309 ; 39 ; 669.404 ; 36 ; 6.861.013 ; 89 ; 6.112.364 ; 169 ; 13.898.091 ; 48 ; 69.904.400 ; 55 ; 72.510.380 ; 103 ; 142.414.780 ; 272 ; 156.312.871 ;;;;
57;03.532.415;BANCO ABN AMRO S.A.; 7 ; 76.610.000 ;;;;; 3 ; 180.381 ; 10 ; 76.790.381 ;;; 10 ; 76.430.000 ; 10 ; 76.430.000 ; 20 ; 153.220.381 ;;;;
58;61.024.352;BANCO INDUSVAL S.A.; 71 ; 33.288.866 ; 48 ; 9.166.257 ; 17 ; 184.832 ; 84 ; 12.016.820 ; 220 ; 54.656.775 ; 30 ; 45.996.538 ; 47 ; 47.558.473 ; 77 ; 93.555.011 ; 297 ; 148.211.785 ;;;;
59;15.357.060;BANCO WOORI BANK DO BRASIL S.A.;;; 35 ; 49.135.848 ; 11 ; 22.025.270 ; 130 ; 2.256.987 ; 176 ; 73.418.105 ; 19 ; 50.760.000 ; 5 ; 21.366.159 ; 24 ; 72.126.159 ; 200 ; 145.544.264 ;;;;
60;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS; 3 ; 173.072 ; 812 ; 60.751.125 ; 246 ; 1.011.952 ; 3.039 ; 6.483.750 ; 4.100 ; 68.419.899 ; 737 ; 67.255.668 ; 24 ; 984.169 ; 761 ; 68.239.837 ; 4.861 ; 136.659.736 ;;;;
61;16.944.141;BROKER BRASIL CORRETORA DE C∂MBIO LTDA.; 2 ; 6.717 ; 142 ; 5.355.387 ; 109 ; 342.331 ; 1.079 ; 58.539.544 ; 1.332 ; 64.243.978 ; 860 ; 67.434.610 ; 41 ; 3.848.424 ; 901 ; 71.283.034 ; 2.233 ; 135.527.012 ;;;;
62;92.856.905;ADVANCED CORRETORA DE C∂MBIO LTDA; 68 ; 1.505.181 ; 1.090 ; 34.699.910 ; 609 ; 7.089.908 ; 2.144 ; 21.907.401 ; 3.911 ; 65.202.400 ; 556 ; 49.822.308 ; 47 ; 1.969.725 ; 603 ; 51.792.033 ; 4.514 ; 116.994.433 ;;;;
63;72.760.713;RENOVA S.A. CORRETORA DE C∂MBIO; 1 ; 75.028 ; 46 ; 1.253.795 ; 310 ; 1.241.958 ; 1.672 ; 15.213.344 ; 2.029 ; 17.784.126 ; 811 ; 52.618.787 ; 50 ; 37.448.280 ; 861 ; 90.067.067 ; 2.890 ; 107.851.193 ;;;;
