Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Nov/2021;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
51;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 271 ; 522.723.980 ;;; 328 ; 122.049.153 ; 28 ; 703.171 ; 627 ; 645.476.305 ; 32 ; 1.296.369.002 ; 31 ; 440.491.243 ; 63 ; 1.736.860.244 ; 690 ; 2.382.336.549 ;
52;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 26 ; 227.151.100 ; 146 ; 101.684.526 ; 59 ; 28.101.441 ; 908 ; 352.936.710 ; 1.139 ; 709.873.777 ; 64 ; 857.948.288 ; 41 ; 719.038.202 ; 105 ; 1.576.986.490 ; 1.244 ; 2.286.860.267 ;
53;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 2.738 ; 79.666.099 ; 19.837 ; 437.440.595 ; 18.282 ; 246.925.246 ; 37.803 ; 414.025.016 ; 78.660 ; 1.178.056.956 ; 6.231 ; 764.376.834 ; 1.923 ; 238.807.768 ; 8.154 ; 1.003.184.602 ; 86.814 ; 2.181.241.559 ;
54;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 117 ; 26.419.605 ; 1.397 ; 70.315.757 ; 2.102 ; 301.951.354 ; 8.554 ; 717.302.719 ; 12.170 ; 1.115.989.435 ; 2.027 ; 753.425.987 ; 843 ; 294.116.587 ; 2.870 ; 1.047.542.575 ; 15.040 ; 2.163.532.009 ;
55;03.609.817;BANCO CARGILL S.A.; 232 ; 489.509.011 ; 1 ; 19.588 ; 105 ; 128.878.900 ; 357 ; 221.914.043 ; 695 ; 840.321.542 ; 14 ; 472.000.000 ; 24 ; 793.500.000 ; 38 ; 1.265.500.000 ; 733 ; 2.105.821.542 ;
56;33.042.953;CITIBANK N.A.;;;;; 12 ; 1.817 ; 63 ; 1.202.535 ; 75 ; 1.204.352 ; 3 ; 771.000.000 ; 7 ; 1.321.000.000 ; 10 ; 2.092.000.000 ; 85 ; 2.093.204.352 ;
57;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 186 ; 38.285.045 ; 544 ; 25.285.252 ; 37.566 ; 948.184.929 ; 2.152 ; 59.005.108 ; 40.448 ; 1.070.760.333 ; 668 ; 47.724.883 ; 1.837 ; 949.904.651 ; 2.505 ; 997.629.535 ; 42.953 ; 2.068.389.868 ;
58;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 7.953 ; 589.776.781 ; 5.638 ; 305.120.201 ; 4.543 ; 94.376.770 ; 4.628 ; 373.518.076 ; 22.762 ; 1.362.791.828 ; 136 ; 320.548.501 ; 165 ; 322.478.819 ; 301 ; 643.027.321 ; 23.063 ; 2.005.819.149 ;
59;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 2.240 ; 54.091.878 ; 10.150 ; 322.284.271 ; 68.442 ; 306.820.937 ; 31.798 ; 446.954.969 ; 112.630 ; 1.130.152.054 ; 10.916 ; 634.029.710 ; 2.244 ; 225.277.027 ; 13.160 ; 859.306.738 ; 125.790 ; 1.989.458.792 ;
60;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 9.395 ; 513.180.550 ; 8.028 ; 475.610.630 ; 5.863 ; 303.802.356 ; 3.705 ; 131.674.170 ; 26.991 ; 1.424.267.706 ; 144 ; 141.924.206 ; 68 ; 349.796.121 ; 212 ; 491.720.327 ; 27.203 ; 1.915.988.033 ;
61;02.318.507;BANCO KEB HANA DO BRASIL S.A.; 15 ; 23.864.570 ; 401 ; 218.678.452 ; 485 ; 237.024.212 ; 930 ; 380.551.420 ; 1.831 ; 860.118.655 ; 474 ; 568.311.462 ; 77 ; 229.947.768 ; 551 ; 798.259.230 ; 2.382 ; 1.658.377.885 ;
62;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 163 ; 451.803.171 ; 140 ; 273.523.514 ; 303 ; 725.326.685 ; 56 ; 252.029.535 ; 92 ; 431.818.309 ; 148 ; 683.847.843 ; 451 ; 1.409.174.529 ;
63;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 84 ; 179.868.672 ; 199 ; 20.854.572 ; 183 ; 321.240.324 ; 511 ; 122.356.857 ; 977 ; 644.320.424 ; 89 ; 178.736.668 ; 93 ; 536.716.392 ; 182 ; 715.453.060 ; 1.159 ; 1.359.773.485 ;
64;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 1.416 ; 26.840.715 ; 11.642 ; 305.642.374 ; 5.748 ; 115.838.779 ; 12.363 ; 161.588.331 ; 31.169 ; 609.910.198 ; 6.796 ; 418.868.166 ; 652 ; 94.212.426 ; 7.448 ; 513.080.591 ; 38.617 ; 1.122.990.790 ;
