Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Set/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
34;28.195.667;BANCO ABC BRASIL S.A.; 534 ; 426.106.179 ; 1.042 ; 134.386.976 ; 231 ; 601.833.550 ; 2.218 ; 418.836.077 ; 4.025 ; 1.581.162.781 ; 143 ; 1.959.461.499 ; 231 ; 2.383.784.051 ; 374,0 ; 4.343.245.550 ; 4.399 ; 5.924.408.331 ;
35;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 1.082 ; 1.456.195.459 ; 1.099 ; 591.834.970 ; 2.181 ; 2.048.030.429 ; 74 ; 1.378.979.518 ; 535 ; 2.245.395.382 ; 609,0 ; 3.624.374.900 ; 2.790 ; 5.672.405.329 ;
36;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 26 ; 11.775.634 ; 5 ; 216.048 ; 1.161 ; 807.366.918 ; 1.163 ; 740.900.388 ; 2.355 ; 1.560.258.988 ; 359 ; 1.153.378.875 ; 361 ; 1.418.913.238 ; 720,0 ; 2.572.292.113 ; 3.075 ; 4.132.551.101 ;
37;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 11 ; 6.912.049 ; 24 ; 6.444.106 ; 131 ; 101.477.293 ; 320 ; 56.211.340 ; 486 ; 171.044.788 ; 309 ; 1.891.276.960 ; 492 ; 1.936.488.050 ; 801,0 ; 3.827.765.010 ; 1.287 ; 3.998.809.798 ;
38;13.059.145;BEXS BANCO DE C∂MBIO S/A; 146 ; 533.033.855 ; 1.267 ; 61.645.209 ; 1.267 ; 193.692.426 ; 3.342 ; 241.362.468 ; 6.022 ; 1.029.733.959 ; 2.511 ; 1.165.387.899 ; 2.545 ; 1.589.450.903 ; 5.056,0 ; 2.754.838.802 ; 11.078 ; 3.784.572.761 ;
39;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 7.007 ; 894.831.888 ; 11.917 ; 695.994.346 ; 3.314 ; 434.742.330 ; 13.891 ; 246.061.559 ; 36.129 ; 2.271.630.123 ; 316 ; 503.992.530 ; 322 ; 888.455.541 ; 638,0 ; 1.392.448.071 ; 36.767 ; 3.664.078.194 ;
40;15.114.366;BANCO BBM S/A; 197 ; 176.144.146 ; 22 ; 72.283.237 ; 129 ; 126.785.342 ; 335 ; 126.752.127 ; 683 ; 501.964.852 ; 144 ; 1.478.586.686 ; 208 ; 1.462.584.162 ; 352,0 ; 2.941.170.848 ; 1.035 ; 3.443.135.700 ;
41;78.632.767;BANCO OURINVEST S.A.; 8 ; 42.124.195 ; 228 ; 25.987.406 ; 1.394 ; 30.784.242 ; 4.817 ; 91.296.576 ; 6.447 ; 190.192.419 ; 2.224 ; 1.614.762.850 ; 25.991 ; 1.535.243.214 ; 28.215,0 ; 3.150.006.064 ; 34.662 ; 3.340.198.484 ;
42;52.937.216;BEXS CORRETORA DE C∂MBIO S/A; 1 ; 86.030 ;;; 2.031 ; 8.273.110 ; 29.315 ; 257.187.674 ; 31.347 ; 265.546.814 ; 6.279 ; 1.591.365.694 ; 1.455 ; 1.342.549.325 ; 7.734,0 ; 2.933.915.019 ; 39.081 ; 3.199.461.834 ;
43;71.027.866;BANCO BONSUCESSO S.A.;;; 5 ; 41.943 ; 382 ; 2.354.352 ; 1.532 ; 34.300.895 ; 1.919 ; 36.697.190 ; 1.442 ; 1.478.544.107 ; 3.951 ; 1.446.243.666 ; 5.393,0 ; 2.924.787.773 ; 7.312 ; 2.961.484.963 ;
44;73.622.748;B & T ASSOCIADOS CORRETORA DE C∂MBIO LTDA.; 405 ; 11.896.614 ; 4.182 ; 107.110.661 ; 5.024 ; 53.955.194 ; 14.608 ; 898.244.080 ; 24.219 ; 1.071.206.550 ; 29.333 ; 1.411.617.920 ; 1.221 ; 472.095.083 ; 30.554,0 ; 1.883.713.003 ; 54.773 ; 2.954.919.552 ;
45;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES; 87 ; 29.950.720 ; 34 ; 2.309.781 ; 33 ; 101.389 ; 51 ; 1.330.101 ; 205 ; 33.691.990 ; 369 ; 1.349.020.000 ; 424 ; 1.382.130.000 ; 793,0 ; 2.731.150.000 ; 998 ; 2.764.841.990 ;
46;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 1.351 ; 677.221.123 ; 1.781 ; 224.600.004 ; 550 ; 136.187.985 ; 2.325 ; 308.896.865 ; 6.007 ; 1.346.905.978 ; 290 ; 502.009.785 ; 301 ; 690.285.315 ; 591,0 ; 1.192.295.100 ; 6.598 ; 2.539.201.078 ;
47;04.913.129;CONFIDENCE CORRETORA DE C∂MBIO S.A.; 4 ; 16.187 ; 13 ; 31.872 ; 9.571 ; 96.872.779 ; 49.999 ; 765.011.370 ; 59.587 ; 861.932.208 ; 20.290 ; 1.059.231.160 ; 1.197 ; 389.653.890 ; 21.487,0 ; 1.448.885.050 ; 81.074 ; 2.310.817.258 ;
