Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Abr/2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
47;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 100 ; 249.123.220 ;;; 127 ; 55.101.934 ; 7 ; 339.395 ; 234 ; 304.564.549 ;;; 21 ; 930.271.700 ; 21 ; 930.271.700 ; 255 ; 1.234.836.249 ;
48;28.811.341;STONEX BANCO DE CÂMBIO S.A.; 307 ; 52.707.023 ; 204 ; 13.294.707 ; 15.567 ; 522.495.102 ; 787 ; 45.424.110 ; 16.865 ; 633.920.943 ; 188 ; 33.641.372 ; 653 ; 550.124.784 ; 841 ; 583.766.155 ; 17.706 ; 1.217.687.098 ;
49;33.923.798;BANCO MASTER S/A; 225 ; 231.222.729 ; 461 ; 42.997.601 ; 8.862 ; 215.908.700 ; 1.245 ; 77.332.597 ; 10.793 ; 567.461.626 ; 47 ; 132.788.966 ; 115 ; 424.842.895 ; 162 ; 557.631.861 ; 10.955 ; 1.125.093.487 ;
50;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 25 ; 71.735.463 ; 8 ; 977.351 ; 24 ; 12.244.335 ; 80 ; 142.984.923 ; 137 ; 227.942.072 ; 50 ; 430.403.604 ; 83 ; 368.502.631 ; 133 ; 798.906.235 ; 270 ; 1.026.848.307 ;
51;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 628 ; 16.430.107 ; 5.766 ; 144.309.457 ; 7.904 ; 167.466.010 ; 17.915 ; 261.332.174 ; 32.213 ; 589.537.748 ; 1.945 ; 314.857.337 ; 475 ; 92.915.039 ; 2.420 ; 407.772.377 ; 34.633 ; 997.310.125 ;
52;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 1.178 ; 218.692.025 ; 1.338 ; 122.520.718 ; 2.090 ; 87.762.309 ; 2.600 ; 66.815.786 ; 7.206 ; 495.790.838 ; 130 ; 111.529.927 ; 194 ; 224.071.325 ; 324 ; 335.601.251 ; 7.530 ; 831.392.089 ;
53;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 23 ; 247.713.741 ; 31 ; 5.569.508 ; 57 ; 61.043.017 ; 103 ; 41.527.900 ; 214 ; 355.854.167 ; 24 ; 95.791.978 ; 48 ; 357.618.488 ; 72 ; 453.410.466 ; 286 ; 809.264.633 ;
54;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 2.974 ; 135.690.147 ; 3.902 ; 186.558.492 ; 3.121 ; 81.471.736 ; 1.723 ; 139.522.612 ; 11.720 ; 543.242.987 ; 79 ; 149.072.442 ; 31 ; 55.143.605 ; 110 ; 204.216.047 ; 11.830 ; 747.459.034 ;
55;03.609.817;BANCO CARGILL S.A.; 15 ; 117.760.245 ;;; 12 ; 11.765.578 ; 337 ; 173.631.792 ; 364 ; 303.157.615 ; 17 ; 190.000.000 ; 5 ; 250.000.000 ; 22 ; 440.000.000 ; 386 ; 743.157.615 ;
56;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 593 ; 14.792.682 ; 2.725 ; 89.082.811 ; 53.815 ; 103.314.498 ; 136.407 ; 189.890.582 ; 193.540 ; 397.080.573 ; 6.315 ; 230.420.909 ; 470 ; 69.568.459 ; 6.785 ; 299.989.368 ; 200.325 ; 697.069.941 ;
