Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Ago/2020;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
46;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 29 ; 79.604.086 ; 9 ; 3.622.914 ; 48 ; 22.754.168 ; 1.948 ; 676.723.401 ; 2.034 ; 782.704.568 ; 123 ; 741.194.250 ; 26 ; 152.017.885 ; 149 ; 893.212.135 ; 2.183 ; 1.675.916.703 ;;;;
47;07.679.404;BANCO TOPÁZIO S.A.; 85 ; 64.266.810 ; 278 ; 20.587.574 ; 2.851 ; 47.624.214 ; 2.166 ; 458.796.733 ; 5.380 ; 591.275.332 ; 1.785 ; 670.783.720 ; 3.146 ; 303.365.167 ; 4.931 ; 974.148.887 ; 10.311 ; 1.565.424.218 ;;;;
48;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 1.449 ; 26.813.776 ; 4.944 ; 122.600.899 ; 57.948 ; 214.542.077 ; 19.472 ; 214.638.480 ; 83.813 ; 578.595.232 ; 6.366 ; 490.592.739 ; 2.970 ; 394.728.524 ; 9.336 ; 885.321.262 ; 93.149 ; 1.463.916.495 ;;;;
49;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 104 ; 149.250.635 ; 561 ; 116.784.964 ; 110 ; 72.101.942 ; 329 ; 82.540.540 ; 1.104 ; 420.678.082 ; 209 ; 458.733.153 ; 206 ; 486.427.081 ; 415 ; 945.160.234 ; 1.519 ; 1.365.838.315 ;;;;
50;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 5.162 ; 365.159.127 ; 6.776 ; 289.722.472 ; 3.263 ; 50.334.699 ; 5.342 ; 218.954.189 ; 20.543 ; 924.170.487 ; 204 ; 251.704.590 ; 157 ; 143.697.394 ; 361 ; 395.401.984 ; 20.904 ; 1.319.572.472 ;;;;
51;33.264.668;BANCO XP S.A.; 5 ; 4.826.202 ; 22 ; 5.859.295 ; 140 ; 397.785.643 ; 241 ; 232.145.568 ; 408 ; 640.616.708 ; 84 ; 220.448.517 ; 31 ; 382.980.754 ; 115 ; 603.429.271 ; 523 ; 1.244.045.979 ;;;;
52;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 1.478 ; 34.177.975 ; 12.911 ; 205.399.880 ; 13.384 ; 127.037.443 ; 26.843 ; 197.418.953 ; 54.616 ; 564.034.251 ; 3.957 ; 456.251.725 ; 1.566 ; 214.523.657 ; 5.523 ; 670.775.382 ; 60.139 ; 1.234.809.634 ;;;;
53;03.609.817;BANCO CARGILL S.A.; 91 ; 180.509.797 ; 3 ; 243.723 ; 28 ; 67.637.087 ; 130 ; 50.540.365 ; 252 ; 298.930.971 ; 11 ; 413.000.000 ; 16 ; 511.500.000 ; 27 ; 924.500.000 ; 279 ; 1.223.430.971 ;;;;
54;45.246.410;PLURAL S.A. BANCO MÚLTIPLO; 112 ; 10.349.268 ; 338 ; 28.841.489 ; 1.575 ; 164.779.681 ; 2.717 ; 506.567.946 ; 4.742 ; 710.538.385 ; 328 ; 419.415.836 ; 99 ; 59.120.256 ; 427 ; 478.536.092 ; 5.169 ; 1.189.074.477 ;;;;
55;15.114.366;BANCO BOCOM BBM S.A.; 116 ; 91.798.033 ; 67 ; 4.844.378 ; 159 ; 280.246.689 ; 1.273 ; 350.192.351 ; 1.615 ; 727.081.450 ; 25 ; 94.976.213 ; 36 ; 234.997.448 ; 61 ; 329.973.661 ; 1.676 ; 1.057.055.111 ;;;;
