Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em OUTUBRO / 2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
57;07.656.500;BANCO KDB DO BRASIL S.A.; -   ; -   ; 2 ; 594.262 ; 125 ; 51.135.812 ; 252 ; 22.274.301 ; 379 ; 74.004.375 ; 25 ; 34.757.335 ; 30 ; 63.721.000 ; 55 ; 98.478.335 ; 434 ; 172.482.710 ;;
58;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 966 ; 56.389.961 ; 1.119 ; 34.010.070 ; 910 ; 16.144.473 ; 490 ; 27.996.213 ; 3.485 ; 134.540.717 ; 21 ; 8.928.633 ; 13 ; 19.064.805 ; 34 ; 27.993.438 ; 3.519 ; 162.534.155 ;;
59;00.416.968;BANCO INTER S.A.; 73 ; 356.421 ; 518 ; 1.439.776 ; 51.929 ; 77.064.575 ; 127.899 ; 52.638.019 ; 180.419 ; 131.498.791 ; 6 ; 1.119.825 ; 9 ; 25.481.869 ; 15 ; 26.601.694 ; 180.434 ; 158.100.485 ;;
60;61.384.004;AVENUE SECURITIES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.; -   ; -   ; -   ; -   ; 12.032 ; 18.277.436 ; 63.601 ; 76.313.825 ; 75.633 ; 94.591.261 ; 122 ; 58.275.000 ; 2 ; 150.000 ; 124 ; 58.425.000 ; 75.757 ; 153.016.261 ;;
61;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 141 ; 2.868.303 ; 993 ; 28.884.444 ; 1.227 ; 10.885.116 ; 2.841 ; 18.114.555 ; 5.202 ; 60.752.418 ; 667 ; 60.530.135 ; 114 ; 27.324.380 ; 781 ; 87.854.515 ; 5.983 ; 148.606.933 ;;
62;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 701 ; 311.123 ; 26.707 ; 7.604.391 ; 146.701 ; 51.381.204 ; 232.087 ; 59.062.005 ; 406.196 ; 118.358.723 ; 67 ; 21.469.708 ; 124 ; 5.318.156 ; 191 ; 26.787.864 ; 406.387 ; 145.146.587 ;;
63;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 194 ; 4.973.696 ; 682 ; 18.962.279 ; 10.814 ; 23.573.573 ; 32.947 ; 35.342.259 ; 44.637 ; 82.851.807 ; 1.006 ; 39.295.287 ; 123 ; 13.698.124 ; 1.129 ; 52.993.411 ; 45.766 ; 135.845.218 ;;
64;11.495.073;OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA; 20 ; 430.384 ; 211 ; 3.992.522 ; 6.355 ; 3.617.824 ; 8.118 ; 23.317.802 ; 14.704 ; 31.358.532 ; 1.881 ; 57.317.923 ; 208 ; 33.829.685 ; 2.089 ; 91.147.608 ; 16.793 ; 122.506.140 ;;
65;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; -   ; -   ; 24 ; 13.174.615 ; 6 ; 41.052.664 ; 17 ; 350.719 ; 47 ; 54.577.998 ; 9 ; 13.688.000 ; 5 ; 41.897.608 ; 14 ; 55.585.608 ; 61 ; 110.163.606 ;;
66;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 164 ; 2.421.639 ; 1.458 ; 39.264.026 ; 396 ; 7.835.344 ; 918 ; 13.119.108 ; 2.936 ; 62.640.117 ; 433 ; 43.931.028 ; 18 ; 1.722.180 ; 451 ; 45.653.208 ; 3.387 ; 108.293.325 ;;
67;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 114 ; 2.398.758 ; 850 ; 17.914.405 ; 7.086 ; 10.888.080 ; 15.157 ; 23.505.036 ; 23.207 ; 54.706.279 ; 3.317 ; 36.515.536 ; 190 ; 8.119.715 ; 3.507 ; 44.635.251 ; 26.714 ; 99.341.530 ;;
68;60.889.128;BANCO SOFISA S.A.; 233 ; 46.370.949 ; 123 ; 13.228.459 ; 14 ; 1.952.396 ; 125 ; 5.182.355 ; 495 ; 66.734.159 ; 17 ; 3.918.183 ; 13 ; 27.013.302 ; 30 ; 30.931.485 ; 525 ; 97.665.644 ;;
69;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 37 ; 526.804 ; 455 ; 6.552.558 ; 15.416 ; 17.990.559 ; 51.805 ; 35.046.836 ; 67.713 ; 60.116.757 ; 1.066 ; 29.174.471 ; 81 ; 6.059.669 ; 1.147 ; 35.234.140 ; 68.860 ; 95.350.897 ;;
70;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 129 ; 3.850.215 ; 1.063 ; 30.501.141 ; 540 ; 7.202.646 ; 926 ; 7.265.017 ; 2.658 ; 48.819.019 ; 408 ; 33.112.521 ; 64 ; 6.449.005 ; 472 ; 39.561.526 ; 3.130 ; 88.380.545 ;;
71;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 31 ; 36.984.220 ; 22 ; 6.431.621 ; 7 ; 1.720.681 ; 58 ; 3.164.592 ; 118 ; 48.301.114 ; 7 ; 8.888.635 ; 9 ; 29.884.785 ; 16 ; 38.773.420 ; 134 ; 87.074.534 ;;
