Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Ago/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
42;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES; 77 ; 26.299.115 ; 32 ; 1.975.097 ; 30 ; 85.443 ; 46 ; 333.458 ; 185 ; 28.693.112 ; 325 ; 1.319.010.000 ; 369 ; 1.347.500.000 ; 694,0 ; 2.666.510.000 ; 879 ; 2.695.203.112 ;
43;73.622.748;B & T ASSOCIADOS CORRETORA DE C∂MBIO LTDA.; 322 ; 9.030.550 ; 3.657 ; 94.666.912 ; 4.399 ; 45.864.273 ; 12.968 ; 797.187.922 ; 21.346 ; 946.749.656 ; 25.967 ; 1.244.752.331 ; 1.111 ; 407.696.328 ; 27.078,0 ; 1.652.448.659 ; 48.424 ; 2.599.198.315 ;
44;78.632.767;BANCO OURINVEST S.A.; 8 ; 42.124.195 ; 193 ; 22.079.730 ; 1.195 ; 25.930.456 ; 4.133 ; 77.608.979 ; 5.529 ; 167.743.360 ; 1.902 ; 1.208.107.838 ; 22.169 ; 1.155.832.583 ; 24.071,0 ; 2.363.940.421 ; 29.600 ; 2.531.683.781 ;
45;71.027.866;BANCO BONSUCESSO S.A.;;; 4 ; 31.715 ; 354 ; 2.181.788 ; 1.390 ; 31.523.345 ; 1.748 ; 33.736.848 ; 1.147 ; 1.240.941.389 ; 3.423 ; 1.211.088.836 ; 4.570,0 ; 2.452.030.225 ; 6.318 ; 2.485.767.074 ;
46;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 1.222 ; 597.980.428 ; 1.573 ; 202.271.359 ; 471 ; 104.787.201 ; 2.067 ; 283.610.326 ; 5.333 ; 1.188.649.314 ; 251 ; 472.397.629 ; 261 ; 601.073.685 ; 512,0 ; 1.073.471.314 ; 5.845 ; 2.262.120.628 ;
47;04.913.129;CONFIDENCE CORRETORA DE C∂MBIO S.A.; 4 ; 16.187 ; 11 ; 27.754 ; 8.597 ; 87.516.030 ; 44.038 ; 670.605.333 ; 52.650 ; 758.165.304 ; 18.065 ; 927.637.243 ; 1.067 ; 342.643.718 ; 19.132,0 ; 1.270.280.962 ; 71.782 ; 2.028.446.265 ;
48;62.144.175;BANCO PINE S.A.; 104 ; 325.770.978 ; 376 ; 205.401.209 ; 61 ; 139.829.534 ; 600 ; 252.982.503 ; 1.141 ; 923.984.225 ; 33 ; 397.476.974 ; 34 ; 580.701.499 ; 67,0 ; 978.178.473 ; 1.208 ; 1.902.162.698 ;
49;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.; 51 ; 3.017.925 ; 218 ; 6.183.856 ; 248 ; 52.709.786 ; 1.332 ; 95.166.569 ; 1.849 ; 157.078.136 ; 398 ; 851.170.991 ; 473 ; 809.517.367 ; 871,0 ; 1.660.688.358 ; 2.720 ; 1.817.766.494 ;
50;33.923.798;BANCO MµXIMA S.A.; 318 ; 8.350.786 ; 2.688 ; 115.829.680 ; 506 ; 106.691.678 ; 2.046 ; 168.436.976 ; 5.558 ; 399.309.119 ; 2.040 ; 780.718.514 ; 9.781 ; 608.601.382 ; 11.821,0 ; 1.389.319.896 ; 17.379 ; 1.788.629.016 ;
51;30.723.886;BANCO MODAL S.A.; 74 ; 16.832.238 ; 553 ; 59.618.210 ; 97 ; 275.965.430 ; 386 ; 44.664.947 ; 1.110 ; 397.080.825 ; 148 ; 558.203.425 ; 157 ; 749.036.492 ; 305,0 ; 1.307.239.918 ; 1.415 ; 1.704.320.743 ;
