Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em FEVEREIRO / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
65;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 1 ; 730.000 ; 3 ; 693.048 ; 10 ; 25.144.305 ; 54 ; 16.324.049 ; 68 ; 42.891.402 ; 2 ; 962.000 ; 4 ; 45.960.800 ; 6 ; 46.922.800 ; 74 ; 89.814.202 ;
66;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 108 ; 2.407.321 ; 841 ; 22.623.201 ; 482 ; 8.813.862 ; 900 ; 10.984.537 ; 2.331 ; 44.828.920 ; 439 ; 30.290.514 ; 65 ; 8.140.424 ; 504 ; 38.430.938 ; 2.835 ; 83.259.858 ;
67;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 135 ; 2.354.353 ; 1.015 ; 25.858.554 ; 293 ; 4.605.551 ; 925 ; 9.601.944 ; 2.368 ; 42.420.402 ; 415 ; 31.042.588 ; 40 ; 2.503.050 ; 455 ; 33.545.638 ; 2.823 ; 75.966.040 ;
68;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 118 ; 11.362.022 ; 279 ; 34.286.758 ; 397 ; 45.648.781 ; 51 ; 25.250.000 ; 6 ; 2.100.000 ; 57 ; 27.350.000 ; 454 ; 72.998.781 ;
69;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 3.427 ; 33.602.924 ; 7.408 ; 31.675.539 ; 10.835 ; 65.278.463 ; 24 ; 2.150.277 ; 28 ; 5.247.306 ; 52 ; 7.397.583 ; 10.887 ; 72.676.047 ;
70;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 2 ; 16.015.543 ; 8 ; 2.221.165 ; 6 ; 380.583 ; 16 ; 396.012 ; 32 ; 19.013.303 ; 1 ; 16.085.725 ; 2 ; 36.021.180 ; 3 ; 52.106.905 ; 35 ; 71.120.208 ;
71;61.186.680;BANCO BMG S.A.; 2 ; 353.898 ; 2 ; 3.206.451 ; 3 ; 322.535 ; 30 ; 419.709 ; 37 ; 4.302.593 ; 2 ; 35.000.000 ; 1 ; 30.000.000 ; 3 ; 65.000.000 ; 40 ; 69.302.593 ;
72;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 206 ; 5.085.559 ; 747 ; 22.665.458 ; 474 ; 5.688.765 ; 423 ; 5.011.613 ; 1.850 ; 38.451.395 ; 283 ; 22.142.759 ; 63 ; 5.239.586 ; 346 ; 27.382.345 ; 2.196 ; 65.833.740 ;
73;60.889.128;BANCO SOFISA S.A.; 100 ; 28.195.009 ; 43 ; 1.934.908 ; 13 ; 2.428.748 ; 47 ; 460.462 ; 203 ; 33.019.127 ; 3 ; 300.205 ; 10 ; 22.796.925 ; 13 ; 23.097.130 ; 216 ; 56.116.258 ;
74;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.;;; 4 ; 241.613 ; 3 ; 26.055.427 ; 24 ; 26.637.043 ; 31 ; 52.934.084 ; 2 ; 2.370.000 ;;; 2 ; 2.370.000 ; 33 ; 55.304.084 ;
