Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Out/2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
44;00.997.185;BANCO B3 S.A.; -   ; -   ; -   ; -   ; 1.925 ; 1.530.679.089 ; 1.619 ; 1.656.129.244 ; 3.544 ; 3.186.808.333 ; 320 ; 458.956.671 ; 424 ; 333.600.673 ; 744 ; 792.557.344 ; 4.288 ; 3.979.365.677 ;;
45;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION; -   ; -   ; -   ; -   ; 184 ; 261.979.307 ; 383 ; 1.676.083.373 ; 567 ; 1.938.062.680 ; 121 ; 1.636.379.456 ; 33 ; 221.462.038 ; 154 ; 1.857.841.494 ; 721 ; 3.795.904.174 ;;
46;28.811.341;STONEX BANCO DE CÂMBIO S.A.; 732 ; 127.667.197 ; 643 ; 42.587.774 ; 40.849 ; 1.552.413.409 ; 2.265 ; 167.185.568 ; 44.489 ; 1.889.853.948 ; 700 ; 148.780.562 ; 1.756 ; 1.619.086.960 ; 2.456 ; 1.767.867.522 ; 46.945 ; 3.657.721.470 ;;
47;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 293 ; 589.343.617 ; -   ; -   ; 354 ; 127.862.694 ; 13 ; 750.959 ; 660 ; 717.957.270 ; 25 ; 780.000.000 ; 61 ; 1.998.835.998 ; 86 ; 2.778.835.998 ; 746 ; 3.496.793.268 ;;
48;00.360.305;CAIXA ECONOMICA FEDERAL; 1.106 ; 420.684.700 ; 852 ; 36.889.564 ; 73.377 ; 529.332.976 ; 30.554 ; 711.836.014 ; 105.889 ; 1.698.743.254 ; 1.509 ; 723.582.191 ; 1.621 ; 933.894.033 ; 3.130 ; 1.657.476.224 ; 109.019 ; 3.356.219.478 ;;
49;33.923.798;BANCO MASTER S/A; 755 ; 485.441.856 ; 1.625 ; 339.963.775 ; 26.737 ; 525.730.683 ; 3.638 ; 294.013.839 ; 32.755 ; 1.645.150.153 ; 197 ; 650.786.945 ; 278 ; 954.349.231 ; 475 ; 1.605.136.176 ; 33.230 ; 3.250.286.329 ;;
50;62.144.175;BANCO PINE S.A.; 324 ; 315.203.758 ; 1.625 ; 852.955.574 ; 169 ; 222.181.968 ; 2.903 ; 389.411.081 ; 5.021 ; 1.779.752.381 ; 206 ; 1.101.511.962 ; 128 ; 367.054.767 ; 334 ; 1.468.566.729 ; 5.355 ; 3.248.319.110 ;;
51;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 1.784 ; 56.413.124 ; 16.424 ; 400.218.712 ; 20.215 ; 561.181.033 ; 45.067 ; 768.235.186 ; 83.490 ; 1.786.048.055 ; 4.733 ; 803.837.418 ; 1.254 ; 252.642.357 ; 5.987 ; 1.056.479.775 ; 89.477 ; 2.842.527.830 ;;
52;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 41 ; 480.115.848 ; 69 ; 28.640.647 ; 26 ; 10.472.360 ; 119 ; 4.044.214 ; 255 ; 523.273.069 ; 76 ; 826.394.356 ; 112 ; 1.275.321.986 ; 188 ; 2.101.716.342 ; 443 ; 2.624.989.411 ;;
53;71.677.850;FRENTE CORRETORA DE CÂMBIO S.A.; 13 ; 917.258 ; 198 ; 6.394.012 ; 7.189 ; 790.125.217 ; 41.791 ; 1.050.399.924 ; 49.191 ; 1.847.836.411 ; 5.559 ; 384.314.688 ; 508 ; 118.665.256 ; 6.067 ; 502.979.944 ; 55.258 ; 2.350.816.355 ;;
54;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 3.644 ; 739.815.794 ; 3.756 ; 304.209.193 ; 5.172 ; 164.353.599 ; 6.277 ; 160.424.617 ; 18.849 ; 1.368.803.203 ; 270 ; 223.709.558 ; 525 ; 654.611.227 ; 795 ; 878.320.785 ; 19.644 ; 2.247.123.988 ;;
55;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 8.655 ; 455.401.426 ; 10.725 ; 450.890.042 ; 8.331 ; 312.855.612 ; 4.514 ; 339.514.614 ; 32.225 ; 1.558.661.694 ; 185 ; 328.364.821 ; 84 ; 311.114.262 ; 269 ; 639.479.083 ; 32.494 ; 2.198.140.777 ;;
56;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 47 ; 418.243.269 ; 74 ; 9.872.001 ; 157 ; 324.470.084 ; 265 ; 403.903.916 ; 543 ; 1.156.489.270 ; 56 ; 309.207.659 ; 92 ; 638.971.738 ; 148 ; 948.179.397 ; 691 ; 2.104.668.667 ;;
57;61.024.352;BANCO VOITER S.A.; 160 ; 128.332.946 ; 1.245 ; 443.266.323 ; 1.632 ; 397.902.492 ; 8.218 ; 437.360.381 ; 11.255 ; 1.406.862.142 ; 579 ; 502.244.407 ; 554 ; 140.527.797 ; 1.133 ; 642.772.204 ; 12.388 ; 2.049.634.346 ;;
58;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 51 ; 297.027.716 ; 40 ; 33.242.105 ; 74 ; 65.121.156 ; 183 ; 148.187.218 ; 348 ; 543.578.195 ; 97 ; 653.949.602 ; 160 ; 847.851.824 ; 257 ; 1.501.801.426 ; 605 ; 2.045.379.621 ;;
59;45.246.410;BANCO GENIAL S.A.; 104 ; 7.112.248 ; 326 ; 36.632.247 ; 2.871 ; 467.025.257 ; 3.597 ; 714.240.997 ; 6.898 ; 1.225.010.749 ; 158 ; 372.803.189 ; 56 ; 95.727.197 ; 214 ; 468.530.386 ; 7.112 ; 1.693.541.135 ;;
60;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 1.789 ; 43.303.408 ; 6.942 ; 220.158.491 ; 121.446 ; 256.435.441 ; 352.586 ; 433.941.230 ; 482.763 ; 953.838.570 ; 15.490 ; 524.205.289 ; 1.134 ; 169.817.440 ; 16.624 ; 694.022.729 ; 499.387 ; 1.647.861.299 ;;
61;03.609.817;BANCO CARGILL S.A.; 53 ; 298.632.819 ; 3 ; 253.503 ; 77 ; 109.729.440 ; 563 ; 242.957.619 ; 696 ; 651.573.381 ; 21 ; 345.000.000 ; 16 ; 550.000.000 ; 37 ; 895.000.000 ; 733 ; 1.546.573.381 ;;
62;00.416.968;BANCO INTER S.A.; 194 ; 15.842.683 ; 945 ; 6.029.564 ; 247.575 ; 697.331.692 ; 588.022 ; 546.984.057 ; 836.736 ; 1.266.187.996 ; 75 ; 38.289.108 ; 97 ; 181.811.730 ; 172 ; 220.100.838 ; 836.908 ; 1.486.288.834 ;;
63;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 1.173 ; 30.230.516 ; 8.395 ; 277.578.568 ; 14.112 ; 140.269.986 ; 36.544 ; 247.575.716 ; 60.224 ; 695.654.786 ; 6.760 ; 562.548.137 ; 775 ; 207.908.907 ; 7.535 ; 770.457.044 ; 67.759 ; 1.466.111.830 ;;
64;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 1.044 ; 453.983 ; 38.295 ; 10.790.023 ; 1.362.106 ; 464.843.366 ; 2.316.344 ; 655.149.220 ; 3.717.789 ; 1.131.236.592 ; 986 ; 258.985.782 ; 1.693 ; 57.845.367 ; 2.679 ; 316.831.149 ; 3.720.468 ; 1.448.067.741 ;;
65;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 126 ; 14.413.764 ; 435 ; 46.985.341 ; 2.115 ; 389.453.013 ; 5.814 ; 383.649.181 ; 8.490 ; 834.501.299 ; 1.325 ; 213.234.874 ; 710 ; 186.439.745 ; 2.035 ; 399.674.619 ; 10.525 ; 1.234.175.918 ;;
66;60.889.128;BANCO SOFISA S.A.; 2.119 ; 457.794.640 ; 817 ; 73.526.921 ; 167 ; 27.711.678 ; 1.123 ; 142.706.761 ; 4.226 ; 701.740.000 ; 104 ; 120.763.967 ; 170 ; 385.404.924 ; 274 ; 506.168.891 ; 4.500 ; 1.207.908.891 ;;
67;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 279 ; 12.557.459 ; 1.998 ; 99.530.522 ; 70.762 ; 135.669.945 ; 154.773 ; 334.730.760 ; 227.812 ; 582.488.686 ; 37.325 ; 429.736.906 ; 3.223 ; 143.268.767 ; 40.548 ; 573.005.673 ; 268.360 ; 1.155.494.359 ;;
