Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Dez/2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
42;33.923.798;BANCO MÁXIMA S.A.; 1.620 ; 608.703.794 ; 3.339 ; 237.636.805 ; 76.873 ; 721.072.069 ; 329.466 ; 962.706.982 ; 411.298 ; 2.530.119.650 ; 761 ; 559.223.647 ; 664 ; 714.043.884 ; 1.425 ; 1.273.267.531 ; 412.723 ; 3.803.387.181 ;
43;07.679.404;BANCO TOPÁZIO S.A.; 255 ; 157.755.599 ; 520 ; 50.600.452 ; 4.102 ; 150.104.566 ; 3.942 ; 922.197.330 ; 8.819 ; 1.280.657.947 ; 3.416 ; 1.350.188.318 ; 7.869 ; 685.245.149 ; 11.285 ; 2.035.433.467 ; 20.104 ; 3.316.091.414 ;
44;00.997.185;BANCO B3 S.A.;;;;; 1.841 ; 899.397.839 ; 1.596 ; 1.222.759.117 ; 3.437 ; 2.122.156.956 ; 755 ; 740.257.406 ; 370 ; 416.925.912 ; 1.125 ; 1.157.183.318 ; 4.562 ; 3.279.340.273 ;
45;33.264.668;BANCO XP S.A.; 110 ; 57.744.744 ; 978 ; 162.148.933 ; 609 ; 865.579.160 ; 1.407 ; 776.080.989 ; 3.104 ; 1.861.553.826 ; 175 ; 674.601.702 ; 72 ; 649.156.939 ; 247 ; 1.323.758.641 ; 3.351 ; 3.185.312.467 ;
46;30.723.886;BANCO MODAL S.A.; 136 ; 125.026.096 ; 759 ; 75.895.581 ; 1.966 ; 1.087.957.219 ; 1.445 ; 724.439.601 ; 4.306 ; 2.013.318.498 ; 82 ; 281.697.469 ; 107 ; 690.731.365 ; 189 ; 972.428.834 ; 4.495 ; 2.985.747.332 ;
47;07.656.500;BANCO KDB DO BRASIL S.A.;;; 1 ; 5.068.046 ; 1.569 ; 477.820.766 ; 3.953 ; 1.103.812.131 ; 5.523 ; 1.586.700.943 ; 425 ; 1.040.241.608 ; 203 ; 340.200.000 ; 628 ; 1.380.441.608 ; 6.151 ; 2.967.142.551 ;
48;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 54 ; 227.932.117 ; 41 ; 10.633.646 ; 60 ; 24.530.778 ; 2.948 ; 1.049.817.538 ; 3.103 ; 1.312.914.079 ; 189 ; 1.174.614.880 ; 58 ; 356.101.034 ; 247 ; 1.530.715.913 ; 3.350 ; 2.843.629.992 ;
49;31.872.495;BANCO C6 S.A.; 121 ; 132.799.656 ; 1.125 ; 149.742.361 ; 2.387 ; 149.652.015 ; 32.180 ; 410.770.894 ; 35.813 ; 842.964.926 ; 423 ; 1.069.622.401 ; 967 ; 769.533.443 ; 1.390 ; 1.839.155.845 ; 37.203 ; 2.682.120.770 ;
50;45.246.410;PLURAL S.A. BANCO MÚLTIPLO; 200 ; 19.400.277 ; 526 ; 39.267.065 ; 2.227 ; 250.230.734 ; 4.403 ; 1.030.310.660 ; 7.356 ; 1.339.208.735 ; 535 ; 860.525.292 ; 123 ; 60.556.722 ; 658 ; 921.082.014 ; 8.014 ; 2.260.290.749 ;
51;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 2.212 ; 42.267.598 ; 9.157 ; 241.844.340 ; 71.582 ; 328.631.030 ; 30.789 ; 354.273.502 ; 113.740 ; 967.016.469 ; 9.191 ; 719.077.599 ; 4.016 ; 493.818.544 ; 13.207 ; 1.212.896.143 ; 126.947 ; 2.179.912.611 ;
52;15.114.366;BANCO BOCOM BBM S.A.; 157 ; 112.817.995 ; 77 ; 6.902.625 ; 248 ; 417.394.707 ; 1.946 ; 527.188.521 ; 2.428 ; 1.064.303.849 ; 68 ; 465.950.706 ; 83 ; 578.170.590 ; 151 ; 1.044.121.296 ; 2.579 ; 2.108.425.145 ;
53;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 2.384 ; 59.145.294 ; 21.577 ; 364.561.788 ; 20.088 ; 204.792.244 ; 41.711 ; 339.422.067 ; 85.760 ; 967.921.392 ; 6.246 ; 718.125.559 ; 2.073 ; 278.200.839 ; 8.319 ; 996.326.398 ; 94.079 ; 1.964.247.790 ;
54;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 7.801 ; 504.399.177 ; 9.042 ; 401.449.998 ; 4.790 ; 99.138.738 ; 7.396 ; 307.250.623 ; 29.029 ; 1.312.238.535 ; 276 ; 344.994.652 ; 218 ; 224.071.130 ; 494 ; 569.065.781 ; 29.523 ; 1.881.304.317 ;
55;03.609.817;BANCO CARGILL S.A.; 230 ; 368.145.876 ; 5 ; 316.415 ; 57 ; 113.795.879 ; 212 ; 56.112.915 ; 504 ; 538.371.085 ; 11 ; 413.000.000 ; 30 ; 811.500.000 ; 41 ; 1.224.500.000 ; 545 ; 1.762.871.085 ;
56;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 203 ; 219.812.050 ; 869 ; 163.859.426 ; 155 ; 96.715.436 ; 455 ; 115.996.223 ; 1.682 ; 596.383.135 ; 325 ; 541.509.239 ; 323 ; 585.329.935 ; 648 ; 1.126.839.173 ; 2.330 ; 1.723.222.308 ;
57;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 201 ; 22.875.456 ; 401 ; 21.118.657 ; 34.337 ; 743.015.529 ; 2.383 ; 67.754.846 ; 37.322 ; 854.764.489 ; 767 ; 56.699.097 ; 1.425 ; 733.716.089 ; 2.192 ; 790.415.186 ; 39.514 ; 1.645.179.675 ;
58;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 63 ; 206.393.815 ; 160 ; 13.219.241 ; 161 ; 157.594.184 ; 548 ; 142.800.322 ; 932 ; 520.007.563 ; 104 ; 369.904.719 ; 118 ; 577.781.312 ; 222 ; 947.686.031 ; 1.154 ; 1.467.693.593 ;
59;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 119 ; 63.405.552 ; 140 ; 20.057.140 ; 179 ; 545.228.206 ; 509 ; 193.060.980 ; 947 ; 821.751.879 ; 65 ; 102.519.255 ; 96 ; 488.553.134 ; 161 ; 591.072.389 ; 1.108 ; 1.412.824.268 ;
60;92.894.922;BANCO ORIGINAL S.A.; 177 ; 282.293.124 ; 111 ; 52.377.621 ; 533 ; 7.743.783 ; 1.340 ; 158.271.004 ; 2.161 ; 500.685.531 ; 58 ; 189.092.816 ; 75 ; 641.096.354 ; 133 ; 830.189.170 ; 2.294 ; 1.330.874.702 ;
61;61.186.680;BANCO BMG S.A.; 46 ; 45.417.002 ; 16 ; 11.380.640 ; 34 ; 9.770.182 ; 424 ; 210.013.179 ; 520 ; 276.581.003 ; 29 ; 540.317.685 ; 26 ; 390.979.161 ; 55 ; 931.296.846 ; 575 ; 1.207.877.849 ;
62;02.318.507;BANCO KEB HANA DO BRASIL S.A.; 16 ; 77.238.600 ; 236 ; 124.584.252 ; 532 ; 279.107.307 ; 851 ; 289.094.423 ; 1.635 ; 770.024.582 ; 337 ; 210.249.950 ; 96 ; 152.917.961 ; 433 ; 363.167.910 ; 2.068 ; 1.133.192.492 ;
63;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 50 ; 240.617.963 ; 427 ; 129.848.445 ; 23 ; 47.152.851 ; 1.131 ; 91.596.258 ; 1.631 ; 509.215.517 ; 79 ; 265.873.050 ; 69 ; 328.200.447 ; 148 ; 594.073.497 ; 1.779 ; 1.103.289.014 ;
64;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 383 ; 395.235.926 ; 663 ; 53.706.068 ; 639 ; 26.742.041 ; 768 ; 60.281.445 ; 2.453 ; 535.965.480 ; 532 ; 122.651.970 ; 400 ; 424.384.880 ; 932 ; 547.036.851 ; 3.385 ; 1.083.002.330 ;
65;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 7.339 ; 290.719.995 ; 7.687 ; 243.066.320 ; 4.647 ; 103.759.111 ; 3.249 ; 146.178.830 ; 22.922 ; 783.724.257 ; 159 ; 133.411.603 ; 110 ; 136.235.077 ; 269 ; 269.646.680 ; 23.191 ; 1.053.370.937 ;
66;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 33.118 ; 410.116.243 ; 100.911 ; 433.193.362 ; 134.029 ; 843.309.606 ; 855 ; 106.411.488 ; 1.421 ; 85.208.401 ; 2.276 ; 191.619.890 ; 136.305 ; 1.034.929.495 ;
67;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 1.109 ; 20.045.837 ; 12.483 ; 295.392.347 ; 6.296 ; 106.337.539 ; 13.397 ; 141.395.403 ; 33.285 ; 563.171.126 ; 6.290 ; 367.707.127 ; 486 ; 57.381.680 ; 6.776 ; 425.088.807 ; 40.061 ; 988.259.933 ;
68;33.042.953;CITIBANK N.A.;;;;; 14 ; 342.288 ; 122 ; 7.548.236 ; 136 ; 7.890.524 ; 2 ; 771.000.000 ; 2 ; 208.731.501 ; 4 ; 979.731.501 ; 140 ; 987.622.025 ;
69;59.285.411;BANCO PAN S.A.;;;;; 76 ; 951.379 ; 245 ; 483.416.252 ; 321 ; 484.367.631 ; 39 ; 482.605.660 ;;; 39 ; 482.605.660 ; 360 ; 966.973.291 ;
