Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em OUTUBRO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
43;73.622.748;B & T ASSOCIADOS CORRETORA DE C∂MBIO LTDA.; 64 ; 2.335.310 ; 536 ; 13.660.560 ; 732 ; 8.752.708 ; 1.883 ; 85.849.816 ; 3.215 ; 110.598.394 ; 3.076 ; 140.285.338 ; 103 ; 51.898.244 ; 3.179 ; 192.183.582 ; 6.394 ; 302.781.976 ;;;;
44;07.656.500;BANCO KDB DO BRASIL S.A.;;; 1 ; 3.185.884 ; 134 ; 73.536.820 ; 157 ; 66.686.182 ; 292 ; 143.408.886 ; 8 ; 42.300.000 ; 44 ; 96.700.000 ; 52 ; 139.000.000 ; 344 ; 282.408.886 ;;;;
45;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 130 ; 56.918.268 ; 175 ; 25.646.763 ; 83 ; 3.680.396 ; 322 ; 50.666.186 ; 710 ; 136.911.612 ; 29 ; 71.132.287 ; 24 ; 39.905.623 ; 53 ; 111.037.910 ; 763 ; 247.949.522 ;;;;
46;33.923.798;BANCO MµXIMA S.A.; 55 ; 774.444 ; 314 ; 20.204.831 ; 63 ; 6.800.965 ; 225 ; 13.605.822 ; 657 ; 41.386.062 ; 303 ; 113.748.891 ; 1.241 ; 89.578.221 ; 1.544 ; 203.327.112 ; 2.201 ; 244.713.174 ;;;;
47;04.913.129;CONFIDENCE CORRETORA DE C∂MBIO S.A.;;; 3 ; 20.042 ; 904 ; 9.272.092 ; 4.476 ; 72.239.687 ; 5.383 ; 81.531.821 ; 1.935 ; 103.510.046 ; 158 ; 40.889.040 ; 2.093 ; 144.399.086 ; 7.476 ; 225.930.907 ;;;;
48;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS; 5 ; 156.412 ; 1.261 ; 92.800.756 ; 220 ; 1.700.953 ; 3.350 ; 8.326.593 ; 4.836 ; 102.984.714 ; 801 ; 99.769.997 ; 37 ; 913.427 ; 838 ; 100.683.424 ; 5.674 ; 203.668.138 ;;;;
49;30.723.886;BANCO MODAL S.A.; 11 ; 7.155.174 ; 19 ; 1.925.376 ; 19 ; 36.703.110 ; 46 ; 1.161.400 ; 95 ; 46.945.060 ; 25 ; 45.341.829 ; 21 ; 88.138.499 ; 46 ; 133.480.328 ; 141 ; 180.425.388 ;;;;
50;74.451.022;TOV CORRETORA DE C∂MBIO, T÷TULOS E VALORES MOBILIµRIOS LTDA; 41 ; 1.195.232 ; 986 ; 31.971.363 ; 147 ; 2.349.958 ; 4.200 ; 54.026.704 ; 5.374 ; 89.543.257 ; 939 ; 83.313.584 ; 12 ; 915.387 ; 951 ; 84.228.971 ; 6.325 ; 173.772.228 ;;;;
51;02.992.317;TREVISO CORRETORA DE C∂MBIO S.A.; 6 ; 70.236 ; 93 ; 1.851.923 ; 389 ; 3.277.223 ; 1.457 ; 23.142.738 ; 1.945 ; 28.342.120 ; 1.881 ; 80.609.615 ; 390 ; 58.916.075 ; 2.271 ; 139.525.690 ; 4.216 ; 167.867.809 ;;;;
52;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 25 ; 503.421 ; 156 ; 1.662.447 ; 1.369 ; 11.505.395 ; 6.418 ; 80.615.663 ; 7.968 ; 94.286.927 ; 732 ; 70.248.283 ; 7 ; 149.014 ; 739 ; 70.397.297 ; 8.707 ; 164.684.224 ;;;;
53;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÈLTIPLO; 6 ; 17.555.754 ; 19 ; 39.175.966 ; 10 ; 14.279.901 ; 78 ; 10.285.887 ; 113 ; 81.297.507 ; 14 ; 47.438.533 ; 10 ; 35.940.594 ; 24 ; 83.379.126 ; 137 ; 164.676.634 ;;;;
54;28.127.603;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO; 722 ; 34.549.235 ; 327 ; 13.293.513 ; 132 ; 2.411.213 ; 316 ; 3.385.842 ; 1.497 ; 53.639.804 ; 32 ; 39.920.417 ; 106 ; 60.288.603 ; 138 ; 100.209.020 ; 1.635 ; 153.848.824 ;;;;
55;17.184.037;BANCO MERCANTIL DO BRASIL S.A.; 12 ; 3.309.992 ; 28 ; 1.224.918 ; 36 ; 1.025.620 ; 80 ; 4.192.628 ; 156 ; 9.753.157 ; 77 ; 70.138.241 ; 55 ; 70.702.991 ; 132 ; 140.841.231 ; 288 ; 150.594.389 ;;;;
56;00.997.185;BANCO BM&FBOVESPA DE SERVIÄOS DE LIQUIDAÄ«O E CUST‡DIA S.A.;;;;; 49 ; 33.737.690 ; 35 ; 41.536.049 ; 84 ; 75.273.739 ; 34 ; 41.299.000 ; 35 ; 33.575.000 ; 69 ; 74.874.000 ; 153 ; 150.147.739 ;;;;
57;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.; 8 ; 521.780 ; 88 ; 5.321.965 ; 36 ; 3.448.455 ; 67 ; 3.901.457 ; 199 ; 13.193.657 ; 21 ; 72.050.000 ; 30 ; 63.100.000 ; 51 ; 135.150.000 ; 250 ; 148.343.657 ;;;;
58;72.760.713;RENOVA S.A. CORRETORA DE C∂MBIO; 1 ; 65.324 ; 83 ; 1.960.611 ; 223 ; 1.590.264 ; 1.121 ; 10.850.878 ; 1.428 ; 14.467.077 ; 842 ; 65.879.134 ; 74 ; 54.690.305 ; 916 ; 120.569.439 ; 2.344 ; 135.036.516 ;;;;
59;92.856.905;ADVANCED CORRETORA DE C∂MBIO LTDA; 76 ; 2.429.756 ; 1.251 ; 36.160.062 ; 837 ; 13.040.273 ; 2.576 ; 22.591.898 ; 4.740 ; 74.221.990 ; 634 ; 49.405.875 ; 109 ; 5.870.528 ; 743 ; 55.276.403 ; 5.483 ; 129.498.393 ;;;;
60;13.728.156;WESTERN UNION CORRETORA DE C∂MBIO S.A.; 2 ; 42.518 ; 37 ; 341.016 ; 538 ; 16.339.320 ; 1.499 ; 58.757.839 ; 2.076 ; 75.480.693 ; 669 ; 47.846.358 ; 427 ; 4.668.227 ; 1.096 ; 52.514.585 ; 3.172 ; 127.995.277 ;;;;
61;61.024.352;BANCO INDUSVAL S.A.; 53 ; 25.858.345 ; 65 ; 6.381.327 ; 14 ; 354.273 ; 72 ; 19.983.026 ; 204 ; 52.576.971 ; 37 ; 37.053.493 ; 40 ; 29.159.674 ; 77 ; 66.213.168 ; 281 ; 118.790.139 ;;;;
62;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 31 ; 708.388 ; 951 ; 26.977.419 ; 693 ; 9.683.030 ; 2.818 ; 31.612.885 ; 4.493 ; 68.981.723 ; 391 ; 48.360.135 ; 1 ; 157.291 ; 392 ; 48.517.427 ; 4.885 ; 117.499.150 ;;;;
63;11.495.073;OM DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS LTDA;;; 80 ; 5.301.813 ; 2.140 ; 2.406.176 ; 3.821 ; 19.242.765 ; 6.041 ; 26.950.754 ; 1.321 ; 56.135.343 ; 101 ; 34.012.647 ; 1.422 ; 90.147.990 ; 7.463 ; 117.098.744 ;;;;
64;58.616.418;BANCO FIBRA S.A.; 163 ; 24.248.335 ; 219 ; 18.406.604 ; 90 ; 8.145.728 ; 226 ; 16.313.858 ; 698 ; 67.114.525 ; 47 ; 23.179.459 ; 41 ; 20.291.404 ; 88 ; 43.470.863 ; 786 ; 110.585.387 ;;;;
65;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 43 ; 1.415.534 ; 1.018 ; 39.842.422 ; 383 ; 8.410.119 ; 933 ; 9.759.532 ; 2.377 ; 59.427.607 ; 269 ; 43.017.732 ; 15 ; 3.622.065 ; 284 ; 46.639.797 ; 2.661 ; 106.067.404 ;;;;
66;03.609.817;BANCO CARGILL S.A.; 36 ; 47.415.899 ; 1 ; 2.478.289 ; 3 ; 6.079.713 ; 16 ; 3.183.730 ; 56 ; 59.157.632 ; 2 ; 2.750.000 ; 8 ; 41.750.000 ; 10 ; 44.500.000 ; 66 ; 103.657.632 ;;;;
67;15.357.060;BANCO WOORI BANK DO BRASIL S.A.;;; 26 ; 33.125.933 ; 22 ; 2.085.575 ; 221 ; 11.791.538 ; 269 ; 47.003.045 ; 39 ; 45.185.000 ; 7 ; 2.345.000 ; 46 ; 47.530.000 ; 315 ; 94.533.045 ;;;;
68;61.033.106;BPN BRASIL BANCO MÈLTIPLO S.A.; 8 ; 1.540.825 ; 3 ; 70.329 ; 37 ; 42.425.468 ; 15 ; 30.214.005 ; 63 ; 74.250.626 ; 9 ; 613.290 ; 19 ; 14.263.323 ; 28 ; 14.876.612 ; 91 ; 89.127.239 ;;;;
69;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 4 ; 1.022.440 ; 2 ; 255.680 ; 145 ; 4.113.584 ; 104 ; 32.670.285 ; 255 ; 38.061.989 ; 30 ; 28.740.121 ; 22 ; 17.998.051 ; 52 ; 46.738.172 ; 307 ; 84.800.161 ;;;;
70;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 324 ; 20.686.663 ; 328 ; 12.147.606 ; 169 ; 8.988.723 ; 207 ; 16.379.942 ; 1.028 ; 58.202.933 ; 26 ; 12.425.144 ; 18 ; 13.922.847 ; 44 ; 26.347.991 ; 1.072 ; 84.550.924 ;;;;
