Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em SETEMBRO / 2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
52;71.677.850;FRENTE CORRETORA DE CÂMBIO S.A.; 2 ; 71.226 ; 62 ; 1.804.185 ; 657 ; 94.833.079 ; 5.621 ; 104.867.162 ; 6.342 ; 201.575.652 ; 558 ; 31.974.046 ; 94 ; 17.216.100 ; 652 ; 49.190.146 ; 6.994 ; 250.765.798 ;;
53;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 983 ; 64.157.065 ; 991 ; 39.882.061 ; 847 ; 12.948.796 ; 415 ; 48.204.754 ; 3.236 ; 165.192.676 ; 18 ; 48.229.722 ; 8 ; 25.422.763 ; 26 ; 73.652.485 ; 3.262 ; 238.845.161 ;;
54;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 2 ; 62.056.435 ; 8 ; 6.109.720 ; 6 ; 10.187.154 ; 29 ; 533.770 ; 45 ; 78.887.079 ; 2 ; 35.000.000 ; 3 ; 103.000.000 ; 5 ; 138.000.000 ; 50 ; 216.887.079 ;;
55;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 514 ; 79.529.013 ; 399 ; 24.521.665 ; 414 ; 8.331.739 ; 502 ; 12.321.782 ; 1.829 ; 124.704.199 ; 15 ; 11.845.661 ; 44 ; 62.939.552 ; 59 ; 74.785.213 ; 1.888 ; 199.489.412 ;;
56;07.656.500;BANCO KDB DO BRASIL S.A.; -   ; -   ; 3 ; 937.136 ; 116 ; 85.685.711 ; 239 ; 42.817.143 ; 358 ; 129.439.990 ; 28 ; 9.282.092 ; 23 ; 51.876.000 ; 51 ; 61.158.092 ; 409 ; 190.598.082 ;;
57;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION; -   ; -   ; -   ; -   ; 34 ; 67.846.124 ; 32 ; 28.549.275 ; 66 ; 96.395.399 ; 9 ; 23.115.967 ; 5 ; 61.902.905 ; 14 ; 85.018.872 ; 80 ; 181.414.271 ;;
58;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 13 ; 1.114.609 ; 75 ; 8.430.380 ; 201 ; 43.387.677 ; 555 ; 65.872.304 ; 844 ; 118.804.970 ; 156 ; 43.635.164 ; 68 ; 13.790.981 ; 224 ; 57.426.145 ; 1.068 ; 176.231.115 ;;
59;45.246.410;BANCO GENIAL S.A.; 12 ; 1.327.953 ; 20 ; 1.592.113 ; 254 ; 62.599.123 ; 301 ; 45.602.241 ; 587 ; 111.121.430 ; 12 ; 19.124.551 ; 5 ; 36.075.414 ; 17 ; 55.199.965 ; 604 ; 166.321.395 ;;
60;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 343 ; 142.860 ; 11.588 ; 3.185.632 ; 133.687 ; 47.034.722 ; 245.187 ; 65.274.988 ; 390.805 ; 115.638.202 ; 82 ; 26.675.195 ; 120 ; 4.196.275 ; 202 ; 30.871.470 ; 391.007 ; 146.509.672 ;;
61;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 175 ; 4.834.947 ; 659 ; 22.532.684 ; 10.975 ; 24.012.874 ; 33.150 ; 36.089.492 ; 44.959 ; 87.469.997 ; 1.308 ; 43.162.695 ; 96 ; 13.224.083 ; 1.404 ; 56.386.778 ; 46.363 ; 143.856.775 ;;
62;00.416.968;BANCO INTER S.A.; 31 ; 720.392 ; 272 ; 848.280 ; 48.964 ; 75.484.578 ; 119.691 ; 61.737.860 ; 168.958 ; 138.791.110 ; 7 ; 277.330 ; 9 ; 2.160.898 ; 16 ; 2.438.228 ; 168.974 ; 141.229.338 ;;
63;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 132 ; 3.471.290 ; 800 ; 26.593.749 ; 1.282 ; 10.972.542 ; 3.089 ; 19.308.367 ; 5.303 ; 60.345.948 ; 570 ; 51.998.177 ; 72 ; 20.615.224 ; 642 ; 72.613.401 ; 5.945 ; 132.959.349 ;;
64;60.889.128;BANCO SOFISA S.A.; 257 ; 55.835.496 ; 100 ; 6.548.803 ; 14 ; 4.315.389 ; 124 ; 7.773.827 ; 495 ; 74.473.515 ; 14 ; 1.857.393 ; 17 ; 51.005.689 ; 31 ; 52.863.082 ; 526 ; 127.336.597 ;;
65;03.609.817;BANCO CARGILL S.A.; 9 ; 11.642.924 ; -   ; -   ; 16 ; 24.675.550 ; 52 ; 16.053.341 ; 77 ; 52.371.815 ; 1 ; 50.000.000 ; 1 ; 10.000.000 ; 2 ; 60.000.000 ; 79 ; 112.371.815 ;;
66;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 70 ; 1.904.746 ; 443 ; 12.421.261 ; 6.073 ; 11.167.672 ; 16.072 ; 25.664.516 ; 22.658 ; 51.158.195 ; 3.614 ; 34.939.397 ; 219 ; 9.979.739 ; 3.833 ; 44.919.136 ; 26.491 ; 96.077.331 ;;
67;11.495.073;OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA; 10 ; 1.573.516 ; 105 ; 2.435.565 ; 5.809 ; 3.607.069 ; 8.524 ; 21.887.155 ; 14.448 ; 29.503.305 ; 1.922 ; 42.200.203 ; 161 ; 23.243.586 ; 2.083 ; 65.443.789 ; 16.531 ; 94.947.094 ;;
68;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 123 ; 2.134.767 ; 809 ; 29.669.381 ; 429 ; 5.698.966 ; 1.397 ; 14.509.172 ; 2.758 ; 52.012.286 ; 382 ; 37.428.733 ; 11 ; 1.112.841 ; 393 ; 38.541.574 ; 3.151 ; 90.553.860 ;;
69;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 52 ; 1.258.831 ; 247 ; 3.880.287 ; 13.589 ; 15.531.477 ; 48.663 ; 34.301.929 ; 62.551 ; 54.972.524 ; 1.045 ; 27.333.530 ; 81 ; 6.073.272 ; 1.126 ; 33.406.802 ; 63.677 ; 88.379.326 ;;
70;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 16 ; 14.915.674 ; 60 ; 10.875.022 ; 41 ; 7.311.485 ; 102 ; 6.472.954 ; 219 ; 39.575.135 ; 49 ; 22.384.648 ; 23 ; 22.873.459 ; 72 ; 45.258.107 ; 291 ; 84.833.242 ;;
