Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JUNHO / 2021;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
85;2.038.232;BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB;116;14.006.274;108;2.998.335;55;1.580.825;35;6.135.738;314;24.721.171;1;122.380;8;6.917.080;9;7.039.460;323;31.760.631
86;7.237.373;BANCO DO NORDESTE DO BRASIL S.A.;25;13.765.666;5;170.855;11;720.610;24;130.391;65;14.787.522;2;745.034;19;14.783.703;21;15.528.737;86;30.316.259
87;11.495.073;OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;2;70.932;18;295.214;290;1.848.714;487;4.268.756;797;6.483.615;828;13.226.474;80;10.547.863;908;23.774.337;1.705;30.257.952
88;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;;11;4.599.877;9;9.802.582;20;14.402.459;5;9.556.320;6;4.292.348;11;13.848.667;31;28.251.127
89;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.;5;11.000.000;42;6.433.534;2;709.392;37;457.504;86;18.600.430;2;3.187.000;1;6.000.000;3;9.187.000;89;27.787.430
90;00.000.208;BRB - BANCO DE BRASILIA S.A.;;;2;62.249;34;3.072.936;122;9.834.448;158;12.969.633;4;9.740.000;3;2.900.000;7;12.640.000;165;25.609.633
91;00.416.968;BANCO INTER S.A.;4;15.167;23;917.952;6.524;7.438.106;916;9.706.063;7.467;18.077.288;68;4.788.994;54;2.047.279;122;6.836.273;7.589;24.913.560
92;34.265.629;INTERCAM CORRETORA DE CÂMBIO LTDA.;9;297.679;157;7.827.103;69;960.837;214;2.934.933;449;12.020.552;305;10.610.041;67;1.101.300;372;11.711.341;821;23.731.893
93;34.666.362;MONOPÓLIO CORRETORA DE CÂMBIO LTDA.;;;;;658;258.813;385;327.830;1.043;586.642;66;10.756.402;50;10.667.921;116;21.424.323;1.159;22.010.966
94;17.184.037;BANCO MERCANTIL DO BRASIL S.A.;;;3;1.395.100;44;691.666;49;614.565;96;2.701.331;21;10.176.236;16;8.880.392;37;19.056.629;133;21.757.959
95;14.190.547;CAMBIONET CORRETORA DE CÂMBIO LTDA.;30;622.520;95;1.864.731;231;2.125.357;923;6.039.592;1.279;10.652.199;755;7.446.421;90;2.321.072;845;9.767.492;2.124;20.419.692
96;71.677.850;FRENTE CORRETORA DE CÂMBIO LTDA.;8;235.980;110;1.937.078;94;1.619.593;1.076;5.215.202;1.288;9.007.854;521;6.260.122;26;1.583.689;547;7.843.812;1.835;16.851.665
97;12.392.983;MIRAE ASSET WEALTH MANAGEMENT (BRAZIL) CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA.;15;406.339;201;6.390.796;51;691.030;80;805.072;347;8.293.236;220;7.282.966;57;1.184.466;277;8.467.432;624;16.760.668
98;4.913.711;BANCO DO ESTADO DO PARÁ S.A.;70;7.271.487;3;124.389;16;57.482;69;152.180;158;7.605.539;6;1.105.576;21;7.661.574;27;8.767.150;185;16.372.688
99;94.968.518;DECYSEO CORRETORA DE CAMBIO LTDA.;12;216.465;39;1.535.489;80;2.754.091;219;4.926.360;350;9.432.405;150;4.945.228;37;1.448.942;187;6.394.170;537;15.826.575
100;19.086.249;EXECUTIVE CORRETORA DE CÂMBIO LTDA.;21;312.271;121;2.862.363;231;1.703.328;359;2.685.251;732;7.563.213;348;5.151.608;102;1.629.111;450;6.780.719;1.182;14.343.932
101;00.038.166;BANCO CENTRAL DO BRASIL;;;;;4;11.112.259;2;2.224.175;6;13.336.434;;;;; -   ; -   ;6;13.336.434
102;13.720.915;BANCO WESTERN UNION DO BRASIL S.A.;;;;;;;1;1.056;1;1.056;4;6.524.030;7;6.522.356;11;13.046.386;12;13.047.443
103;40.353.377;FOURTRADE CORRETORA DE CÂMBIO LTDA.;1;30.000;124;2.832.151;100;908.946;257;2.760.729;482;6.531.825;122;5.493.145;21;843.038;143;6.336.183;625;12.868.008
104;6.373.777;BOA VIAGEM SOCIEDADE CORRETORA DE CÂMBIO LTDA.;13;324.542;81;2.336.652;209;612.326;540;2.695.397;843;5.968.917;520;5.230.149;43;1.074.890;563;6.305.039;1.406;12.273.956
105;00.795.423;BANCO SEMEAR S.A.;;;49;1.628.221;6;180.499;18;4.183.496;73;5.992.216;25;5.559.932;4;19.555;29;5.579.488;102;11.571.704
106;80.202.872;CORREPARTI CORRETORA DE CAMBIO LTDA;4;103.756;140;4.229.086;13;329.648;58;534.304;215;5.196.794;158;4.743.487;15;413.441;173;5.156.929;388;10.353.722
107;17.772.370;VIP'S CORRETORA DE CÂMBIO LTDA.;;;74;2.522.332;71;324.550;293;2.232.095;438;5.078.976;244;4.596.604;7;172.481;251;4.769.085;689;9.848.061
108;17.904.906;BRX CORRETORA DE CÂMBIO LTDA.;1;24.592;;;97;382.127;296;2.555.216;394;2.961.935;253;4.325.822;53;2.178.128;306;6.503.950;700;9.465.885
109;61.033.106;BANCO CREFISA S.A.;;;1;3.680.000;1;17.528;7;783.756;9;4.481.283;2;4.440.000;;;2;4.440.000;11;8.921.283
110;18.287.740;CONECTA CORRETORA DE CÂMBIO LTDA.;35;1.045.471;27;518.063;102;1.605.231;177;1.506.208;341;4.674.972;102;1.575.735;45;2.200.610;147;3.776.345;488;8.451.317
111;17.508.380;INVEST CORRETORA DE CÂMBIO LTDA.;;;;;168;971.062;220;1.963.414;388;2.934.477;155;3.244.636;22;2.239.814;177;5.484.450;565;8.418.927
112;27.842.177;IB CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.;9;393.489;64;1.191.493;59;1.257.473;169;1.358.230;301;4.200.685;203;2.410.238;96;1.543.878;299;3.954.115;600;8.154.801
113;59.615.005;PATACÃO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;3;125.461;51;1.524.542;43;548.817;123;1.851.864;220;4.050.683;108;3.383.457;22;683.175;130;4.066.632;350;8.117.315
114;25.280.945;AVS CORRETORA DE CÂMBIO LTDA.;2;10.551;49;766.265;193;1.763.450;360;3.178.018;604;5.718.284;213;2.196.309;5;32.112;218;2.228.421;822;7.946.705
115;7.333.726;ONNIX CORRETORA DE CÂMBIO LTDA.;;;58;2.512.220;17;289.613;46;1.149.599;121;3.951.432;61;3.563.339;13;191.133;74;3.754.471;195;7.705.903
