Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Ago/2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
34;28.195.667;BANCO ABC BRASIL S.A.; 376 ; 178.872.948 ; 777 ; 125.868.101 ; 254 ; 784.145.212 ; 2.292 ; 727.600.922 ; 3.699 ; 1.816.487.182 ; 212 ; 1.175.879.386 ; 239 ; 1.491.544.087 ; 451 ; 2.667.423.473 ; 4.150 ; 4.483.910.655 ;;;;
35;78.632.767;BANCO OURINVEST S.A.; 33 ; 15.547.988 ; 346 ; 29.244.709 ; 1.309 ; 97.704.530 ; 4.174 ; 160.433.047 ; 5.862 ; 302.930.274 ; 2.475 ; 2.109.248.976 ; 43.662 ; 2.021.457.476 ; 46.137 ; 4.130.706.452 ; 51.999 ; 4.433.636.726 ;;;;
36;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 251 ; 743.455.348 ; 140 ; 33.667.998 ; 217 ; 505.324.540 ; 272 ; 108.392.223 ; 880 ; 1.390.840.109 ; 245 ; 407.835.148 ; 348 ; 1.549.994.013 ; 593 ; 1.957.829.161 ; 1.473 ; 3.348.669.271 ;;;;
37;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 46 ; 1.077.440.000 ; 46 ; 396.852.000 ; 92 ; 1.474.292.000 ; 46 ; 396.852.000 ; 46 ; 1.077.440.000 ; 92 ; 1.474.292.000 ; 184 ; 2.948.584.000 ;;;;
38;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 18 ; 5.871.998 ; 1 ; 153 ; 1.094 ; 201.877.421 ; 613 ; 457.459.620 ; 1.726 ; 665.209.192 ; 270 ; 968.527.793 ; 322 ; 767.873.547 ; 592 ; 1.736.401.341 ; 2.318 ; 2.401.610.533 ;;;;
39;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 6.107 ; 647.524.277 ; 9.595 ; 484.636.337 ; 2.877 ; 98.461.896 ; 11.028 ; 254.917.470 ; 29.607 ; 1.485.539.980 ; 276 ; 412.199.043 ; 272 ; 409.066.589 ; 548 ; 821.265.632 ; 30.155 ; 2.306.805.612 ;;;;
40;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 971 ; 398.763.197 ; 940 ; 122.887.868 ; 459 ; 538.988.849 ; 1.546 ; 243.781.810 ; 3.916 ; 1.304.421.724 ; 189 ; 217.275.867 ; 212 ; 762.173.239 ; 401 ; 979.449.106 ; 4.317 ; 2.283.870.830 ;;;;
41;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;; 1.745 ; 3.875.531 ; 20.813 ; 101.086.009 ; 22.558 ; 104.961.539 ; 4.852 ; 1.009.508.973 ; 1.043 ; 912.220.710 ; 5.895 ; 1.921.729.683 ; 28.453 ; 2.026.691.222 ;;;;
42;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 394 ; 5.783.109 ; 3.424 ; 78.874.525 ; 5.826 ; 66.790.826 ; 14.084 ; 510.792.475 ; 23.728 ; 662.240.934 ; 25.093 ; 916.288.637 ; 870 ; 399.042.519 ; 25.963 ; 1.315.331.156 ; 49.691 ; 1.977.572.090 ;;;;
43;33.923.798;BANCO MÁXIMA S.A.; 307 ; 7.150.961 ; 2.357 ; 97.866.712 ; 622 ; 143.641.675 ; 1.919 ; 146.555.885 ; 5.205 ; 395.215.233 ; 2.239 ; 778.687.854 ; 11.020 ; 688.696.886 ; 13.259 ; 1.467.384.741 ; 18.464 ; 1.862.599.974 ;;;;
44;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 87 ; 246.559.097 ; 167 ; 180.350.864 ; 73 ; 482.415.620 ; 617 ; 183.749.749 ; 944 ; 1.093.075.330 ; 78 ; 219.345.779 ; 83 ; 520.725.855 ; 161 ; 740.071.634 ; 1.105 ; 1.833.146.964 ;;;;
45;58.616.418;BANCO FIBRA S.A.; 655 ; 58.986.411 ; 2.225 ; 156.201.150 ; 646 ; 550.077.073 ; 1.852 ; 666.307.003 ; 5.378 ; 1.431.571.638 ; 277 ; 316.683.447 ; 207 ; 65.903.549 ; 484 ; 382.586.996 ; 5.862 ; 1.814.158.634 ;;;;
46;07.656.500;BANCO KDB DO BRASIL S.A.;;; 2 ; 4.832.196 ; 1.075 ; 402.749.209 ; 1.276 ; 548.813.215 ; 2.353 ; 956.394.620 ; 129 ; 463.527.052 ; 287 ; 312.750.000 ; 416 ; 776.277.052 ; 2.769 ; 1.732.671.672 ;;;;
47;15.114.366;BANCO BBM S/A; 174 ; 108.217.238 ; 22 ; 57.183.286 ; 71 ; 189.859.821 ; 277 ; 39.194.504 ; 544 ; 394.454.849 ; 59 ; 551.576.557 ; 91 ; 746.076.128 ; 150 ; 1.297.652.685 ; 694 ; 1.692.107.534 ;;;;
48;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 15 ; 43.445.846 ; 18 ; 1.966.496 ; 171 ; 148.340.179 ; 447 ; 54.628.823 ; 651 ; 248.381.344 ; 207 ; 616.550.779 ; 408 ; 798.747.389 ; 615 ; 1.415.298.168 ; 1.266 ; 1.663.679.512 ;;;;
49;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS; 38 ; 1.548.876 ; 10.189 ; 681.205.121 ; 1.952 ; 22.847.829 ; 20.046 ; 136.776.047 ; 32.225 ; 842.377.873 ; 8.685 ; 799.622.991 ; 214 ; 6.929.619 ; 8.899 ; 806.552.610 ; 41.124 ; 1.648.930.482 ;;;;
50;03.609.817;BANCO CARGILL S.A.; 103 ; 584.491.050 ; 25 ; 63.522.978 ; 15 ; 76.093.964 ; 126 ; 204.421.618 ; 269 ; 928.529.609 ; 26 ; 102.143.000 ; 46 ; 494.250.000 ; 72 ; 596.393.000 ; 341 ; 1.524.922.609 ;;;;
51;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;; 109 ; 668.265 ; 6.947 ; 74.921.916 ; 27.003 ; 457.588.282 ; 34.059 ; 533.178.463 ; 14.600 ; 619.312.767 ; 995 ; 234.523.471 ; 15.595 ; 853.836.238 ; 49.654 ; 1.387.014.701 ;;;;
52;03.532.415;BANCO ABN AMRO S.A.; 160 ; 557.436.505 ; 1 ; 3.442.920 ; 38 ; 7.923.349 ; 138 ; 10.373.687 ; 337 ; 579.176.462 ; 15 ; 64.937.113 ; 242 ; 609.278.521 ; 257 ; 674.215.634 ; 594 ; 1.253.392.096 ;;;;
53;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 37 ; 149.000.000 ; 136 ; 194.093.541 ; 187 ; 341.173.279 ; 140 ; 157.277.330 ; 500 ; 841.544.150 ; 51 ; 89.406.422 ; 161 ; 224.184.084 ; 212 ; 313.590.506 ; 712 ; 1.155.134.656 ;;;;
54;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 93 ; 2.697.528 ; 779 ; 13.246.789 ; 2.826 ; 22.986.313 ; 10.016 ; 157.572.544 ; 13.714 ; 196.503.174 ; 13.274 ; 550.923.735 ; 2.625 ; 405.543.740 ; 15.899 ; 956.467.475 ; 29.613 ; 1.152.970.649 ;;;;
55;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 233 ; 4.687.285 ; 1.198 ; 13.710.821 ; 9.400 ; 77.340.591 ; 48.602 ; 558.537.712 ; 59.433 ; 654.276.410 ; 6.695 ; 491.986.007 ; 71 ; 1.650.852 ; 6.766 ; 493.636.859 ; 66.199 ; 1.147.913.269 ;;;;
56;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 398 ; 7.548.083 ; 6.722 ; 170.586.224 ; 5.151 ; 75.787.017 ; 18.405 ; 361.552.361 ; 30.676 ; 615.473.685 ; 7.080 ; 451.369.356 ; 22 ; 2.828.359 ; 7.102 ; 454.197.715 ; 37.778 ; 1.069.671.400 ;;;;
