Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em OUTUBRO / 2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
57;92.894.922;BANCO ORIGINAL S.A.; 9 ; 16.051.439 ; 5 ; 1.553.472 ; 41 ; 49.093 ; 106 ; 52.454.287 ; 161 ; 70.108.291 ; 6 ; 36.017.410 ; 4 ; 17.443 ; 10 ; 36.034.852 ; 171 ; 106.143.143 ;
58;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 25 ; 11.163.179 ; 41 ; 5.409.557 ; 15 ; 11.620.355 ; 38 ; 13.548.811 ; 119 ; 41.741.902 ; 33 ; 34.361.938 ; 32 ; 29.422.143 ; 65 ; 63.784.081 ; 184 ; 105.525.984 ;
59;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 653 ; 32.461.153 ; 621 ; 31.842.075 ; 403 ; 4.333.365 ; 481 ; 14.825.256 ; 2.158 ; 83.461.848 ; 14 ; 15.329.987 ; 10 ; 5.833.635 ; 24 ; 21.163.622 ; 2.182 ; 104.625.470 ;
60;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 98 ; 1.364.908 ; 1.288 ; 32.619.463 ; 531 ; 10.250.791 ; 1.036 ; 11.162.860 ; 2.953 ; 55.398.021 ; 526 ; 37.567.402 ; 35 ; 5.375.624 ; 561 ; 42.943.026 ; 3.514 ; 98.341.047 ;
61;59.118.133;BANCO LUSO BRASILEIRO S.A.; 109 ; 17.487.376 ; 265 ; 24.496.154 ; 66 ; 1.748.272 ; 90 ; 2.808.207 ; 530 ; 46.540.008 ; 230 ; 26.889.541 ; 128 ; 19.442.451 ; 358 ; 46.331.993 ; 888 ; 92.872.000 ;
62;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 135 ; 2.342.795 ; 1.424 ; 26.963.480 ; 373 ; 10.234.252 ; 1.050 ; 15.244.696 ; 2.982 ; 54.785.223 ; 416 ; 32.745.103 ; 31 ; 2.926.251 ; 447 ; 35.671.354 ; 3.429 ; 90.456.577 ;
63;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 752 ; 23.442.639 ; 722 ; 21.589.832 ; 416 ; 12.221.755 ; 307 ; 9.450.477 ; 2.197 ; 66.704.703 ; 12 ; 5.392.847 ; 10 ; 11.061.337 ; 22 ; 16.454.184 ; 2.219 ; 83.158.887 ;
64;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 35 ; 29.644.326 ; 68 ; 4.526.601 ; 52 ; 426.253 ; 57 ; 3.681.493 ; 212 ; 38.278.673 ; 45 ; 7.901.258 ; 34 ; 34.972.248 ; 79 ; 42.873.506 ; 291 ; 81.152.179 ;
65;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 3.805 ; 37.642.248 ; 7.707 ; 32.445.129 ; 11.512 ; 70.087.377 ; 42 ; 2.779.040 ; 55 ; 7.721.023 ; 97 ; 10.500.063 ; 11.609 ; 80.587.440 ;
66;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 4 ; 1.465.145 ; 97 ; 1.781.694 ; 108 ; 5.812.048 ; 659 ; 22.958.745 ; 868 ; 32.017.632 ; 201 ; 32.050.347 ; 124 ; 14.595.882 ; 325 ; 46.646.229 ; 1.193 ; 78.663.861 ;
67;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 217 ; 6.716.207 ; 943 ; 25.868.718 ; 445 ; 4.145.727 ; 478 ; 4.543.520 ; 2.083 ; 41.274.172 ; 328 ; 25.711.851 ; 63 ; 6.156.219 ; 391 ; 31.868.070 ; 2.474 ; 73.142.242 ;
