Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JULHO / 2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
48;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 181 ; 3.787.995 ; 811 ; 17.932.328 ; 1.899 ; 18.629.068 ; 3.760 ; 66.962.361 ; 6.651 ; 107.311.751 ; 3.658 ; 121.594.320 ; 313 ; 59.363.451 ; 3.971 ; 180.957.771 ; 10.622 ; 288.269.522 ;;;;
49;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 34 ; 25.091.688 ; 168 ; 26.799.285 ; 15 ; 19.008.927 ; 194 ; 8.207.582 ; 411 ; 79.107.482 ; 36 ; 28.216.665 ; 28 ; 177.282.908 ; 64 ; 205.499.572 ; 475 ; 284.607.054 ;;;;
50;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 734 ; 52.490.643 ; 1.400 ; 50.848.845 ; 479 ; 7.899.904 ; 1.458 ; 49.201.035 ; 4.071 ; 160.440.427 ; 50 ; 54.862.730 ; 32 ; 17.871.189 ; 82 ; 72.733.920 ; 4.153 ; 233.174.347 ;;;;
51;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 902 ; 42.653.431 ; 17.877 ; 80.998.293 ; 18.779 ; 123.651.724 ; 486 ; 63.558.190 ; 794 ; 27.392.070 ; 1.280 ; 90.950.260 ; 20.059 ; 214.601.984 ;;;;
52;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 204 ; 3.771.829 ; 2.068 ; 32.607.906 ; 1.831 ; 13.733.988 ; 4.817 ; 36.900.969 ; 8.920 ; 87.014.692 ; 719 ; 78.611.889 ; 200 ; 26.587.841 ; 919 ; 105.199.731 ; 9.839 ; 192.214.422 ;;;;
53;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; 16 ; 1.078.090 ; 12 ; 245.074 ; 7 ; 1.299.867 ; 52 ; 48.666.070 ; 87 ; 51.289.101 ; 13 ; 93.750.000 ; 9 ; 43.000.000 ; 22 ; 136.750.000 ; 109 ; 188.039.101 ;;;;
54;00.997.185;BANCO B3 S.A.;;;;; 113 ; 37.954.609 ; 121 ; 66.488.244 ; 234 ; 104.442.853 ; 46 ; 46.313.647 ; 24 ; 17.763.328 ; 70 ; 64.076.975 ; 304 ; 168.519.828 ;;;;
55;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 14 ; 2.014.919 ; 24 ; 1.486.854 ; 2.698 ; 62.903.256 ; 155 ; 9.478.217 ; 2.891 ; 75.883.245 ; 48 ; 8.975.751 ; 149 ; 62.929.357 ; 197 ; 71.905.107 ; 3.088 ; 147.788.352 ;;;;
56;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 1 ; 2.456.564 ; 21 ; 3.390.084 ; 8 ; 204.937 ; 83 ; 21.375.047 ; 113 ; 27.426.631 ; 12 ; 45.993.010 ; 14 ; 70.997.445 ; 26 ; 116.990.455 ; 139 ; 144.417.086 ;;;;
57;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 855 ; 8.870.416 ; 4.151 ; 71.024.300 ; 5.006 ; 79.894.717 ; 3.251 ; 63.321.783 ; 24 ; 238.356 ; 3.275 ; 63.560.139 ; 8.281 ; 143.454.855 ;;;;
58;13.720.915;BANCO WESTERN UNION DO BRASIL S.A.;;;;;;; 1 ; 1.109 ; 1 ; 1.109 ; 35 ; 70.705.332 ; 65 ; 66.403.317 ; 100 ; 137.108.649 ; 101 ; 137.109.758 ;;;;
59;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 43 ; 738.045 ; 308 ; 3.459.838 ; 1.561 ; 10.496.540 ; 4.972 ; 64.901.587 ; 6.884 ; 79.596.010 ; 984 ; 57.105.645 ; 6 ; 73.610 ; 990 ; 57.179.254 ; 7.874 ; 136.775.264 ;;;;
60;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 107 ; 1.738.007 ; 1.345 ; 28.479.313 ; 640 ; 8.094.524 ; 2.414 ; 28.571.584 ; 4.506 ; 66.883.427 ; 1.973 ; 56.544.885 ; 51 ; 9.192.051 ; 2.024 ; 65.736.936 ; 6.530 ; 132.620.363 ;;;;
61;00.460.065;COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 120 ; 163.840 ; 343 ; 1.453.942 ; 463 ; 1.617.782 ; 778 ; 63.683.108 ; 455 ; 62.391.019 ; 1.233 ; 126.074.127 ; 1.696 ; 127.691.908 ;;;;
62;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 7 ; 415.159 ; 25 ; 823.223 ; 164 ; 10.870.226 ; 519 ; 60.936.905 ; 715 ; 73.045.513 ; 73 ; 50.884.766 ; 5 ; 125.603 ; 78 ; 51.010.369 ; 793 ; 124.055.882 ;;;;
63;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 29 ; 61.001.005 ; 2 ; 19.851 ; 6 ; 272.206 ; 20 ; 100.804 ; 57 ; 61.393.866 ;;; 40 ; 61.168.000 ; 40 ; 61.168.000 ; 97 ; 122.561.866 ;;;;
64;61.186.680;BANCO BMG S.A.; 4 ; 2.773.451 ; 2 ; 8.968.281 ; 11 ; 21.094.952 ; 33 ; 2.328.443 ; 50 ; 35.165.127 ; 7 ; 43.591.580 ; 9 ; 43.072.080 ; 16 ; 86.663.660 ; 66 ; 121.828.787 ;;;;
65;02.318.507;BANCO KEB HANA DO BRASIL S.A.; 1 ; 103.887 ; 13 ; 2.769.563 ; 65 ; 29.572.330 ; 85 ; 46.424.258 ; 164 ; 78.870.039 ; 24 ; 31.018.443 ; 11 ; 11.519.693 ; 35 ; 42.538.136 ; 199 ; 121.408.174 ;;;;
66;03.012.230;HIPERCARD BANCO MÚLTIPLO S.A.;;;;;;; 1 ; 19.085.580 ; 1 ; 19.085.580 ;;; 1 ; 91.947.984 ; 1 ; 91.947.984 ; 2 ; 111.033.564 ;;;;
67;03.609.817;BANCO CARGILL S.A.; 1 ; 500.000 ; 1 ; 1.380.399 ; 1 ; 79.867 ; 16 ; 1.748.972 ; 19 ; 3.709.238 ; 1 ; 3.000.000 ; 2 ; 100.000.000 ; 3 ; 103.000.000 ; 22 ; 106.709.238 ;;;;
68;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 2 ; 8.990.224 ; 35 ; 36.461.538 ;;; 148 ; 3.262.517 ; 185 ; 48.714.279 ; 18 ; 41.500.000 ; 3 ; 13.000.000 ; 21 ; 54.500.000 ; 206 ; 103.214.279 ;;;;
69;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 52 ; 45.190.427 ; 40 ; 1.899.281 ; 56 ; 449.858 ; 87 ; 1.852.512 ; 235 ; 49.392.078 ; 35 ; 5.219.711 ; 44 ; 47.078.489 ; 79 ; 52.298.200 ; 314 ; 101.690.278 ;;;;
70;92.894.922;BANCO ORIGINAL S.A.; 13 ; 20.640.323 ; 9 ; 954.799 ; 53 ; 226.459 ; 167 ; 21.005.493 ; 242 ; 42.827.073 ; 3 ; 52.022.504 ; 1 ; 22.556 ; 4 ; 52.045.060 ; 246 ; 94.872.133 ;;;;
71;17.508.380;UNIÃO ALTERNATIVA CORRETORA DE CÂMBIO LTDA.;;;;; 484 ; 3.563.608 ; 511 ; 26.397.176 ; 995 ; 29.960.784 ; 1.516 ; 38.364.398 ; 128 ; 15.586.355 ; 1.644 ; 53.950.754 ; 2.639 ; 83.911.538 ;;;;
72;59.118.133;BANCO LUSO BRASILEIRO S.A.; 31 ; 2.136.242 ; 310 ; 23.773.928 ; 34 ; 3.247.504 ; 200 ; 8.322.412 ; 575 ; 37.480.086 ; 238 ; 33.305.788 ; 61 ; 6.617.918 ; 299 ; 39.923.706 ; 874 ; 77.403.792 ;;;;
73;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 7 ; 1.304.002 ; 25 ; 4.233.786 ; 10 ; 5.546.628 ; 67 ; 6.916.840 ; 109 ; 18.001.256 ; 23 ; 30.832.377 ; 9 ; 26.584.007 ; 32 ; 57.416.384 ; 141 ; 75.417.640 ;;;;
74;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 183 ; 3.340.752 ; 1.024 ; 23.152.547 ; 451 ; 4.653.305 ; 972 ; 10.936.209 ; 2.630 ; 42.082.813 ; 472 ; 27.467.248 ; 9 ; 1.340.915 ; 481 ; 28.808.163 ; 3.111 ; 70.890.976 ;;;;
