Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JULHO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
37;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 87 ; 144.708.763 ; 160 ; 39.306.942 ; 21 ; 19.860.459 ; 271 ; 175.296.263 ; 539 ; 379.172.428 ; 23 ; 35.393.504 ; 31 ; 120.718.185 ; 54 ; 156.111.689 ; 593 ; 535.284.117 ;
38;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 17 ; 70.712.635 ; 6 ; 2.430.440 ; 13 ; 81.532.708 ; 104 ; 11.778.919 ; 140 ; 166.454.702 ; 13 ; 191.750.000 ; 11 ; 159.500.000 ; 24 ; 351.250.000 ; 164 ; 517.704.702 ;
39;13.059.145;BEXS BANCO DE CÂMBIO S/A; 53 ; 120.285.403 ; 166 ; 9.554.650 ; 12.955 ; 69.386.547 ; 54.213 ; 71.381.955 ; 67.387 ; 270.608.554 ; 252 ; 52.627.553 ; 70 ; 159.854.253 ; 322 ; 212.481.807 ; 67.709 ; 483.090.361 ;
40;07.656.500;BANCO KDB DO BRASIL S.A.;;; 9 ; 1.742.833 ; 110 ; 37.758.448 ; 316 ; 226.521.021 ; 435 ; 266.022.302 ; 94 ; 200.265.970 ; 7 ; 9.752.300 ; 101 ; 210.018.271 ; 536 ; 476.040.572 ;
41;00.360.305;CAIXA ECONOMICA FEDERAL; 116 ; 44.849.621 ; 82 ; 5.998.082 ; 7.267 ; 83.532.166 ; 836 ; 65.498.288 ; 8.301 ; 199.878.156 ; 148 ; 53.433.526 ; 175 ; 145.177.599 ; 323 ; 198.611.125 ; 8.624 ; 398.489.280 ;
42;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 5 ; 35.471.494 ; 2 ; 57.359 ; 25 ; 2.429.261 ; 44 ; 15.022.084 ; 76 ; 52.980.198 ; 52 ; 130.323.238 ; 54 ; 191.548.575 ; 106 ; 321.871.813 ; 182 ; 374.852.011 ;
43;33.923.798;BANCO MASTER S/A; 86 ; 59.787.367 ; 153 ; 7.356.065 ; 8.146 ; 52.791.077 ; 866 ; 14.464.994 ; 9.251 ; 134.399.503 ; 17 ; 60.907.350 ; 56 ; 153.740.060 ; 73 ; 214.647.410 ; 9.324 ; 349.046.914 ;
44;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 36 ; 14.167.768 ; 23 ; 2.805.143 ; 8 ; 138.522.809 ; 79 ; 1.007.928 ; 146 ; 156.503.648 ; 11 ; 16.846.657 ; 20 ; 163.330.458 ; 31 ; 180.177.115 ; 177 ; 336.680.763 ;
45;28.811.341;STONEX BANCO DE CÂMBIO S.A.; 60 ; 6.778.063 ; 44 ; 1.948.898 ; 3.853 ; 148.753.413 ; 179 ; 9.274.686 ; 4.136 ; 166.755.060 ; 64 ; 8.380.218 ; 158 ; 152.687.808 ; 222 ; 161.068.026 ; 4.358 ; 327.823.086 ;
46;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 6 ; 19.445.400 ; 22 ; 5.567.411 ; 22 ; 165.381.816 ; 48 ; 59.147.870 ; 98 ; 249.542.498 ; 9 ; 13.896.000 ; 9 ; 24.171.438 ; 18 ; 38.067.438 ; 116 ; 287.609.936 ;
