Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JUNHO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
44;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 842 ; 96.399.627 ; 436 ; 35.391.091 ; 437 ; 23.778.064 ; 484 ; 20.034.612 ; 2.199 ; 175.603.393 ; 17 ; 34.616.838 ; 70 ; 98.968.325 ; 87 ; 133.585.163 ; 2.286 ; 309.188.557 ;
45;00.360.305;CAIXA ECONOMICA FEDERAL; 137 ; 51.232.074 ; 72 ; 3.159.502 ; 7.987 ; 62.751.568 ; 776 ; 46.145.094 ; 8.972 ; 163.288.237 ; 168 ; 49.921.868 ; 183 ; 93.945.684 ; 351 ; 143.867.552 ; 9.323 ; 307.155.790 ;
46;28.811.341;STONEX BANCO DE CÂMBIO S.A.; 44 ; 6.828.129 ; 44 ; 3.554.722 ; 4.036 ; 118.802.624 ; 188 ; 23.367.013 ; 4.312 ; 152.552.488 ; 49 ; 23.659.920 ; 173 ; 122.366.005 ; 222 ; 146.025.926 ; 4.534 ; 298.578.414 ;
47;00.997.185;BANCO B3 S.A.;;;;; 160 ; 120.788.310 ; 140 ; 120.948.447 ; 300 ; 241.736.757 ; 29 ; 27.889.524 ; 45 ; 27.805.905 ; 74 ; 55.695.429 ; 374 ; 297.432.185 ;
48;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 245 ; 8.255.423 ; 1.583 ; 31.971.946 ; 2.257 ; 38.759.014 ; 3.747 ; 51.828.495 ; 7.832 ; 130.814.878 ; 479 ; 68.294.972 ; 183 ; 31.849.007 ; 662 ; 100.143.978 ; 8.494 ; 230.958.856 ;
49;61.186.680;BANCO BMG S.A.; 5 ; 4.452.509 ; 2 ; 2.605.129 ; 20 ; 4.692.631 ; 46 ; 3.274.490 ; 73 ; 15.024.759 ; 6 ; 109.477.145 ; 5 ; 99.804.182 ; 11 ; 209.281.327 ; 84 ; 224.306.086 ;
50;07.656.500;BANCO KDB DO BRASIL S.A.;;; 5 ; 786.486 ; 80 ; 66.849.715 ; 204 ; 39.364.553 ; 289 ; 107.000.754 ; 36 ; 37.446.642 ; 25 ; 64.180.000 ; 61 ; 101.626.642 ; 350 ; 208.627.396 ;
51;61.024.352;BANCO VOITER S.A.; 43 ; 29.277.809 ; 242 ; 27.731.172 ; 117 ; 15.476.827 ; 727 ; 62.614.194 ; 1.129 ; 135.100.002 ; 56 ; 57.324.300 ; 48 ; 8.316.140 ; 104 ; 65.640.440 ; 1.233 ; 200.740.442 ;
52;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 6 ; 30.752.450 ; 18 ; 4.609.772 ; 39 ; 66.076.598 ; 56 ; 34.695.249 ; 119 ; 136.134.069 ; 10 ; 6.684.005 ; 9 ; 37.281.630 ; 19 ; 43.965.635 ; 138 ; 180.099.704 ;
53;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 215 ; 6.298.454 ; 775 ; 24.573.160 ; 3.915 ; 29.042.104 ; 2.852 ; 43.766.443 ; 7.757 ; 103.680.161 ; 1.761 ; 53.447.400 ; 159 ; 20.584.585 ; 1.920 ; 74.031.985 ; 9.677 ; 177.712.146 ;
54;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 14 ; 1.820.324 ; 114 ; 18.358.947 ; 168 ; 59.358.635 ; 413 ; 25.115.727 ; 709 ; 104.653.632 ; 76 ; 23.250.234 ; 46 ; 40.457.747 ; 122 ; 63.707.981 ; 831 ; 168.361.613 ;
55;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 17 ; 77.255.618 ;;; 8 ; 428.317 ; 9 ; 478.325 ; 34 ; 78.162.260 ; 2 ; 509.639 ; 40 ; 77.719.618 ; 42 ; 78.229.257 ; 76 ; 156.391.518 ;
56;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 37 ; 47.658.176 ; 17 ; 17.086.593 ; 6 ; 1.341.387 ; 77 ; 20.383.838 ; 137 ; 86.469.993 ; 9 ; 35.095.553 ; 11 ; 34.113.141 ; 20 ; 69.208.694 ; 157 ; 155.678.687 ;
57;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 1.115 ; 58.258.044 ; 820 ; 32.207.218 ; 769 ; 11.582.154 ; 336 ; 16.249.148 ; 3.040 ; 118.296.564 ; 9 ; 9.241.215 ; 7 ; 27.803.805 ; 16 ; 37.045.020 ; 3.056 ; 155.341.584 ;
58;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 10.605 ; 40.561.108 ; 17.151 ; 58.159.245 ; 27.756 ; 98.720.354 ; 85 ; 23.999.457 ; 307 ; 4.628.193 ; 392 ; 28.627.650 ; 28.148 ; 127.348.003 ;
59;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 141 ; 2.548.451 ; 848 ; 22.542.508 ; 700 ; 13.737.617 ; 1.450 ; 17.725.712 ; 3.139 ; 56.554.288 ; 749 ; 45.640.361 ; 109 ; 21.612.058 ; 858 ; 67.252.419 ; 3.997 ; 123.806.707 ;
60;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 56 ; 38.609.072 ; 58 ; 6.813.182 ; 45 ; 1.531.838 ; 90 ; 13.783.113 ; 249 ; 60.737.205 ; 50 ; 12.888.615 ; 56 ; 42.266.766 ; 106 ; 55.155.380 ; 355 ; 115.892.586 ;
61;10.690.848;BANCO DA CHINA BRASIL S.A.; 23 ; 27.929.861 ; 13 ; 4.967.010 ; 26 ; 1.844.875 ; 78 ; 11.863.464 ; 140 ; 46.605.210 ; 26 ; 24.433.438 ; 48 ; 37.353.522 ; 74 ; 61.786.960 ; 214 ; 108.392.170 ;
62;45.246.410;BANCO GENIAL S.A.; 22 ; 8.742.023 ; 44 ; 7.598.716 ; 279 ; 20.482.273 ; 293 ; 46.356.144 ; 638 ; 83.179.156 ; 16 ; 23.803.424 ; 6 ; 365.236 ; 22 ; 24.168.661 ; 660 ; 107.347.817 ;
63;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 27 ; 44.461.548 ;;; 38 ; 11.622.862 ; 2 ; 88.108 ; 67 ; 56.172.518 ; 1 ; 49.937.941 ; 1 ; 383.287 ; 2 ; 50.321.228 ; 69 ; 106.493.746 ;
64;30.723.886;BANCO MODAL S.A.; 2 ; 293.376 ; 8 ; 2.502.656 ; 130 ; 49.916.975 ; 124 ; 29.646.997 ; 264 ; 82.360.004 ; 2 ; 4.185 ; 7 ; 23.532.193 ; 9 ; 23.536.378 ; 273 ; 105.896.382 ;
65;62.144.175;BANCO PINE S.A.; 40 ; 28.059.864 ; 218 ; 31.932.141 ; 5 ; 302.080 ; 43 ; 5.434.781 ; 306 ; 65.728.866 ; 4 ; 20.109.000 ; 4 ; 17.100.000 ; 8 ; 37.209.000 ; 314 ; 102.937.866 ;
66;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 100 ; 2.178.014 ; 649 ; 12.821.088 ; 2.614 ; 13.537.172 ; 1.748 ; 21.038.152 ; 5.111 ; 49.574.426 ; 3.215 ; 35.482.679 ; 446 ; 17.378.391 ; 3.661 ; 52.861.070 ; 8.772 ; 102.435.495 ;
67;00.416.968;BANCO INTER S.A.; 25 ; 307.445 ; 3 ; 156.747 ; 61.904 ; 53.868.369 ; 13.778 ; 20.863.097 ; 75.710 ; 75.195.657 ; 6 ; 158.338 ; 11 ; 24.159.530 ; 17 ; 24.317.868 ; 75.727 ; 99.513.526 ;
68;92.894.922;BANCO ORIGINAL S.A.;;; 9 ; 9.956.475 ; 87 ; 11.455.851 ; 160 ; 17.293.731 ; 256 ; 38.706.057 ; 17 ; 30.519.537 ; 8 ; 30.019.535 ; 25 ; 60.539.071 ; 281 ; 99.245.128 ;
69;60.889.128;BANCO SOFISA S.A.; 156 ; 54.128.266 ; 64 ; 9.841.709 ; 19 ; 3.171.416 ; 84 ; 1.079.679 ; 323 ; 68.221.070 ; 6 ; 917.542 ; 16 ; 29.897.744 ; 22 ; 30.815.287 ; 345 ; 99.036.356 ;
70;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 168 ; 3.525.961 ; 864 ; 28.829.323 ; 592 ; 11.924.760 ; 647 ; 9.237.372 ; 2.271 ; 53.517.415 ; 443 ; 29.826.356 ; 84 ; 7.159.555 ; 527 ; 36.985.912 ; 2.798 ; 90.503.327 ;
71;11.495.073;OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;;; 64 ; 909.457 ; 662 ; 4.447.297 ; 1.631 ; 22.800.052 ; 2.357 ; 28.156.806 ; 1.722 ; 39.275.793 ; 114 ; 19.783.283 ; 1.836 ; 59.059.076 ; 4.193 ; 87.215.882 ;
72;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 202 ; 4.427.535 ; 1.115 ; 28.846.789 ; 498 ; 8.076.290 ; 996 ; 8.971.705 ; 2.811 ; 50.322.319 ; 381 ; 30.482.396 ; 56 ; 5.054.519 ; 437 ; 35.536.916 ; 3.248 ; 85.859.235 ;
73;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 861 ; 10.163.321 ; 3.521 ; 39.651.808 ; 4.382 ; 49.815.128 ; 2.953 ; 32.563.066 ; 692 ; 2.757.572 ; 3.645 ; 35.320.638 ; 8.027 ; 85.135.767 ;
74;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 71 ; 1.125.115 ; 256 ; 3.838.180 ; 2.500 ; 17.756.888 ; 3.300 ; 32.172.929 ; 6.127 ; 54.893.112 ; 1.013 ; 21.927.997 ; 105 ; 4.782.191 ; 1.118 ; 26.710.188 ; 7.245 ; 81.603.300 ;
75;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 32 ; 8.693.069 ; 33 ; 34.160.926 ; 65 ; 42.853.995 ; 12 ; 32.550.000 ;;; 12 ; 32.550.000 ; 77 ; 75.403.995 ;
