Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em MAIO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
42;33.923.798;BANCO MµXIMA S.A.; 48 ; 1.698.379 ; 335 ; 12.041.609 ; 76 ; 21.086.235 ; 259 ; 41.236.177 ; 718 ; 76.062.400 ; 256 ; 116.318.771 ; 1.215 ; 102.405.673 ; 1.471 ; 218.724.444 ; 2.189 ; 294.786.844 ;;;;
43;04.913.129;CONFIDENCE CORRETORA DE C∂MBIO S.A.;;;;; 1.092 ; 8.619.396 ; 5.295 ; 83.760.978 ; 6.387 ; 92.380.373 ; 2.140 ; 121.096.761 ; 141 ; 45.511.816 ; 2.281 ; 166.608.577 ; 8.668 ; 258.988.951 ;;;;
44;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS; 3 ; 110.501 ; 1.522 ; 112.480.430 ; 305 ; 1.841.757 ; 3.214 ; 7.554.386 ; 5.044 ; 121.987.075 ; 871 ; 119.564.159 ; 37 ; 1.484.077 ; 908 ; 121.048.235 ; 5.952 ; 243.035.310 ;;;;
45;78.632.767;BANCO OURINVEST S.A.;;; 21 ; 2.579.505 ; 132 ; 1.726.274 ; 486 ; 10.613.710 ; 639 ; 14.919.488 ; 237 ; 116.178.490 ; 2.730 ; 105.850.976 ; 2.967 ; 222.029.466 ; 3.606 ; 236.948.954 ;;;;
46;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 180 ; 73.042.650 ; 215 ; 23.551.858 ; 89 ; 18.600.827 ; 294 ; 38.489.108 ; 778 ; 153.684.442 ; 26 ; 25.698.533 ; 36 ; 53.310.420 ; 62 ; 79.008.953 ; 840 ; 232.693.395 ;;;;
47;62.144.175;BANCO PINE S.A.; 16 ; 108.369.454 ; 43 ; 11.846.090 ; 7 ; 292.133 ; 72 ; 35.901.615 ; 138 ; 156.409.291 ; 4 ; 10.678.945 ; 5 ; 50.678.183 ; 9 ; 61.357.128 ; 147 ; 217.766.419 ;;;;
48;74.451.022;TOV CORRETORA DE C∂MBIO, T÷TULOS E VALORES MOBILIµRIOS LTDA; 25 ; 1.129.861 ; 1.355 ; 64.810.531 ; 157 ; 2.505.979 ; 3.336 ; 40.638.061 ; 4.873 ; 109.084.432 ; 1.004 ; 102.323.455 ; 6 ; 1.337.106 ; 1.010 ; 103.660.562 ; 5.883 ; 212.744.994 ;;;;
49;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 4 ; 1.115.704 ;;; 175 ; 54.907.520 ; 141 ; 64.927.106 ; 320 ; 120.950.331 ; 47 ; 52.372.006 ; 45 ; 39.366.628 ; 92 ; 91.738.634 ; 412 ; 212.688.964 ;;;;
50;02.992.317;TREVISO CORRETORA DE C∂MBIO S.A.; 3 ; 23.413 ; 92 ; 2.839.066 ; 387 ; 3.086.376 ; 1.812 ; 34.064.475 ; 2.294 ; 40.013.330 ; 1.774 ; 99.738.211 ; 315 ; 66.092.282 ; 2.089 ; 165.830.493 ; 4.383 ; 205.843.823 ;;;;
51;16.944.141;BROKER BRASIL CORRETORA DE C∂MBIO LTDA.;;; 167 ; 5.079.567 ; 131 ; 903.698 ; 1.143 ; 75.581.767 ; 1.441 ; 81.565.032 ; 1.114 ; 97.371.736 ; 120 ; 17.643.049 ; 1.234 ; 115.014.784 ; 2.675 ; 196.579.816 ;;;;
52;17.184.037;BANCO MERCANTIL DO BRASIL S.A.; 7 ; 3.314.621 ; 25 ; 2.060.719 ; 26 ; 901.358 ; 127 ; 3.729.780 ; 185 ; 10.006.478 ; 73 ; 85.904.204 ; 43 ; 84.606.569 ; 116 ; 170.510.773 ; 301 ; 180.517.251 ;;;;
53;30.723.886;BANCO MODAL S.A.; 9 ; 303.724 ; 73 ; 6.060.661 ; 14 ; 10.375.939 ; 60 ; 1.882.693 ; 156 ; 18.623.016 ; 14 ; 78.245.629 ; 12 ; 80.995.550 ; 26 ; 159.241.179 ; 182 ; 177.864.195 ;;;;
54;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 15 ; 500.419 ; 109 ; 1.563.426 ; 1.166 ; 11.067.468 ; 6.473 ; 85.448.335 ; 7.763 ; 98.579.647 ; 683 ; 75.802.507 ; 6 ; 129.244 ; 689 ; 75.931.751 ; 8.452 ; 174.511.398 ;;;;
55;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÈLTIPLO; 4 ; 10.545.000 ; 14 ; 26.784.924 ; 3 ; 50.001.498 ; 40 ; 197.541 ; 61 ; 87.528.963 ; 7 ; 24.308.937 ; 5 ; 58.059.092 ; 12 ; 82.368.029 ; 73 ; 169.896.992 ;;;;
56;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 11 ; 77.000.000 ;;; 11 ; 77.000.000 ;;; 11 ; 77.000.000 ; 11 ; 77.000.000 ; 22 ; 154.000.000 ;;;;
57;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.; 5 ; 44.854 ; 25 ; 637.577 ; 40 ; 5.223.742 ; 132 ; 7.687.820 ; 202 ; 13.593.993 ; 35 ; 64.059.932 ; 47 ; 59.406.545 ; 82 ; 123.466.477 ; 284 ; 137.060.470 ;;;;
58;92.856.905;ADVANCED CORRETORA DE C∂MBIO LTDA; 49 ; 1.432.113 ; 1.261 ; 45.897.233 ; 802 ; 13.893.141 ; 2.584 ; 21.585.543 ; 4.696 ; 82.808.031 ; 506 ; 53.180.105 ; 44 ; 994.752 ; 550 ; 54.174.857 ; 5.246 ; 136.982.888 ;;;;
59;00.997.185;BANCO BM&FBOVESPA DE SERVIÄOS DE LIQUIDAÄ«O E CUST‡DIA S.A.;;;;; 48 ; 39.421.199 ; 24 ; 23.983.328 ; 72 ; 63.404.527 ; 16 ; 23.505.000 ; 28 ; 39.000.000 ; 44 ; 62.505.000 ; 116 ; 125.909.527 ;;;;
60;59.285.411;BANCO PANAMERICANO S.A.; 13 ; 12.477.729 ;;; 5 ; 35.630 ; 30 ; 52.543.445 ; 48 ; 65.056.804 ; 1 ; 51.000.000 ; 6 ; 9.500.000 ; 7 ; 60.500.000 ; 55 ; 125.556.804 ;;;;
61;13.728.156;WESTERN UNION CORRETORA DE C∂MBIO S.A.; 2 ; 30.760 ; 54 ; 578.024 ; 505 ; 14.337.690 ; 1.493 ; 55.113.176 ; 2.054 ; 70.059.650 ; 776 ; 46.070.573 ; 202 ; 3.878.407 ; 978 ; 49.948.980 ; 3.032 ; 120.008.631 ;;;;
62;33.886.862;MAXIMA S.A. CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS;;;;; 111 ; 338.118 ; 2.868 ; 58.140.061 ; 2.979 ; 58.478.179 ; 363 ; 57.313.456 ; 3 ; 90.000 ; 366 ; 57.403.456 ; 3.345 ; 115.881.635 ;;;;
63;60.889.128;BANCO SOFISA S.A.; 160 ; 34.457.338 ; 111 ; 6.049.597 ; 24 ; 952.546 ; 130 ; 22.617.986 ; 425 ; 64.077.466 ; 18 ; 13.318.424 ; 13 ; 37.290.711 ; 31 ; 50.609.135 ; 456 ; 114.686.602 ;;;;
64;15.357.060;BANCO WOORI BANK DO BRASIL S.A.;;; 32 ; 22.103.087 ; 17 ; 29.292.967 ; 189 ; 5.121.053 ; 238 ; 56.517.107 ; 22 ; 26.270.000 ; 5 ; 28.550.000 ; 27 ; 54.820.000 ; 265 ; 111.337.107 ;;;;
65;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 44 ; 1.056.101 ; 868 ; 23.613.077 ; 661 ; 9.848.814 ; 2.457 ; 30.684.099 ; 4.030 ; 65.202.092 ; 363 ; 44.139.521 ; 6 ; 703.044 ; 369 ; 44.842.564 ; 4.399 ; 110.044.656 ;;;;
66;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 277 ; 19.609.131 ; 316 ; 10.237.813 ; 143 ; 16.252.582 ; 198 ; 13.494.998 ; 934 ; 59.594.525 ; 18 ; 19.206.858 ; 14 ; 31.224.871 ; 32 ; 50.431.729 ; 966 ; 110.026.253 ;;;;
67;12.586.596;MULTIMONEY CORRETORA DE C∂MBIO LTDA; 6 ; 421.290 ; 227 ; 5.137.683 ; 380 ; 2.194.128 ; 1.542 ; 22.772.390 ; 2.155 ; 30.525.490 ; 970 ; 51.577.990 ; 477 ; 26.281.665 ; 1.447 ; 77.859.655 ; 3.602 ; 108.385.146 ;;;;
68;03.609.817;BANCO CARGILL S.A.; 12 ; 40.519.260 ; 12 ; 9.253.824 ; 1 ; 100.000 ; 14 ; 2.689.103 ; 39 ; 52.562.187 ; 4 ; 9.000.000 ; 8 ; 38.500.000 ; 12 ; 47.500.000 ; 51 ; 100.062.187 ;;;;
