Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em MAIO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
47;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 7 ; 19.500.000 ; 1 ; 9.441.951 ; 21 ; 62.196.576 ; 18 ; 2.279.403 ; 47 ; 93.417.930 ; 4 ; 12.580.000 ; 55 ; 81.645.500 ; 59 ; 94.225.500 ; 106 ; 187.643.430 ;;;;
48;33.923.798;BANCO MÁXIMA S.A.; 45 ; 644.882 ; 238 ; 9.956.806 ; 79 ; 9.639.193 ; 206 ; 13.754.525 ; 568 ; 33.995.407 ; 235 ; 81.471.837 ; 1.279 ; 68.216.850 ; 1.514 ; 149.688.687 ; 2.082 ; 183.684.094 ;;;;
49;58.616.418;BANCO FIBRA S.A.; 54 ; 6.909.691 ; 292 ; 19.687.183 ; 82 ; 37.983.451 ; 211 ; 56.150.018 ; 639 ; 120.730.343 ; 27 ; 27.063.775 ; 22 ; 3.067.864 ; 49 ; 30.131.638 ; 688 ; 150.861.981 ;;;;
50;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.; 4 ; 77.994 ; 23 ; 451.833 ; 62 ; 67.590.865 ; 132 ; 70.191.062 ; 221 ; 138.311.753 ; 9 ; 6.941.745 ; 5 ; 2.938.645 ; 14 ; 9.880.390 ; 235 ; 148.192.143 ;;;;
51;62.144.175;BANCO PINE S.A.; 3 ; 1.133.824 ; 9 ; 3.641.567 ; 5 ; 1.002.416 ; 57 ; 14.304.696 ; 74 ; 20.082.503 ; 5 ; 66.114.735 ; 5 ; 51.123.836 ; 10 ; 117.238.571 ; 84 ; 137.321.074 ;;;;
52;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;; 4 ; 22.067 ; 775 ; 8.168.569 ; 3.210 ; 49.287.106 ; 3.989 ; 57.477.742 ; 1.540 ; 58.339.033 ; 92 ; 18.547.034 ; 1.632 ; 76.886.066 ; 5.621 ; 134.363.809 ;;;;
53;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 13 ; 481.571 ; 93 ; 1.296.211 ; 337 ; 2.515.639 ; 1.130 ; 16.934.970 ; 1.573 ; 21.228.391 ; 1.463 ; 64.064.307 ; 294 ; 48.765.229 ; 1.757 ; 112.829.536 ; 3.330 ; 134.057.928 ;;;;
54;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 24 ; 438.321 ; 152 ; 1.712.987 ; 1.133 ; 8.767.062 ; 5.746 ; 62.749.884 ; 7.055 ; 73.668.255 ; 688 ; 55.210.527 ; 4 ; 164.269 ; 692 ; 55.374.795 ; 7.747 ; 129.043.050 ;;;;
55;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 42 ; 493.753 ; 725 ; 16.685.588 ; 663 ; 10.136.072 ; 2.100 ; 44.255.812 ; 3.530 ; 71.571.225 ; 1.045 ; 51.066.253 ; 3 ; 700.000 ; 1.048 ; 51.766.253 ; 4.578 ; 123.337.478 ;;;;
56;59.118.133;BANCO LUSO BRASILEIRO S.A.; 24 ; 8.374.539 ; 588 ; 46.121.409 ; 15 ; 1.014.150 ; 78 ; 3.231.319 ; 705 ; 58.741.417 ; 259 ; 49.471.438 ; 30 ; 9.515.786 ; 289 ; 58.987.224 ; 994 ; 117.728.641 ;;;;
57;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 154 ; 57.010.556 ; 124 ; 7.635.181 ; 278 ; 64.645.737 ; 2 ; 841.988 ; 46 ; 50.500.000 ; 48 ; 51.341.988 ; 326 ; 115.987.724 ;;;;
58;72.760.713;RENOVA S.A. CORRETORA DE CÂMBIO; 1 ; 1.380 ; 90 ; 1.774.955 ; 191 ; 1.744.058 ; 948 ; 9.452.373 ; 1.230 ; 12.972.766 ; 919 ; 56.002.198 ; 122 ; 46.592.200 ; 1.041 ; 102.594.398 ; 2.271 ; 115.567.164 ;;;;
59;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 107 ; 3.423.285 ; 1.102 ; 28.230.285 ; 932 ; 12.507.183 ; 2.688 ; 21.418.541 ; 4.829 ; 65.579.293 ; 513 ; 39.039.263 ; 115 ; 5.298.044 ; 628 ; 44.337.307 ; 5.457 ; 109.916.600 ;;;;
60;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;; 38 ; 375.104 ; 433 ; 13.602.990 ; 937 ; 47.438.213 ; 1.408 ; 61.416.307 ; 597 ; 37.413.287 ; 382 ; 3.284.148 ; 979 ; 40.697.435 ; 2.387 ; 102.113.742 ;;;;
61;61.024.352;BANCO INDUSVAL S.A.; 37 ; 15.925.273 ; 48 ; 6.929.440 ; 18 ; 2.008.377 ; 68 ; 2.245.437 ; 171 ; 27.108.527 ; 35 ; 34.820.023 ; 41 ; 39.824.554 ; 76 ; 74.644.577 ; 247 ; 101.753.104 ;;;;
