Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em FEVEREIRO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
36;71.027.866;BANCO BS2 S.A.; 329 ; 88.088.833 ; 1.085 ; 50.541.649 ; 7.969 ; 132.342.772 ; 23.864 ; 150.255.005 ; 33.247 ; 421.228.259 ; 49 ; 69.857.907 ; 50 ; 112.081.286 ; 99 ; 181.939.193 ; 33.346 ; 603.167.453 ;
37;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;;;;; 7.812 ; 22.149.362 ; 204.859 ; 164.339.101 ; 212.671 ; 186.488.463 ; 1.433 ; 259.558.526 ; 1.413 ; 117.443.174 ; 2.846 ; 377.001.700 ; 215.517 ; 563.490.163 ;
38;33.923.798;BANCO MASTER S/A; 116 ; 50.496.611 ; 270 ; 13.577.005 ; 16.994 ; 112.872.541 ; 66.078 ; 149.807.065 ; 83.458 ; 326.753.222 ; 65 ; 106.229.751 ; 51 ; 114.068.021 ; 116 ; 220.297.772 ; 83.574 ; 547.050.995 ;
39;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 1 ; 2.276.524 ; 12 ; 6.597.494 ; 1 ; 407 ; 387 ; 172.965.891 ; 401 ; 181.840.316 ; 16 ; 208.000.000 ; 2 ; 40.000.000 ; 18 ; 248.000.000 ; 419 ; 429.840.316 ;
40;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 54 ; 80.242.838 ; 339 ; 67.187.654 ; 20 ; 8.819.133 ; 295 ; 36.440.418 ; 708 ; 192.690.043 ; 41 ; 83.707.477 ; 31 ; 113.966.753 ; 72 ; 197.674.230 ; 780 ; 390.364.273 ;
41;00.997.185;BANCO B3 S.A.;;;;; 142 ; 169.839.599 ; 132 ; 152.124.885 ; 274 ; 321.964.484 ; 28 ; 25.183.056 ; 38 ; 43.005.634 ; 66 ; 68.188.690 ; 340 ; 390.153.174 ;
42;00.360.305;CAIXA ECONOMICA FEDERAL; 89 ; 30.112.760 ; 76 ; 7.600.166 ; 7.213 ; 49.931.713 ; 931 ; 101.044.562 ; 8.309 ; 188.689.201 ; 181 ; 89.872.374 ; 195 ; 64.881.861 ; 376 ; 154.754.235 ; 8.685 ; 343.443.436 ;
43;13.059.145;BEXS BANCO DE CÂMBIO S/A; 17 ; 58.596.972 ; 73 ; 2.483.736 ; 8.590 ; 21.205.552 ; 116.858 ; 97.980.665 ; 125.538 ; 180.266.925 ; 259 ; 88.452.552 ; 29 ; 66.895.222 ; 288 ; 155.347.774 ; 125.826 ; 335.614.698 ;
44;61.024.352;BANCO VOITER S.A.; 40 ; 39.980.739 ; 156 ; 21.574.288 ; 115 ; 8.591.619 ; 696 ; 77.040.375 ; 1.007 ; 147.187.021 ; 44 ; 101.327.137 ; 37 ; 62.280.122 ; 81 ; 163.607.259 ; 1.088 ; 310.794.280 ;
45;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 11 ; 1.352.241 ; 184 ; 13.616.915 ; 227 ; 33.822.294 ; 1.158 ; 108.715.954 ; 1.580 ; 157.507.405 ; 166 ; 109.815.351 ; 50 ; 23.654.801 ; 216 ; 133.470.152 ; 1.796 ; 290.977.557 ;
46;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 19 ; 22.655.881 ;;; 19 ; 5.085.825 ; 5 ; 10.437 ; 43 ; 27.752.143 ; 2 ; 250.034.323 ;;; 2 ; 250.034.323 ; 45 ; 277.786.466 ;
47;49.336.860;ING BANK N.V.;;;;; 1 ; 174 ; 8 ; 94.888 ; 9 ; 95.062 ; 5 ; 132.890.429 ; 4 ; 133.175.436 ; 9 ; 266.065.865 ; 18 ; 266.160.926 ;
48;10.690.848;BANCO DA CHINA BRASIL S.A.; 38 ; 86.874.612 ; 12 ; 1.172.006 ; 21 ; 1.467.309 ; 93 ; 27.459.808 ; 164 ; 116.973.735 ; 39 ; 34.175.546 ; 96 ; 93.954.827 ; 135 ; 128.130.373 ; 299 ; 245.104.108 ;
49;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 9 ; 109.300.000 ; 4 ; 1.110.722 ; 1 ; 20.000 ; 12 ; 91.940 ; 26 ; 110.522.662 ; 19 ; 9.969.697 ; 26 ; 109.395.057 ; 45 ; 119.364.754 ; 71 ; 229.887.416 ;
50;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 170 ; 4.011.360 ; 679 ; 27.533.224 ; 4.097 ; 22.439.185 ; 3.397 ; 57.103.534 ; 8.343 ; 111.087.303 ; 2.420 ; 74.586.808 ; 106 ; 16.433.511 ; 2.526 ; 91.020.320 ; 10.869 ; 202.107.622 ;
51;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 202 ; 8.146.669 ; 1.510 ; 36.818.298 ; 1.527 ; 24.491.271 ; 3.689 ; 48.019.030 ; 6.928 ; 117.475.268 ; 413 ; 64.936.221 ; 69 ; 12.992.006 ; 482 ; 77.928.227 ; 7.410 ; 195.403.496 ;
