Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Janeiro/2025.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
37;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;SCOTIABANK BRASIL - PRUDENCIAL; 2 ; 105.600.000 ; -   ; -   ; 19 ; 274.850.364 ; 61 ; 451.221.993 ; 82 ; 831.672.357 ; 7 ; 190.062.376 ; 8 ; 230.062.391 ; 15 ; 420.124.767 ; 97 ; 1.251.797.124 ;
38;15.114.366;BANCO BOCOM BBM S.A.;BBM - PRUDENCIAL; 26 ; 16.348.254 ; 67 ; 17.026.570 ; 37 ; 149.835.318 ; 326 ; 131.902.483 ; 456 ; 315.112.625 ; 106 ; 437.130.284 ; 105 ; 478.528.635 ; 211 ; 915.658.919 ; 667 ; 1.230.771.544 ;
39;68.900.810;BANCO RENDIMENTO S.A.;RENDIMENTO - PRUDENCIAL; 52 ; 2.684.023 ; 514 ; 29.735.849 ; 212.940 ; 348.715.238 ; 5.803 ; 109.304.908 ; 219.309 ; 490.440.018 ; 1.287 ; 231.327.797 ; 5.564 ; 457.183.405 ; 6.851 ; 688.511.202 ; 226.160 ; 1.178.951.220 ;
40;07.656.500;BANCO KDB DO BRASIL S.A.;BCO KDB BRASIL S.A. - PRUDENCIAL; -   ; -   ; 18 ; 10.141.464 ; 158 ; 81.156.656 ; 288 ; 376.432.415 ; 464 ; 467.730.535 ; 71 ; 485.897.195 ; 56 ; 184.000.000 ; 127 ; 669.897.195 ; 591 ; 1.137.627.730 ;
41;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 16 ; 339.590.000 ; 6 ; 10.040.097 ; 31 ; 30.928.174 ; 48 ; 47.765.323 ; 101 ; 428.323.594 ; 45 ; 158.136.595 ; 60 ; 473.970.394 ; 105 ; 632.106.989 ; 206 ; 1.060.430.583 ;
42;00.997.185;BANCO B3 S.A.;BANCO B3 - PRUDENCIAL; -   ; -   ; -   ; -   ; 166 ; 267.101.439 ; 130 ; 274.551.989 ; 296 ; 541.653.428 ; 32 ; 125.904.000 ; 52 ; 118.421.942 ; 84 ; 244.325.942 ; 380 ; 785.979.370 ;
43;62.144.175;BANCO PINE S.A.;PINE - PRUDENCIAL; 36 ; 88.722.857 ; 650 ; 102.513.219 ; 34 ; 54.621.716 ; 586 ; 46.727.545 ; 1.306 ; 292.585.337 ; 28 ; 219.374.652 ; 19 ; 191.070.869 ; 47 ; 410.445.521 ; 1.353 ; 703.030.858 ;
44;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL; 175 ; 35.669.952 ; 687 ; 73.019.438 ; 277 ; 57.374.713 ; 428 ; 69.447.893 ; 1.567 ; 235.511.996 ; 61 ; 117.039.340 ; 62 ; 142.105.694 ; 123 ; 259.145.034 ; 1.690 ; 494.657.030 ;
45;28.811.341;STONEX BANCO DE CÂMBIO S.A.;STONEX DTVM - PRUDENCIAL; 107 ; 7.911.871 ; 82 ; 5.298.962 ; 5.912 ; 204.181.191 ; 323 ; 19.775.706 ; 6.424 ; 237.167.730 ; 127 ; 33.296.657 ; 258 ; 220.380.741 ; 385 ; 253.677.398 ; 6.809 ; 490.845.128 ;
46;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;BANRISUL - PRUDENCIAL; 482 ; 157.842.952 ; 991 ; 74.988.401 ; 337 ; 15.932.190 ; 446 ; 30.783.406 ; 2.256 ; 279.546.949 ; 47 ; 64.359.684 ; 73 ; 132.632.954 ; 120 ; 196.992.638 ; 2.376 ; 476.539.587 ;
47;61.384.004;AVENUE SECURITIES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;AVENUE SECURITIES DTVM - PRUDENCIAL; -   ; -   ; -   ; -   ; 13.539 ; 22.086.552 ; 126.025 ; 224.733.918 ; 139.564 ; 246.820.470 ; 263 ; 202.338.040 ; -   ; -   ; 263 ; 202.338.040 ; 139.827 ; 449.158.510 ;
48;61.186.680;BANCO BMG S.A.;BMG - PRUDENCIAL; 12 ; 48.364.656 ; -   ; -   ; 8 ; 4.725.468 ; 61 ; 24.349.656 ; 81 ; 77.439.780 ; 5 ; 127.861.063 ; 10 ; 187.288.517 ; 15 ; 315.149.580 ; 96 ; 392.589.360 ;
49;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;BNDES - PRUDENCIAL; 39 ; 86.204.592 ; -   ; -   ; 36 ; 20.601.988 ; 4 ; 115.073 ; 79 ; 106.921.653 ; -   ; -   ; 8 ; 253.320.173 ; 8 ; 253.320.173 ; 87 ; 360.241.826 ;
50;45.246.410;BANCO GENIAL S.A.;GENIAL - PRUDENCIAL; 13 ; 821.466 ; 25 ; 1.420.622 ; 432 ; 73.463.554 ; 574 ; 162.894.590 ; 1.044 ; 238.600.232 ; 40 ; 97.254.571 ; 3 ; 9.094.275 ; 43 ; 106.348.846 ; 1.087 ; 344.949.078 ;
51;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;CREDIT AGRICOLE - PRUDENCIAL; 4 ; 2.744.000 ; 13 ; 839.742 ; 15 ; 163.559.675 ; 23 ; 3.538.659 ; 55 ; 170.682.076 ; 4 ; 3.365.050 ; 8 ; 165.538.405 ; 12 ; 168.903.455 ; 67 ; 339.585.531 ;
52;00.416.968;BANCO INTER S.A.;INTER - PRUDENCIAL; 57 ; 3.157.653 ; 199 ; 614.440 ; 101.044 ; 117.497.209 ; 324.140 ; 103.330.674 ; 425.440 ; 224.599.976 ; 4 ; 46.056.445 ; 4 ; 22.141.620 ; 8 ; 68.198.065 ; 425.448 ; 292.798.041 ;
53;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA;ADVANCED CC LTDA - PRUDENCIAL; 155 ; 3.416.930 ; 2.672 ; 52.081.651 ; 1.586 ; 27.554.529 ; 3.191 ; 51.096.535 ; 7.604 ; 134.149.645 ; 435 ; 108.949.140 ; 73 ; 37.405.278 ; 508 ; 146.354.418 ; 8.112 ; 280.504.063 ;
54;00.360.305;CAIXA ECONOMICA FEDERAL;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL; 81 ; 27.021.437 ; 72 ; 2.085.633 ; 6.880 ; 77.278.877 ; 1.798 ; 38.706.273 ; 8.831 ; 145.092.220 ; 140 ; 32.777.068 ; 144 ; 92.031.925 ; 284 ; 124.808.993 ; 9.115 ; 269.901.213 ;
55;07.450.604;BANK OF CHINA (BRASIL) BANCO MÚLTIPLO S/A;BANK OF CHINA (BRASIL) - PRUDENCIAL; 36 ; 29.534.747 ; 80 ; 23.777.487 ; 20 ; 35.644.202 ; 117 ; 22.757.141 ; 253 ; 111.713.577 ; 33 ; 33.707.481 ; 30 ; 76.666.662 ; 63 ; 110.374.143 ; 316 ; 222.087.720 ;
56;01.181.521;BANCO COOPERATIVO SICREDI S.A.;BCO COOPERATIVO SICREDI - PRUDENCIAL; 817 ; 39.757.004 ; 1.533 ; 73.196.278 ; 994 ; 22.013.647 ; 449 ; 28.111.326 ; 3.793 ; 163.078.255 ; 26 ; 40.626.163 ; 11 ; 2.935.574 ; 37 ; 43.561.737 ; 3.830 ; 206.639.992 ;
57;92.894.922;BANCO ORIGINAL S.A.;ORIGINAL - PRUDENCIAL; 1 ; 4.100.000 ; 21 ; 75.275.255 ; 20 ; 158.780 ; 75 ; 11.922.126 ; 117 ; 91.456.161 ; 6 ; 75.154.058 ; 2 ; 7.153.750 ; 8 ; 82.307.808 ; 125 ; 173.763.969 ;
58;32.648.370;FAIR CORRETORA DE CAMBIO S.A.;FAIR CC S.A. - PRUDENCIAL; 116 ; 2.201.486 ; 1.065 ; 39.455.485 ; 1.712 ; 10.938.401 ; 2.121 ; 19.968.736 ; 5.014 ; 72.564.108 ; 679 ; 69.934.889 ; 141 ; 23.621.654 ; 820 ; 93.556.543 ; 5.834 ; 166.120.651 ;
