Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jun/2021;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
64;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.;149;204.983.411;234;35.693.690;300;49.108.311;389;86.331.403;1.072;376.116.815;207;75.590.402;148;236.005.244;355;311.595.645;1.427;687.712.460
65;59.118.133;BANCO LUSO BRASILEIRO S.A.;391;44.221.857;1.462;191.619.954;191;52.268.430;1.050;32.976.255;3.094;321.086.496;1.416;230.332.888;541;101.501.087;1.957;331.833.975;5.051;652.920.471
66;32.648.370;FAIR CORRETORA DE CAMBIO S.A.;696;13.323.361;6.495;169.315.004;2.989;58.234.539;6.447;88.576.309;16.627;329.449.213;3.707;227.515.524;317;41.312.087;4.024;268.827.610;20.651;598.276.823
67;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.;25;95.497.559;475;76.628.992;18;63.326.025;361;52.754.673;879;288.207.249;39;130.875.705;29;158.544.390;68;289.420.095;947;577.627.344
68;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO;116;60.489.178;508;59.949.004;52;33.145.140;215;57.859.774;891;211.443.097;124;211.033.737;117;147.129.341;241;358.163.078;1.132;569.606.175
69;15.357.060;BANCO WOORI BANK DO BRASIL S.A.;17;424.996;491;220.863.366;426;56.811.327;955;55.215.370;1.889;333.315.060;564;225.996.503;78;7.191.000;642;233.187.503;2.531;566.502.563
70;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.;858;20.966.412;7.949;189.003.451;1.907;30.354.922;6.377;75.426.203;17.091;315.750.988;2.932;228.737.009;205;15.509.591;3.137;244.246.599;20.228;559.997.587
71;00.250.699;AGK CORRETORA DE CAMBIO S.A.;1.271;28.277.526;6.336;197.268.416;2.933;43.151.057;3.223;38.935.211;13.763;307.632.210;2.485;199.880.937;403;35.116.140;2.888;234.997.076;16.651;542.629.286
72;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;;28.817;226.391.580;57.686;218.000.135;86.503;444.391.715;172;33.901.321;463;42.591.315;635;76.492.636;87.138;520.884.352
73;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.;29;141.516.896;16;3.567.910;32;90.037.168;111;40.956.022;188;276.077.997;37;32.430.382;85;202.912.648;122;235.343.031;310;511.421.028
