Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em NOVEMBRO / 2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
36;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 11 ; 54.557.896 ; 7 ; 6.781.462 ; 17 ; 173.126.545 ; 95 ; 19.265.610 ; 130 ; 253.731.512 ; 5 ; 17.308.697 ; 15 ; 182.307.736 ; 20 ; 199.616.433 ; 150 ; 453.347.945 ;;;;
37;33.042.953;CITIBANK N.A.;;;;; 1 ; 2.144 ; 4 ; 1.295.424 ; 5 ; 1.297.568 ; 1 ; 200.000.000 ; 1 ; 200.000.000 ; 2 ; 400.000.000 ; 7 ; 401.297.568 ;;;;
38;07.679.404;BANCO TOPÁZIO S.A.;;; 2 ; 86.660 ; 631 ; 4.547.972 ; 443 ; 186.648.249 ; 1.076 ; 191.282.882 ; 151 ; 183.964.677 ; 5 ; 1.795.559 ; 156 ; 185.760.236 ; 1.232 ; 377.043.118 ;;;;
39;15.114.366;BANCO BOCOM BBM S.A.; 23 ; 10.130.446 ; 10 ; 701.584 ; 25 ; 98.780.031 ; 124 ; 23.551.401 ; 182 ; 133.163.462 ; 13 ; 107.970.506 ; 12 ; 131.213.646 ; 25 ; 239.184.152 ; 207 ; 372.347.614 ;;;;
40;58.616.418;BANCO FIBRA S.A.; 80 ; 42.268.504 ; 397 ; 75.430.913 ; 47 ; 23.745.642 ; 202 ; 14.260.274 ; 726 ; 155.705.333 ; 27 ; 122.147.911 ; 21 ; 82.145.050 ; 48 ; 204.292.961 ; 774 ; 359.998.294 ;;;;
41;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 200 ; 152.537.406 ; 318 ; 33.136.618 ; 518 ; 185.674.024 ; 8 ; 28.050.000 ; 76 ; 145.450.000 ; 84 ; 173.500.000 ; 602 ; 359.174.024 ;;;;
42;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 56 ; 131.576.242 ; 201 ; 17.121.575 ; 18 ; 19.375.967 ; 151 ; 24.617.577 ; 426 ; 192.691.361 ; 21 ; 23.380.670 ; 30 ; 132.355.021 ; 51 ; 155.735.691 ; 477 ; 348.427.051 ;;;;
43;33.923.798;BANCO MÁXIMA S.A.; 132 ; 73.863.555 ; 331 ; 8.883.789 ; 2.899 ; 55.582.019 ; 20.964 ; 84.725.308 ; 24.326 ; 223.054.670 ; 30 ; 30.204.469 ; 32 ; 65.132.328 ; 62 ; 95.336.797 ; 24.388 ; 318.391.467 ;;;;
44;71.027.866;BANCO BS2 S.A.; 139 ; 7.467.736 ; 646 ; 21.032.400 ; 1.370 ; 76.753.160 ; 3.178 ; 62.727.289 ; 5.333 ; 167.980.585 ; 92 ; 69.480.725 ; 2.118 ; 79.141.246 ; 2.210 ; 148.621.971 ; 7.543 ; 316.602.556 ;;;;
45;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 82 ; 57.517.036 ;;; 117 ; 133.364.716 ; 22 ; 31.414.092 ; 221 ; 222.295.844 ;;; 3 ; 85.000.000 ; 3 ; 85.000.000 ; 224 ; 307.295.844 ;;;;
