Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em AGOSTO / 2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
55;45.246.410;BANCO GENIAL S.A.; 7 ; 356.954 ; 21 ; 1.066.060 ; 370 ; 89.891.912 ; 417 ; 59.249.528 ; 815 ; 150.564.454 ; 9 ; 1.394.587 ; 11 ; 29.750.748 ; 20 ; 31.145.335 ; 835 ; 181.709.789 ;;
56;00.416.968;BANCO INTER S.A.; 15 ; 2.972.383 ; 31 ; 722.370 ; 54.425 ; 81.130.915 ; 123.134 ; 46.101.036 ; 177.605 ; 130.926.704 ; 9 ; 12.625.967 ; 13 ; 35.456.939 ; 22 ; 48.082.906 ; 177.627 ; 179.009.610 ;;
57;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 124 ; 3.216.966 ; 805 ; 25.300.857 ; 1.262 ; 23.619.752 ; 3.278 ; 28.762.046 ; 5.469 ; 80.899.621 ; 660 ; 54.392.216 ; 98 ; 27.004.579 ; 758 ; 81.396.795 ; 6.227 ; 162.296.416 ;;
58;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 232 ; 5.344.485 ; 749 ; 21.827.387 ; 12.035 ; 29.660.540 ; 33.871 ; 38.455.607 ; 46.887 ; 95.288.019 ; 1.412 ; 44.141.953 ; 117 ; 19.103.902 ; 1.529 ; 63.245.855 ; 48.416 ; 158.533.874 ;;
59;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; -   ; -   ; -   ; -   ; 145.010 ; 51.795.622 ; 266.579 ; 74.543.184 ; 411.589 ; 126.338.806 ; 91 ; 25.305.749 ; 145 ; 5.315.957 ; 236 ; 30.621.706 ; 411.825 ; 156.960.512 ;;
60;02.318.507;BANCO KEB HANA DO BRASIL S.A.; -   ; -   ; 34 ; 20.092.461 ; 74 ; 40.378.073 ; 137 ; 29.054.829 ; 245 ; 89.525.363 ; 60 ; 24.760.061 ; 14 ; 15.953.055 ; 74 ; 40.713.116 ; 319 ; 130.238.479 ;;
61;60.889.128;BANCO SOFISA S.A.; 315 ; 59.533.514 ; 72 ; 4.397.582 ; 17 ; 2.182.439 ; 132 ; 2.609.672 ; 536 ; 68.723.207 ; 14 ; 472.752 ; 24 ; 54.037.392 ; 38 ; 54.510.144 ; 574 ; 123.233.351 ;;
62;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; -   ; -   ; 3 ; 416.951 ; 12 ; 30.559.738 ; 23 ; 33.904.997 ; 38 ; 64.881.686 ; 5 ; 29.617.844 ; 3 ; 25.645.481 ; 8 ; 55.263.325 ; 46 ; 120.145.011 ;;
63;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 15 ; 1.165.652 ; 90 ; 8.034.526 ; 7.067 ; 12.919.113 ; 16.573 ; 33.383.234 ; 23.745 ; 55.502.525 ; 3.953 ; 41.159.111 ; 344 ; 13.718.096 ; 4.297 ; 54.877.207 ; 28.042 ; 110.379.732 ;;
64;30.723.886;BANCO MODAL S.A.; 6 ; 7.424.849 ; 2 ; 81.255 ; 147 ; 38.097.994 ; 97 ; 5.488.691 ; 252 ; 51.092.789 ; 1 ; 5.000.000 ; 5 ; 53.738.400 ; 6 ; 58.738.400 ; 258 ; 109.831.189 ;;
