Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Nov/2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
35;68.900.810;BANCO RENDIMENTO S.A.; 122 ; 35.757.357 ; 1.857 ; 886.200.515 ; 858.175 ; 2.536.784.688 ; 41.723 ; 984.193.469 ; 901.877 ; 4.442.936.029 ; 14.576 ; 3.575.036.962 ; 73.926 ; 4.292.381.028 ; 88.502 ; 7.867.417.990 ; 990.379 ; 12.310.354.019 ;;
36;71.027.866;BANCO BS2 S.A.; 4.049 ; 1.109.608.931 ; 15.258 ; 2.652.980.450 ; 77.763 ; 1.757.138.406 ; 99.453 ; 1.706.007.560 ; 196.523 ; 7.225.735.347 ; 588 ; 3.269.957.765 ; 469 ; 1.770.791.488 ; 1.057 ; 5.040.749.253 ; 197.580 ; 12.266.484.600 ;;
37;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; -   ; -   ; -   ; -   ; 1.095 ; 3.722.451.999 ; 1.622 ; 5.113.772.426 ; 2.717 ; 8.836.224.425 ; 178 ; 2.035.716.848 ; 132 ; 595.892.956 ; 310 ; 2.631.609.804 ; 3.027 ; 11.467.834.229 ;;
38;58.616.418;BANCO FIBRA S.A.; 857 ; 823.949.522 ; 4.916 ; 1.663.529.726 ; 492 ; 327.372.068 ; 4.257 ; 230.431.940 ; 10.522 ; 3.045.283.256 ; 985 ; 3.951.594.835 ; 875 ; 3.147.809.641 ; 1.860 ; 7.099.404.476 ; 12.382 ; 10.144.687.732 ;;
39;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 973 ; 1.004.644.911 ; 3.016 ; 1.070.926.120 ; 4.224 ; 1.864.227.187 ; 8.727 ; 1.158.757.536 ; 16.940 ; 5.098.555.754 ; 701 ; 1.467.585.325 ; 719 ; 2.141.939.456 ; 1.420 ; 3.609.524.781 ; 18.360 ; 8.708.080.535 ;;
40;13.059.145;BEXS BANCO DE CÂMBIO S/A; 585 ; 1.262.908.801 ; 1.718 ; 205.065.850 ; 125.998 ; 601.540.475 ; 901.686 ; 2.146.302.451 ; 1.029.987 ; 4.215.817.577 ; 1.969 ; 1.603.021.490 ; 1.080 ; 1.124.861.426 ; 3.049 ; 2.727.882.916 ; 1.033.036 ; 6.943.700.493 ;;
41;10.690.848;BANCO DA CHINA BRASIL S.A.; 303 ; 1.342.363.408 ; 126 ; 151.047.148 ; 582 ; 1.220.985.703 ; 959 ; 108.230.787 ; 1.970 ; 2.822.627.046 ; 444 ; 836.380.083 ; 747 ; 3.140.355.098 ; 1.191 ; 3.976.735.181 ; 3.161 ; 6.799.362.227 ;;
42;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION; -   ; -   ; -   ; -   ; 193 ; 289.127.542 ; 412 ; 2.149.272.285 ; 605 ; 2.438.399.827 ; 136 ; 2.109.279.456 ; 37 ; 247.979.957 ; 173 ; 2.357.259.413 ; 778 ; 4.795.659.240 ;;
43;00.997.185;BANCO B3 S.A.; -   ; -   ; -   ; -   ; 2.114 ; 1.678.442.708 ; 1.805 ; 1.875.282.513 ; 3.919 ; 3.553.725.221 ; 354 ; 544.820.965 ; 449 ; 347.969.273 ; 803 ; 892.790.238 ; 4.722 ; 4.446.515.459 ;;
44;07.656.500;BANCO KDB DO BRASIL S.A.; 2 ; 24.000.000 ; 32 ; 14.707.499 ; 1.359 ; 855.481.923 ; 3.247 ; 1.356.034.778 ; 4.640 ; 2.250.224.200 ; 396 ; 1.269.378.607 ; 372 ; 807.571.649 ; 768 ; 2.076.950.256 ; 5.408 ; 4.327.174.456 ;;
