Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mai/2021;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
37;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 380 ; 514.194.560 ; 1.902 ; 272.229.299 ; 107 ; 495.384.319 ; 1.271 ; 492.637.230 ; 3.660 ; 1.774.445.407 ; 175 ; 309.210.910 ; 136 ; 471.563.451 ; 311 ; 780.774.361 ; 3.971 ; 2.555.219.767 ;
38;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 275 ; 391.832.762 ; 944 ; 175.119.413 ; 284 ; 137.276.171 ; 681 ; 225.847.859 ; 2.184 ; 930.076.204 ; 413 ; 725.170.744 ; 429 ; 825.698.063 ; 842 ; 1.550.868.807 ; 3.026 ; 2.480.945.011 ;
39;71.027.866;BANCO BS2 S.A.; 1.643 ; 271.857.572 ; 5.801 ; 237.346.597 ; 30.679 ; 613.866.917 ; 73.996 ; 387.387.407 ; 112.119 ; 1.510.458.493 ; 221 ; 254.664.014 ; 370 ; 531.752.534 ; 591 ; 786.416.548 ; 112.710 ; 2.296.875.041 ;
40;62.144.175;BANCO PINE S.A.; 148 ; 89.610.157 ; 1.532 ; 159.326.387 ; 19 ; 18.117.461 ; 256 ; 51.268.422 ; 1.955 ; 318.322.427 ; 131 ; 1.031.350.800 ; 576 ; 904.802.182 ; 707 ; 1.936.152.982 ; 2.662 ; 2.254.475.409 ;
41;45.246.410;BANCO GENIAL S.A.; 161 ; 13.844.384 ; 157 ; 19.140.379 ; 1.049 ; 137.947.885 ; 2.241 ; 1.011.217.206 ; 3.608 ; 1.182.149.855 ; 290 ; 926.829.570 ; 32 ; 48.181.544 ; 322 ; 975.011.115 ; 3.930 ; 2.157.160.970 ;
42;33.042.953;CITIBANK N.A.;;;;; 5 ; 975 ; 41 ; 584.531 ; 46 ; 585.506 ; 2 ; 556.000.000 ; 7 ; 1.321.000.000 ; 9 ; 1.877.000.000 ; 55 ; 1.877.585.506 ;
43;00.997.185;BANCO B3 S.A.;;;;; 576 ; 701.971.526 ; 564 ; 812.436.854 ; 1.140 ; 1.514.408.380 ; 229 ; 215.186.707 ; 163 ; 104.606.121 ; 392 ; 319.792.827 ; 1.532 ; 1.834.201.208 ;
44;33.923.798;BANCO MÁXIMA S.A.; 568 ; 42.574.999 ; 1.734 ; 87.199.880 ; 59.911 ; 495.275.477 ; 230.686 ; 612.969.374 ; 292.899 ; 1.238.019.730 ; 460 ; 387.107.615 ; 290 ; 206.402.242 ; 750 ; 593.509.857 ; 293.649 ; 1.831.529.587 ;
45;13.059.145;BEXS BANCO DE CÂMBIO S/A; 64 ; 192.302.343 ; 37 ; 3.923.325 ; 29.044 ; 164.301.359 ; 319.859 ; 566.850.766 ; 349.004 ; 927.377.793 ; 593 ; 469.247.066 ; 156 ; 255.330.405 ; 749 ; 724.577.471 ; 349.753 ; 1.651.955.264 ;
46;10.690.848;BANCO DA CHINA BRASIL S.A.; 90 ; 247.775.347 ; 112 ; 29.434.845 ; 95 ; 345.806.399 ; 309 ; 184.453.318 ; 606 ; 807.469.908 ; 183 ; 188.858.150 ; 245 ; 568.594.762 ; 428 ; 757.452.912 ; 1.034 ; 1.564.922.820 ;
