Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jan/2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
46;03.609.817;BANCO CARGILL S.A.; 21 ; 153.449.733 ; 1 ; 49.271 ; 2 ; 211.755 ; 17 ; 2.250.767 ; 41 ; 155.961.527 ;;; 4 ; 200.000.000 ; 4 ; 200.000.000 ; 45 ; 355.961.527 ;
47;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 5 ; 60.438.854 ; 19 ; 2.435.743 ; 35 ; 112.602.763 ; 51 ; 9.007.756 ; 110 ; 184.485.116 ; 10 ; 3.251.000 ; 11 ; 165.242.196 ; 21 ; 168.493.196 ; 131 ; 352.978.312 ;
48;00.416.968;BANCO INTER S.A.; 15 ; 18.107.534 ; 6 ; 71.570 ; 7.181 ; 12.532.353 ; 2.775 ; 134.388.428 ; 9.977 ; 165.099.886 ; 47 ; 143.261.166 ; 22 ; 27.119.995 ; 69 ; 170.381.161 ; 10.046 ; 335.481.047 ;
49;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 642 ; 22.644.079 ; 751 ; 38.996.564 ; 604 ; 112.325.894 ; 358 ; 15.189.429 ; 2.355 ; 189.155.967 ; 14 ; 20.498.455 ; 4 ; 103.171.900 ; 18 ; 123.670.355 ; 2.373 ; 312.826.322 ;
50;00.360.305;CAIXA ECONOMICA FEDERAL; 104 ; 41.186.458 ; 91 ; 8.370.192 ; 7.652 ; 51.289.919 ; 663 ; 43.113.852 ; 8.510 ; 143.960.421 ; 172 ; 40.974.016 ; 191 ; 85.240.093 ; 363 ; 126.214.109 ; 8.873 ; 270.174.530 ;
51;13.059.145;BEXS BANCO DE CÂMBIO S/A; 18 ; 35.398.883 ; 94 ; 5.016.914 ; 10.383 ; 29.654.248 ; 90.365 ; 70.048.573 ; 100.860 ; 140.118.618 ; 164 ; 63.726.473 ; 30 ; 54.342.237 ; 194 ; 118.068.710 ; 101.054 ; 258.187.328 ;
52;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 10 ; 1.715.149 ; 189 ; 10.933.854 ; 182 ; 25.025.386 ; 1.228 ; 94.111.227 ; 1.609 ; 131.785.617 ; 153 ; 97.089.748 ; 45 ; 17.777.995 ; 198 ; 114.867.743 ; 1.807 ; 246.653.360 ;
53;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 135 ; 3.221.939 ; 798 ; 30.064.286 ; 3.644 ; 23.507.211 ; 3.242 ; 56.966.031 ; 7.819 ; 113.759.468 ; 1.664 ; 80.669.458 ; 123 ; 20.428.324 ; 1.787 ; 101.097.781 ; 9.606 ; 214.857.249 ;
54;28.811.341;STONEX BANCO DE CÂMBIO S.A.; 20 ; 4.073.929 ; 62 ; 2.012.846 ; 3.481 ; 92.593.146 ; 176 ; 4.003.704 ; 3.739 ; 102.683.625 ; 50 ; 3.928.394 ; 173 ; 94.579.507 ; 223 ; 98.507.901 ; 3.962 ; 201.191.526 ;
55;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 149 ; 5.605.637 ; 1.653 ; 38.013.779 ; 1.588 ; 22.607.104 ; 3.449 ; 44.821.317 ; 6.839 ; 111.047.836 ; 348 ; 68.128.699 ; 75 ; 13.482.751 ; 423 ; 81.611.451 ; 7.262 ; 192.659.287 ;
