Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Fev/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
47;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 285 ; 137.777.911 ; 433 ; 55.606.014 ; 86 ; 10.114.643 ; 575 ; 116.579.890 ; 1.379 ; 320.078.458 ; 74 ; 143.928.843 ; 66 ; 117.226.916 ; 140,0 ; 261.155.759,3 ; 1.519 ; 581.234.217 ;
48;71.027.866;BANCO BONSUCESSO S.A.;;;;; 93 ; 453.465 ; 281 ; 4.072.912 ; 374 ; 4.526.377 ; 218 ; 236.464.893 ; 854 ; 231.717.025 ; 1.072,0 ; 468.181.917,7 ; 1.446 ; 472.708.295 ;
49;74.451.022;TOV CORRETORA DE C∂MBIO, T÷TULOS E VALORES MOBILIµRIOS LTDA; 67 ; 1.900.507 ; 2.910 ; 144.357.631 ; 1.345 ; 4.617.031 ; 6.426 ; 67.440.210 ; 10.748 ; 218.315.378 ; 2.635 ; 210.960.794 ; 80 ; 5.296.246 ; 2.715,0 ; 216.257.040,3 ; 13.463 ; 434.572.419 ;
50;04.913.129;CONFIDENCE CORRETORA DE C∂MBIO S.A.; 4 ; 16.187 ; 11 ; 27.754 ; 2.568 ; 21.596.077 ; 10.968 ; 142.390.620 ; 13.551 ; 164.030.638 ; 4.435 ; 196.321.895 ; 290 ; 72.117.882 ; 4.725,0 ; 268.439.776,9 ; 18.276 ; 432.470.415 ;
51;78.632.767;BANCO OURINVEST S.A.; 2 ; 2.876.951 ; 9 ; 940.640 ; 261 ; 9.056.354 ; 786 ; 19.247.541 ; 1.058 ; 32.121.486 ; 356 ; 184.507.092 ; 4.541 ; 182.717.249 ; 4.897,0 ; 367.224.341,6 ; 5.955 ; 399.345.827 ;
52;33.923.798;BANCO MµXIMA S.A.; 59 ; 2.127.242 ; 690 ; 35.288.967 ; 96 ; 24.085.791 ; 449 ; 28.914.142 ; 1.294 ; 90.416.143 ; 474 ; 168.653.238 ; 2.331 ; 127.357.372 ; 2.805,0 ; 296.010.610,3 ; 4.099 ; 386.426.753 ;
53;02.992.317;TREVISO CORRETORA DE C∂MBIO S.A.; 10 ; 207.916 ; 196 ; 5.598.454 ; 826 ; 6.813.140 ; 3.610 ; 64.589.744 ; 4.642 ; 77.209.254 ; 3.576 ; 178.330.241 ; 751 ; 116.514.409 ; 4.327,0 ; 294.844.649,7 ; 8.969 ; 372.053.903 ;
54;62.144.175;BANCO PINE S.A.; 23 ; 34.313.403 ; 143 ; 62.091.959 ; 15 ; 1.358.435 ; 159 ; 61.350.900 ; 340 ; 159.114.698 ; 6 ; 130.084.462 ; 4 ; 60.084.400 ; 10,0 ; 190.168.862,3 ; 350 ; 349.283.560 ;
55;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 5 ; 131.195 ; 115 ; 1.593.817 ; 1.579 ; 17.392.034 ; 11.495 ; 153.830.600 ; 13.194 ; 172.947.646 ; 1.536 ; 139.078.955 ; 11 ; 334.368 ; 1.547,0 ; 139.413.323,6 ; 14.741 ; 312.360.969 ;
56;58.616.418;BANCO FIBRA S.A.; 184 ; 26.404.622 ; 355 ; 23.818.592 ; 233 ; 5.511.918 ; 592 ; 57.120.064 ; 1.364 ; 112.855.197 ; 60 ; 118.988.213 ; 32 ; 9.421.361 ; 92,0 ; 128.409.574,3 ; 1.456 ; 241.264.771 ;
57;92.856.905;ADVANCED CORRETORA DE C∂MBIO LTDA; 244 ; 7.136.181 ; 2.124 ; 65.568.665 ; 1.094 ; 13.855.493 ; 4.741 ; 44.693.265 ; 8.203 ; 131.253.604 ; 961 ; 97.895.097 ; 100 ; 7.733.145 ; 1.061,0 ; 105.628.242,0 ; 9.264 ; 236.881.846 ;
58;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS; 15 ; 399.506 ; 1.240 ; 95.726.481 ; 550 ; 1.745.005 ; 6.363 ; 13.302.846 ; 8.168 ; 111.173.839 ; 1.358 ; 108.690.274 ; 48 ; 1.656.689 ; 1.406,0 ; 110.346.963,2 ; 9.574 ; 221.520.802 ;
59;17.184.037;BANCO MERCANTIL DO BRASIL S.A.; 23 ; 8.230.998 ; 59 ; 3.279.576 ; 76 ; 2.182.885 ; 227 ; 18.729.234 ; 385 ; 32.422.693 ; 168 ; 94.802.278 ; 99 ; 83.514.096 ; 267,0 ; 178.316.373,6 ; 652 ; 210.739.066 ;
60;61.186.680;BANCO BMG S.A.;;;;;;; 14 ; 79.973.525 ; 14 ; 79.973.525 ; 9 ; 130.280.350 ;;; 9,0 ; 130.280.350,0 ; 23 ; 210.253.875 ;
61;16.944.141;BROKER BRASIL CORRETORA DE C∂MBIO LTDA.;;; 240 ; 8.282.882 ; 303 ; 588.879 ; 1.759 ; 88.383.585 ; 2.302 ; 97.255.346 ; 1.670 ; 104.392.279 ; 115 ; 8.325.428 ; 1.785,0 ; 112.717.706,2 ; 4.087 ; 209.973.052 ;
