Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MAIO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
51;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 229 ; 4.925.562 ; 1.710 ; 29.055.393 ; 1.594 ; 12.895.047 ; 4.292 ; 34.472.509 ; 7.825 ; 81.348.511 ; 902 ; 57.662.848 ; 170 ; 11.119.389 ; 1.072 ; 68.782.236 ; 8.897 ; 150.130.748 
52;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 50 ; 128.570 ; 161 ; 1.188.622 ; 211 ; 1.317.193 ; 613 ; 74.852.063 ; 353 ; 73.788.273 ; 966 ; 148.640.336 ; 1.177 ; 149.957.528 
53;59.118.133;BANCO LUSO BRASILEIRO S.A.; 47 ; 6.798.665 ; 349 ; 41.905.323 ; 58 ; 16.453.676 ; 186 ; 5.703.206 ; 640 ; 70.860.871 ; 300 ; 50.178.514 ; 87 ; 24.965.131 ; 387 ; 75.143.645 ; 1.027 ; 146.004.515 
54;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 43 ; 989.020 ; 227 ; 2.910.763 ; 1.322 ; 8.923.750 ; 6.052 ; 67.767.855 ; 7.644 ; 80.591.388 ; 1.422 ; 60.835.937 ; 5 ; 33.627 ; 1.427 ; 60.869.564 ; 9.071 ; 141.460.951 
55;15.114.366;BANCO BBM S/A; 30 ; 14.221.909 ; 5 ; 1.093.943 ; 21 ; 35.093.392 ; 83 ; 28.356.350 ; 139 ; 78.765.593 ; 8 ; 23.037.641 ; 9 ; 37.035.023 ; 17 ; 60.072.664 ; 156 ; 138.838.257 
56;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 900 ; 8.671.593 ; 4.057 ; 62.678.723 ; 4.957 ; 71.350.316 ; 3.010 ; 53.833.047 ; 17 ; 71.045 ; 3.027 ; 53.904.092 ; 7.984 ; 125.254.407 
57;30.723.886;BANCO MODAL S.A.; 12 ; 20.604.232 ; 85 ; 7.407.644 ; 81 ; 23.882.624 ; 99 ; 7.764.645 ; 277 ; 59.659.146 ; 7 ; 16.013.202 ; 10 ; 44.012.956 ; 17 ; 60.026.158 ; 294 ; 119.685.303 
58;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 138 ; 2.208.528 ; 1.286 ; 28.081.648 ; 656 ; 7.732.890 ; 2.411 ; 27.086.206 ; 4.491 ; 65.109.271 ; 1.572 ; 49.072.211 ; 23 ; 3.854.580 ; 1.595 ; 52.926.790 ; 6.086 ; 118.036.062 
59;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 5 ; 1.466.755 ; 3 ; 160.099 ; 3.504 ; 55.755.848 ; 469 ; 1.086.422 ; 3.981 ; 58.469.123 ; 10 ; 367.072 ; 85 ; 56.343.710 ; 95 ; 56.710.782 ; 4.076 ; 115.179.904 
60;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 4 ; 8.392.628 ; 15 ; 3.811.645 ; 6 ; 832.112 ; 83 ; 23.737.870 ; 108 ; 36.774.255 ; 16 ; 34.938.325 ; 16 ; 39.903.875 ; 32 ; 74.842.200 ; 140 ; 111.616.455 
61;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 79 ; 39.595.180 ; 89 ; 30.817.797 ; 168 ; 70.412.977 ; 32 ; 16.070.000 ; 21 ; 24.842.500 ; 53 ; 40.912.500 ; 221 ; 111.325.477 
62;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 584 ; 31.168.383 ; 431 ; 11.340.287 ; 292 ; 10.505.382 ; 264 ; 22.896.435 ; 1.571 ; 75.910.488 ; 18 ; 11.892.813 ; 17 ; 19.528.833 ; 35 ; 31.421.646 ; 1.606 ; 107.332.134 
63;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 26 ; 324.894 ; 258 ; 5.487.552 ; 552 ; 5.691.446 ; 2.102 ; 24.148.220 ; 2.938 ; 35.652.111 ; 2.432 ; 44.059.161 ; 278 ; 20.562.147 ; 2.710 ; 64.621.308 ; 5.648 ; 100.273.418 
64;12.586.596;MULTIMONEY CORRETORA DE CÂMBIO LTDA; 66 ; 1.199.503 ; 519 ; 11.072.603 ; 2.868 ; 4.598.972 ; 1.857 ; 18.729.849 ; 5.310 ; 35.600.926 ; 1.972 ; 38.691.361 ; 531 ; 14.673.830 ; 2.503 ; 53.365.190 ; 7.813 ; 88.966.117 
65;13.720.915;BANCO WESTERN UNION DO BRASIL S.A.;;;;;;; 1 ; 1.151 ; 1 ; 1.151 ; 40 ; 44.441.736 ; 84 ; 44.441.766 ; 124 ; 88.883.502 ; 125 ; 88.884.653 
66;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 18 ; 25.387.220 ; 21 ; 16.372.194 ; 2 ; 379.070 ; 103 ; 9.741.252 ; 144 ; 51.879.736 ; 11 ; 12.680.694 ; 4 ; 18.000.000 ; 15 ; 30.680.694 ; 159 ; 82.560.430 
67;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 149 ; 2.910.686 ; 963 ; 24.967.543 ; 422 ; 5.450.629 ; 961 ; 14.299.916 ; 2.495 ; 47.628.773 ; 423 ; 32.166.802 ; 14 ; 1.198.226 ; 437 ; 33.365.028 ; 2.932 ; 80.993.802 
