Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Junho/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
38;13.059.145;EBURY BANCO DE CÂMBIO S.A.;EBURY BANCO DE CÂMBIO - PRUDENCIAL; 134 ; 241.777.975 ; 504 ; 32.287.354 ; 7.167 ; 165.576.387 ; 19.653 ; 235.794.741 ; 27.458 ; 675.436.457 ; 127 ; 108.489.242 ; 162 ; 244.055.202 ; 289 ; 352.544.444 ; 27.747 ; 1.027.980.901 ;
39;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL; 165 ; 101.188.305 ; 576 ; 117.869.612 ; 301 ; 222.648.713 ; 379 ; 51.472.894 ; 1.421 ; 493.179.524 ; 52 ; 144.205.382 ; 54 ; 301.985.080 ; 106 ; 446.190.462 ; 1.527 ; 939.369.986 ;
40;58.616.418;BANCO FIBRA S.A.;BCO FIBRA S.A. - PRUDENCIAL; 145 ; 125.855.932 ; 541 ; 158.700.088 ; 37 ; 1.982.754 ; 153 ; 15.702.865 ; 876 ; 302.241.639 ; 70 ; 245.776.198 ; 75 ; 299.025.975 ; 145 ; 544.802.173 ; 1.021 ; 847.043.812 ;
41;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;JP MORGAN CHASE - PRUDENCIAL; -   ; -   ; -   ; -   ; 12 ; 102.114.481 ; 30 ; 301.946.955 ; 42 ; 404.061.436 ; 12 ; 298.741.000 ; 1 ; 98.000.000 ; 13 ; 396.741.000 ; 55 ; 800.802.436 ;
42;28.811.341;STONEX BANCO DE CÂMBIO S.A.;STONEX DTVM - PRUDENCIAL; 59 ; 8.025.127 ; 73 ; 6.314.248 ; 4.740 ; 256.954.700 ; 265 ; 78.354.775 ; 5.137 ; 349.648.850 ; 79 ; 84.881.010 ; 224 ; 265.201.391 ; 303 ; 350.082.401 ; 5.440 ; 699.731.251 ;
43;07.656.500;BANCO KDB DO BRASIL S.A.;BCO KDB BRASIL S.A. - PRUDENCIAL; -   ; -   ; 1 ; 926.166 ; 119 ; 229.114.528 ; 183 ; 31.214.221 ; 303 ; 261.254.915 ; 12 ; 43.676.295 ; 126 ; 265.007.000 ; 138 ; 308.683.295 ; 441 ; 569.938.210 ;
44;00.997.185;BANCO B3 S.A.;BANCO B3 - PRUDENCIAL; -   ; -   ; -   ; -   ; 182 ; 226.802.953 ; 139 ; 188.968.480 ; 321 ; 415.771.433 ; 27 ; 49.420.788 ; 58 ; 87.245.051 ; 85 ; 136.665.839 ; 406 ; 552.437.272 ;
45;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;BANRISUL - PRUDENCIAL; 632 ; 160.102.992 ; 581 ; 37.184.467 ; 353 ; 82.862.142 ; 326 ; 7.445.407 ; 1.892 ; 287.595.008 ; 10 ; 30.374.568 ; 70 ; 224.531.758 ; 80 ; 254.906.326 ; 1.972 ; 542.501.334 ;
46;10.690.848;BANCO DA CHINA BRASIL S.A.;BCO DA CHINA BRASIL S.A. - PRUDENCIAL; 33 ; 61.762.970 ; 17 ; 1.782.599 ; 117 ; 52.121.903 ; 58 ; 8.460.120 ; 225 ; 124.127.592 ; 54 ; 74.059.456 ; 81 ; 177.682.920 ; 135 ; 251.742.376 ; 360 ; 375.869.968 ;
47;00.360.305;CAIXA ECONOMICA FEDERAL;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL; 99 ; 27.912.210 ; 83 ; 6.495.772 ; 7.329 ; 78.265.662 ; 1.797 ; 44.239.415 ; 9.308 ; 156.913.059 ; 137 ; 72.748.490 ; 144 ; 128.888.252 ; 281 ; 201.636.742 ; 9.589 ; 358.549.801 ;
48;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A;CCB - PRUDENCIAL; 47 ; 57.784.758 ; 164 ; 25.514.072 ; 25 ; 79.564.127 ; 108 ; 73.690.760 ; 344 ; 236.553.717 ; 36 ; 30.484.927 ; 32 ; 79.274.300 ; 68 ; 109.759.227 ; 412 ; 346.312.944 ;
49;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.;BR PARTNERS - PRUDENCIAL; 5 ; 141.000.000 ; 6 ; 553.689 ; 5 ; 12.366.272 ; 32 ; 3.987.770 ; 48 ; 157.907.731 ; 4 ; 13.022.282 ; 7 ; 160.191.509 ; 11 ; 173.213.791 ; 59 ; 331.121.522 ;
50;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA;ADVANCED CC LTDA - PRUDENCIAL; 227 ; 7.073.428 ; 2.303 ; 42.282.337 ; 1.988 ; 62.960.272 ; 3.202 ; 75.099.578 ; 7.720 ; 187.415.615 ; 369 ; 91.441.174 ; 117 ; 43.904.454 ; 486 ; 135.345.628 ; 8.206 ; 322.761.243 ;
51;61.024.352;BANCO VOITER S.A.;BANCO MASTER - PRUDENCIAL; 34 ; 44.360.970 ; 325 ; 31.256.575 ; 131 ; 84.400.020 ; 802 ; 44.285.282 ; 1.292 ; 204.302.847 ; 69 ; 36.134.930 ; 79 ; 75.884.076 ; 148 ; 112.019.006 ; 1.440 ; 316.321.853 ;
52;01.181.521;BANCO COOPERATIVO SICREDI S.A.;BCO COOPERATIVO SICREDI - PRUDENCIAL; 1.169 ; 60.900.955 ; 1.206 ; 47.787.863 ; 1.062 ; 73.388.722 ; 452 ; 29.357.973 ; 3.889 ; 211.435.513 ; 24 ; 12.972.616 ; 22 ; 74.895.591 ; 46 ; 87.868.207 ; 3.935 ; 299.303.720 ;
53;62.144.175;BANCO PINE S.A.;PINE - PRUDENCIAL; 49 ; 39.373.190 ; 215 ; 26.076.849 ; 28 ; 73.553.360 ; 415 ; 23.545.529 ; 707 ; 162.548.928 ; 18 ; 25.755.592 ; 14 ; 82.147.805 ; 32 ; 107.903.397 ; 739 ; 270.452.325 ;
