Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Out/2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
44;30.723.886;BANCO MODAL S.A.; 91 ; 42.588.525 ; 538 ; 66.705.102 ; 1.326 ; 1.214.591.091 ; 1.258 ; 565.677.538 ; 3.213 ; 1.889.562.256 ; 144 ; 584.341.020 ; 156 ; 1.209.486.998 ; 300 ; 1.793.828.017 ; 3.513 ; 3.683.390.274 ;;;;
45;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 416 ; 474.278.258 ; 1.975 ; 214.024.151 ; 107 ; 189.731.389 ; 1.827 ; 783.755.675 ; 4.325 ; 1.661.789.474 ; 276 ; 1.103.303.577 ; 219 ; 879.825.699 ; 495 ; 1.983.129.276 ; 4.820 ; 3.644.918.750 ;;;;
46;03.609.817;BANCO CARGILL S.A.; 174 ; 261.015.530 ; 19 ; 11.513.986 ; 36 ; 95.647.420 ; 292 ; 61.412.923 ; 521 ; 429.589.859 ; 26 ; 999.000.000 ; 37 ; 1.283.250.000 ; 63 ; 2.282.250.000 ; 584 ; 2.711.839.859 ;;;;
47;07.679.404;BANCO TOPÁZIO S.A.; 79 ; 15.984.289 ; 27 ; 778.367 ; 2.454 ; 25.609.966 ; 4.025 ; 1.313.267.287 ; 6.585 ; 1.355.639.909 ; 4.124 ; 1.286.907.479 ; 53 ; 14.479.891 ; 4.177 ; 1.301.387.370 ; 10.762 ; 2.657.027.280 ;;;;
48;00.997.185;BANCO B3 S.A.;;;;; 1.404 ; 729.411.086 ; 1.420 ; 1.077.716.286 ; 2.824 ; 1.807.127.371 ; 441 ; 518.610.576 ; 263 ; 170.335.699 ; 704 ; 688.946.275 ; 3.528 ; 2.496.073.647 ;;;;
49;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 1.779 ; 35.168.462 ; 7.272 ; 172.505.413 ; 42.130 ; 209.923.628 ; 32.560 ; 505.757.287 ; 83.741 ; 923.354.790 ; 27.944 ; 901.968.328 ; 2.769 ; 468.421.972 ; 30.713 ; 1.370.390.300 ; 114.454 ; 2.293.745.090 ;;;;
50;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 256 ; 361.436.088 ; 231 ; 794.090.302 ; 487 ; 1.155.526.390 ; 158 ; 779.452.605 ; 150 ; 346.983.706 ; 308 ; 1.126.436.311 ; 795 ; 2.281.962.701 ;;;;
51;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 7.865 ; 523.840.495 ; 11.799 ; 452.898.012 ; 4.446 ; 115.894.460 ; 12.433 ; 344.034.699 ; 36.543 ; 1.436.667.666 ; 350 ; 384.220.372 ; 264 ; 214.556.013 ; 614 ; 598.776.385 ; 37.157 ; 2.035.444.051 ;;;;
52;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 127 ; 184.295.083 ; 499 ; 285.757.608 ; 97 ; 30.387.814 ; 507 ; 236.141.551 ; 1.230 ; 736.582.056 ; 198 ; 748.810.337 ; 178 ; 486.870.192 ; 376 ; 1.235.680.529 ; 1.606 ; 1.972.262.585 ;;;;
53;45.246.410;PLURAL S.A. BANCO MÚLTIPLO; 94 ; 9.182.762 ; 318 ; 46.372.224 ; 1.629 ; 198.464.462 ; 4.531 ; 861.890.949 ; 6.572 ; 1.115.910.397 ; 635 ; 771.283.932 ; 93 ; 70.865.704 ; 728 ; 842.149.636 ; 7.300 ; 1.958.060.033 ;;;;
54;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 32 ; 350.297.356 ;;; 22 ; 8.579.046 ; 151 ; 26.800.338 ; 205 ; 385.676.739 ; 71 ; 518.267.689 ; 91 ; 848.391.903 ; 162 ; 1.366.659.592 ; 367 ; 1.752.336.332 ;;;;
55;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; 131 ; 11.528.806 ; 207 ; 4.380.253 ; 99 ; 10.789.856 ; 494 ; 471.561.729 ; 931 ; 498.260.644 ; 114 ; 825.138.184 ; 65 ; 377.138.320 ; 179 ; 1.202.276.505 ; 1.110 ; 1.700.537.148 ;;;;
56;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 2.001 ; 42.709.116 ; 17.548 ; 272.584.440 ; 17.835 ; 140.528.752 ; 43.761 ; 309.810.640 ; 81.145 ; 765.632.948 ; 6.480 ; 658.241.368 ; 2.042 ; 259.029.272 ; 8.522 ; 917.270.640 ; 89.667 ; 1.682.903.588 ;;;;
57;15.114.366;BANCO BOCOM BBM S.A.; 216 ; 185.967.849 ; 83 ; 6.969.632 ; 230 ; 459.535.920 ; 1.109 ; 371.537.101 ; 1.638 ; 1.024.010.502 ; 47 ; 185.824.027 ; 55 ; 435.820.000 ; 102 ; 621.644.026 ; 1.740 ; 1.645.654.529 ;;;;
58;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 15 ; 117.430 ; 87 ; 1.128.781 ; 8.685 ; 387.961.132 ; 132.664 ; 659.434.157 ; 141.451 ; 1.048.641.500 ; 3.326 ; 402.225.855 ; 5.385 ; 135.010.843 ; 8.711 ; 537.236.698 ; 150.162 ; 1.585.878.198 ;;;;
59;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 107 ; 21.413.880 ; 208 ; 13.388.765 ; 21.070 ; 675.451.190 ; 1.547 ; 73.778.547 ; 22.932 ; 784.032.382 ; 464 ; 58.435.857 ; 1.401 ; 668.133.544 ; 1.865 ; 726.569.401 ; 24.797 ; 1.510.601.783 ;;;;
60;07.237.373;BANCO DO NORDESTE DO BRASIL S.A.; 262 ; 211.597.374 ; 376 ; 22.691.231 ; 172 ; 4.986.522 ; 268 ; 347.765.032 ; 1.078 ; 587.040.159 ; 153 ; 378.342.219 ; 173 ; 223.827.209 ; 326 ; 602.169.428 ; 1.404 ; 1.189.209.586 ;;;;
61;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 403 ; 6.733.760 ; 2.516 ; 31.648.162 ; 14.329 ; 101.818.642 ; 42.639 ; 528.012.682 ; 59.887 ; 668.213.245 ; 8.453 ; 452.438.396 ; 56 ; 1.460.985 ; 8.509 ; 453.899.381 ; 68.396 ; 1.122.112.625 ;;;;
62;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 8.191 ; 87.299.721 ; 34.574 ; 538.575.344 ; 42.765 ; 625.875.066 ; 29.095 ; 459.646.339 ; 208 ; 5.128.934 ; 29.303 ; 464.775.273 ; 72.068 ; 1.090.650.338 ;;;;
63;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 431 ; 357.999.906 ; 1.846 ; 100.680.243 ; 711 ; 19.513.546 ; 723 ; 74.634.517 ; 3.711 ; 552.828.212 ; 846 ; 138.036.080 ; 363 ; 375.139.890 ; 1.209 ; 513.175.970 ; 4.920 ; 1.066.004.182 ;;;;
64;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 1.036 ; 16.854.314 ; 12.003 ; 250.874.646 ; 6.015 ; 77.591.809 ; 21.165 ; 213.412.011 ; 40.219 ; 558.732.780 ; 14.080 ; 430.093.516 ; 370 ; 60.373.568 ; 14.450 ; 490.467.084 ; 54.669 ; 1.049.199.864 ;;;;
65;92.894.922;BANCO ORIGINAL S.A.; 150 ; 291.465.960 ; 158 ; 18.773.597 ; 509 ; 9.422.834 ; 1.753 ; 104.891.519 ; 2.570 ; 424.553.910 ; 49 ; 281.255.023 ; 60 ; 333.604.603 ; 109 ; 614.859.626 ; 2.679 ; 1.039.413.536 ;;;;
66;59.118.133;BANCO LUSO BRASILEIRO S.A.; 426 ; 44.954.938 ; 2.755 ; 269.808.383 ; 507 ; 77.845.619 ; 1.543 ; 70.350.644 ; 5.231 ; 462.959.583 ; 2.417 ; 367.919.048 ; 822 ; 148.863.697 ; 3.239 ; 516.782.745 ; 8.470 ; 979.742.328 ;;;;
67;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 126 ; 146.365.952 ; 191 ; 24.131.059 ; 142 ; 186.787.070 ; 564 ; 76.766.706 ; 1.023 ; 434.050.787 ; 132 ; 95.390.780 ; 150 ; 427.746.065 ; 282 ; 523.136.845 ; 1.305 ; 957.187.632 ;;;;
