Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Jun/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
41;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 4.475 ; 575.011.937 ; 7.496 ; 464.426.221 ; 2.122 ; 174.082.312 ; 9.051 ; 153.974.213 ; 23.144 ; 1.367.494.683 ; 193 ; 321.891.820 ; 199 ; 450.254.885 ; 392,0 ; 772.146.706 ; 23.536 ; 2.139.641.388 ;
42;52.937.216;BEXS CORRETORA DE C∂MBIO S/A; 1 ; 86.030 ;;; 1.425 ; 7.127.994 ; 18.413 ; 148.756.194 ; 19.839 ; 155.970.218 ; 3.981 ; 1.004.396.281 ; 1.023 ; 862.862.474 ; 5.004,0 ; 1.867.258.755 ; 24.843 ; 2.023.228.973 ;
43;73.622.748;B & T ASSOCIADOS CORRETORA DE C∂MBIO LTDA.; 228 ; 6.847.148 ; 2.611 ; 68.416.709 ; 3.223 ; 32.571.124 ; 9.430 ; 564.575.066 ; 15.492 ; 672.410.047 ; 18.604 ; 871.056.102 ; 885 ; 277.501.256 ; 19.489,0 ; 1.148.557.359 ; 34.981 ; 1.820.967.406 ;
44;71.027.866;BANCO BONSUCESSO S.A.;;; 2 ; 16.380 ; 262 ; 1.987.692 ; 1.049 ; 24.050.565 ; 1.313 ; 26.054.637 ; 743 ; 881.630.427 ; 2.506 ; 859.252.816 ; 3.249,0 ; 1.740.883.243 ; 4.562 ; 1.766.937.880 ;
45;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 920 ; 453.150.824 ; 1.180 ; 160.861.235 ; 337 ; 95.543.972 ; 1.559 ; 234.691.249 ; 3.996 ; 944.247.279 ; 187 ; 367.733.838 ; 191 ; 433.737.528 ; 378,0 ; 801.471.366 ; 4.374 ; 1.745.718.644 ;
46;04.913.129;CONFIDENCE CORRETORA DE C∂MBIO S.A.; 4 ; 16.187 ; 11 ; 27.754 ; 6.680 ; 66.040.220 ; 32.269 ; 480.536.709 ; 38.964 ; 546.620.871 ; 12.707 ; 654.732.052 ; 775 ; 239.473.717 ; 13.482,0 ; 894.205.769 ; 52.446 ; 1.440.826.640 ;
47;62.144.175;BANCO PINE S.A.; 85 ; 282.935.825 ; 306 ; 134.651.216 ; 46 ; 126.333.558 ; 444 ; 181.336.956 ; 881 ; 725.257.555 ; 26 ; 259.507.133 ; 27 ; 442.495.076 ; 53,0 ; 702.002.208 ; 934 ; 1.427.259.763 ;
48;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.; 39 ; 2.246.998 ; 146 ; 3.220.041 ; 196 ; 38.921.488 ; 661 ; 48.260.350 ; 1.042 ; 92.648.877 ; 327 ; 647.757.182 ; 385 ; 640.312.085 ; 712,0 ; 1.288.069.267 ; 1.754 ; 1.380.718.144 ;
49;33.923.798;BANCO MµXIMA S.A.; 225 ; 6.499.712 ; 1.908 ; 82.656.414 ; 363 ; 91.029.194 ; 1.547 ; 130.503.694 ; 4.043 ; 310.689.014 ; 1.485 ; 573.297.678 ; 7.195 ; 455.045.340 ; 8.680,0 ; 1.028.343.017 ; 12.723 ; 1.339.032.031 ;
50;78.632.767;BANCO OURINVEST S.A.; 7 ; 39.052.695 ; 113 ; 11.615.965 ; 803 ; 15.636.875 ; 2.812 ; 51.893.117 ; 3.735 ; 118.198.651 ; 1.262 ; 600.804.363 ; 15.002 ; 597.265.002 ; 16.264,0 ; 1.198.069.365 ; 19.999 ; 1.316.268.016 ;
51;74.451.022;TOV CORRETORA DE C∂MBIO, T÷TULOS E VALORES MOBILIµRIOS LTDA; 171 ; 5.729.092 ; 8.359 ; 404.855.974 ; 2.025 ; 20.995.081 ; 15.842 ; 224.663.549 ; 26.397 ; 656.243.696 ; 6.798 ; 619.000.144 ; 169 ; 16.640.593 ; 6.967,0 ; 635.640.737 ; 33.364 ; 1.291.884.433 ;
52;58.616.418;BANCO FIBRA S.A.; 381 ; 89.220.523 ; 1.069 ; 79.853.090 ; 551 ; 207.039.198 ; 1.370 ; 364.722.976 ; 3.371 ; 740.835.788 ; 231 ; 442.157.247 ; 140 ; 104.164.135 ; 371,0 ; 546.321.382 ; 3.742 ; 1.287.157.170 ;
53;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÈLTIPLO; 38 ; 211.636.139 ; 63 ; 127.859.455 ; 34 ; 236.968.607 ; 244 ; 11.034.183 ; 379 ; 587.498.385 ; 37 ; 152.365.731 ; 58 ; 451.338.803 ; 95,0 ; 603.704.534 ; 474 ; 1.191.202.919 ;
54;02.992.317;TREVISO CORRETORA DE C∂MBIO S.A.; 40 ; 491.120 ; 586 ; 16.380.929 ; 2.359 ; 19.284.050 ; 11.122 ; 197.319.927 ; 14.107 ; 233.476.027 ; 10.552 ; 555.129.642 ; 1.905 ; 362.060.640 ; 12.457,0 ; 917.190.282 ; 26.564 ; 1.150.666.309 ;
55;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 74 ; 1.897.451 ; 524 ; 7.603.554 ; 5.884 ; 64.513.352 ; 37.774 ; 502.690.613 ; 44.256 ; 576.704.971 ; 4.329 ; 444.864.987 ; 31 ; 766.276 ; 4.360,0 ; 445.631.263 ; 48.616 ; 1.022.336.234 ;
56;30.723.886;BANCO MODAL S.A.; 52 ; 14.456.384 ; 411 ; 44.801.907 ; 64 ; 257.811.788 ; 285 ; 42.669.701 ; 812 ; 359.739.780 ; 86 ; 237.978.391 ; 90 ; 420.379.319 ; 176,0 ; 658.357.710 ; 988 ; 1.018.097.490 ;
57;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS; 27 ; 883.905 ; 6.054 ; 454.922.992 ; 1.617 ; 7.273.504 ; 19.942 ; 43.066.696 ; 27.640 ; 506.147.097 ; 4.548 ; 496.012.312 ; 154 ; 6.056.042 ; 4.702,0 ; 502.068.353 ; 32.342 ; 1.008.215.450 ;
58;03.512.293;FITTA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.; 21 ; 660.550 ; 71 ; 1.182.007 ; 1.105 ; 13.761.059 ; 3.682 ; 74.767.240 ; 4.879 ; 90.370.856 ; 6.735 ; 456.691.197 ; 1.544 ; 396.041.672 ; 8.279,0 ; 852.732.870 ; 13.158 ; 943.103.726 ;
59;61.186.680;BANCO BMG S.A.; 7 ; 21.300.000 ;;; 3 ; 285.507 ; 58 ; 416.813.117 ; 68 ; 438.398.624 ; 23 ; 429.058.215 ; 8 ; 46.300.000 ; 31,0 ; 475.358.215 ; 99 ; 913.756.839 ;
60;17.453.575;ICBC DO BRASIL BANCO MÈLTIPLO S.A.; 34 ; 109.000.000 ; 10 ; 36.500.866 ; 29 ; 324.477.319 ; 28 ; 2.527.640 ; 101 ; 472.505.825 ; 5 ; 5.801.000 ; 51 ; 415.111.000 ; 56,0 ; 420.912.000 ; 157 ; 893.417.825 ;
61;03.609.817;BANCO CARGILL S.A.; 47 ; 360.732.873 ; 49 ; 39.168.038 ; 10 ; 12.469.816 ; 74 ; 39.048.005 ; 180 ; 451.418.731 ; 20 ; 69.925.000 ; 35 ; 354.250.000 ; 55,0 ; 424.175.000 ; 235 ; 875.593.731 ;
62;16.944.141;BROKER BRASIL CORRETORA DE C∂MBIO LTDA.; 3 ; 7.767 ; 853 ; 27.479.972 ; 836 ; 4.447.736 ; 5.984 ; 355.862.021 ; 7.676 ; 387.797.495 ; 5.587 ; 425.612.944 ; 484 ; 46.706.346 ; 6.071,0 ; 472.319.290 ; 13.747 ; 860.116.785 ;
63;17.184.037;BANCO MERCANTIL DO BRASIL S.A.; 46 ; 15.205.755 ; 161 ; 9.992.918 ; 199 ; 6.348.687 ; 633 ; 39.005.991 ; 1.039 ; 70.553.351 ; 425 ; 347.381.865 ; 230 ; 320.320.822 ; 655,0 ; 667.702.686 ; 1.694 ; 738.256.037 ;
64;92.856.905;ADVANCED CORRETORA DE C∂MBIO LTDA; 459 ; 12.259.231 ; 6.904 ; 218.089.215 ; 3.780 ; 51.561.918 ; 14.137 ; 134.459.345 ; 25.280 ; 416.369.709 ; 3.126 ; 303.573.919 ; 300 ; 13.913.160 ; 3.426,0 ; 317.487.080 ; 28.706 ; 733.856.789 ;
65;92.894.922;BANCO ORIGINAL S.A.; 38 ; 261.039.055 ; 50 ; 25.174.244 ; 2 ; 5.001.000 ; 107 ; 22.958.152 ; 197 ; 314.172.452 ; 26 ; 82.375.814 ; 31 ; 274.541.071 ; 57,0 ; 356.916.886 ; 254 ; 671.089.337 ;
66;61.024.352;BANCO INDUSVAL S.A.; 391 ; 172.103.305 ; 222 ; 29.188.486 ; 105 ; 2.232.838 ; 511 ; 49.746.678 ; 1.229 ; 253.271.308 ; 172 ; 151.928.533 ; 280 ; 212.876.567 ; 452,0 ; 364.805.100 ; 1.681 ; 618.076.408 ;
67;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 260 ; 5.313.025 ; 5.170 ; 138.058.960 ; 3.439 ; 53.242.809 ; 14.161 ; 166.887.122 ; 23.030 ; 363.501.916 ; 2.147 ; 248.737.457 ; 22 ; 2.194.443 ; 2.169,0 ; 250.931.900 ; 25.199 ; 614.433.816 ;
