Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Abr/2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
45;33.923.798;BANCO MÁXIMA S.A.; 173 ; 151.742.256 ; 524 ; 25.522.194 ; 2.706 ; 66.046.394 ; 41.926 ; 439.999.295 ; 45.329 ; 683.310.140 ; 177 ; 345.570.727 ; 48 ; 107.960.744 ; 225 ; 453.531.472 ; 45.554 ; 1.136.841.612 ;;;;
46;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 25 ; 2.459.565 ; 155 ; 28.884.522 ; 651 ; 90.238.893 ; 2.060 ; 494.571.653 ; 2.891 ; 616.154.632 ; 297 ; 456.775.578 ; 41 ; 26.122.184 ; 338 ; 482.897.762 ; 3.229 ; 1.099.052.395 ;;;;
47;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 12 ; 188.446.429 ;;; 10 ; 3.679.276 ; 57 ; 2.816.628 ; 79 ; 194.942.334 ; 25 ; 240.089.289 ; 35 ; 429.452.236 ; 60 ; 669.541.525 ; 139 ; 864.483.858 ;;;;
48;03.609.817;BANCO CARGILL S.A.; 68 ; 79.077.094 ; 12 ; 4.904.211 ; 16 ; 16.915.051 ; 133 ; 39.160.857 ; 229 ; 140.057.213 ; 9 ; 295.000.000 ; 11 ; 426.500.000 ; 20 ; 721.500.000 ; 249 ; 861.557.213 ;;;;
49;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 3.135 ; 219.459.863 ; 4.188 ; 181.292.970 ; 1.697 ; 58.568.521 ; 4.783 ; 137.457.255 ; 13.803 ; 596.778.608 ; 123 ; 147.678.643 ; 93 ; 105.984.522 ; 216 ; 253.663.165 ; 14.019 ; 850.441.773 ;;;;
50;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 649 ; 13.302.249 ; 2.677 ; 67.044.913 ; 7.326 ; 75.655.848 ; 12.224 ; 197.811.157 ; 22.876 ; 353.814.167 ; 10.563 ; 318.417.594 ; 994 ; 142.394.707 ; 11.557 ; 460.812.301 ; 34.433 ; 814.626.468 ;;;;
51;15.114.366;BANCO BOCOM BBM S.A.; 78 ; 70.957.907 ; 49 ; 2.096.181 ; 91 ; 252.448.712 ; 380 ; 173.025.996 ; 598 ; 498.528.796 ; 16 ; 71.555.321 ; 21 ; 171.554.307 ; 37 ; 243.109.628 ; 635 ; 741.638.424 ;;;;
52;07.237.373;BANCO DO NORDESTE DO BRASIL S.A.; 105 ; 38.195.866 ; 124 ; 5.769.588 ; 63 ; 1.278.424 ; 100 ; 323.428.704 ; 392 ; 368.672.582 ; 50 ; 329.442.213 ; 64 ; 39.570.253 ; 114 ; 369.012.466 ; 506 ; 737.685.048 ;;;;
53;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 101 ; 160.832.403 ; 77 ; 215.201.947 ; 178 ; 376.034.350 ; 58 ; 203.524.362 ; 65 ; 149.011.286 ; 123 ; 352.535.648 ; 301 ; 728.569.999 ;;;;
54;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 46 ; 12.075.639 ; 69 ; 3.836.738 ; 7.649 ; 310.928.304 ; 558 ; 37.694.679 ; 8.322 ; 364.535.361 ; 144 ; 30.667.520 ; 503 ; 312.140.348 ; 647 ; 342.807.868 ; 8.969 ; 707.343.229 ;;;;
