Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Novembro/2024;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
40;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;UBS (BRASIL) - PRUDENCIAL; -   ; -   ; -   ; -   ; 879 ; 2.584.363.539 ; 1.290 ; 3.395.780.492 ; 2.169 ; 5.980.144.031 ; 131 ; 1.778.887.083 ; 108 ; 908.867.433 ; 239 ; 2.687.754.516 ; 2.408 ; 8.667.898.547 ;
41;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL; 1.753 ; 823.160.197 ; 6.640 ; 921.388.994 ; 3.396 ; 1.437.605.827 ; 4.861 ; 855.361.834 ; 16.650 ; 4.037.516.852 ; 643 ; 1.799.831.790 ; 642 ; 2.232.995.638 ; 1.285 ; 4.032.827.428 ; 17.935 ; 8.070.344.280 ;
42;07.450.604;BANK OF CHINA (BRASIL) BANCO MÚLTIPLO S/A;BANK OF CHINA (BRASIL) - PRUDENCIAL; 491 ; 627.088.425 ; 1.430 ; 249.321.978 ; 270 ; 2.074.677.003 ; 1.396 ; 2.187.383.201 ; 3.587 ; 5.138.470.607 ; 432 ; 1.101.171.847 ; 359 ; 1.371.416.090 ; 791 ; 2.472.587.937 ; 4.378 ; 7.611.058.544 ;
43;00.997.185;BANCO B3 S.A.;BANCO B3 - PRUDENCIAL; -   ; -   ; -   ; -   ; 2.037 ; 2.411.470.794 ; 1.625 ; 2.554.526.937 ; 3.662 ; 4.965.997.731 ; 327 ; 1.145.559.520 ; 502 ; 1.002.480.119 ; 829 ; 2.148.039.639 ; 4.491 ; 7.114.037.370 ;
44;28.811.341;STONEX BANCO DE CÂMBIO S.A.;STONEX DTVM - PRUDENCIAL; 986 ; 143.456.993 ; 848 ; 51.440.855 ; 52.214 ; 2.740.713.613 ; 3.070 ; 295.315.199 ; 57.118 ; 3.230.926.660 ; 1.126 ; 322.108.848 ; 2.482 ; 2.859.536.830 ; 3.608 ; 3.181.645.678 ; 60.726 ; 6.412.572.338 ;
45;07.656.500;BANCO KDB DO BRASIL S.A.;BCO KDB BRASIL S.A. - PRUDENCIAL; 3 ; 30.000.000 ; 8 ; 4.772.301 ; 1.613 ; 1.418.193.441 ; 2.836 ; 768.054.551 ; 4.460 ; 2.221.020.293 ; 401 ; 1.547.579.097 ; 951 ; 2.265.637.100 ; 1.352 ; 3.813.216.197 ; 5.812 ; 6.034.236.490 ;
46;10.690.848;BANCO DA CHINA BRASIL S.A.;BANK OF CHINA (BRASIL) - PRUDENCIAL; 347 ; 812.811.742 ; 216 ; 53.053.995 ; 1.200 ; 480.808.460 ; 826 ; 274.177.264 ; 2.589 ; 1.620.851.461 ; 647 ; 1.197.454.975 ; 865 ; 2.163.787.029 ; 1.512 ; 3.361.242.004 ; 4.101 ; 4.982.093.465 ;
47;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;BANRISUL - PRUDENCIAL; 6.328 ; 1.703.580.872 ; 7.890 ; 515.523.958 ; 3.801 ; 376.401.300 ; 4.392 ; 139.599.925 ; 22.411 ; 2.735.106.055 ; 223 ; 289.858.678 ; 806 ; 1.718.515.618 ; 1.029 ; 2.008.374.296 ; 23.440 ; 4.743.480.351 ;
48;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;BNDES - PRUDENCIAL; 404 ; 667.431.499 ; -   ; -   ; 436 ; 149.318.068 ; 25 ; 1.063.617 ; 865 ; 817.813.184 ; 16 ; 1.291.116.906 ; 84 ; 2.454.213.878 ; 100 ; 3.745.330.784 ; 965 ; 4.563.143.968 ;
49;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA;ADVANCED CC LTDA - PRUDENCIAL; 2.336 ; 83.804.283 ; 27.589 ; 465.495.741 ; 22.067 ; 728.205.687 ; 36.618 ; 894.510.088 ; 88.610 ; 2.172.015.799 ; 4.128 ; 1.094.150.852 ; 1.140 ; 547.407.263 ; 5.268 ; 1.641.558.115 ; 93.878 ; 3.813.573.914 ;
