Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Abr/2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
58;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 296 ; 10.385.754 ; 4.321 ; 124.765.760 ; 3.400 ; 51.618.807 ; 10.644 ; 84.411.268 ; 18.661 ; 271.181.589 ; 3.031 ; 159.431.875 ; 344 ; 12.428.642 ; 3.375 ; 171.860.517 ; 22.036 ; 443.042.107 ;;;;
59;58.616.418;BANCO FIBRA S.A.; 319 ; 24.301.456 ; 1.088 ; 76.091.279 ; 325 ; 39.266.774 ; 846 ; 71.337.783 ; 2.578 ; 210.997.293 ; 160 ; 169.311.356 ; 117 ; 48.044.443 ; 277 ; 217.355.799 ; 2.855 ; 428.353.092 ;;;;
60;30.723.886;BANCO MODAL S.A.; 53 ; 7.568.287 ; 193 ; 26.241.620 ; 67 ; 47.097.704 ; 215 ; 60.402.385 ; 528 ; 141.309.997 ; 79 ; 160.154.914 ; 67 ; 122.869.750 ; 146 ; 283.024.664 ; 674 ; 424.334.661 ;;;;
61;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 202 ; 8.444.680 ; 3.829 ; 148.989.319 ; 1.526 ; 27.281.570 ; 3.981 ; 49.783.014 ; 9.538 ; 234.498.584 ; 1.063 ; 174.110.212 ; 53 ; 10.966.720 ; 1.116 ; 185.076.932 ; 10.654 ; 419.575.516 ;;;;
62;59.118.133;BANCO LUSO BRASILEIRO S.A.; 31 ; 7.564.028 ; 1.627 ; 166.564.620 ; 22 ; 31.534.812 ; 422 ; 21.944.365 ; 2.102 ; 227.607.826 ; 776 ; 160.478.198 ; 42 ; 10.980.587 ; 818 ; 171.458.785 ; 2.920 ; 399.066.610 ;;;;
63;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 3 ; 41.105 ; 185 ; 136.058.250 ; 78 ; 21.314.607 ; 959 ; 45.407.308 ; 1.225 ; 202.821.271 ; 148 ; 170.860.000 ; 9 ; 10.850.000 ; 157 ; 181.710.000 ; 1.382 ; 384.531.271 ;;;;
64;61.024.352;BANCO INDUSVAL S.A.; 185 ; 58.790.444 ; 138 ; 19.651.913 ; 66 ; 4.807.416 ; 329 ; 24.867.024 ; 718 ; 108.116.798 ; 139 ; 114.980.705 ; 177 ; 158.984.757 ; 316 ; 273.965.462 ; 1.034 ; 382.082.260 ;;;;
65;62.144.175;BANCO PINE S.A.; 19 ; 44.292.929 ; 51 ; 33.735.466 ; 23 ; 32.341.330 ; 245 ; 124.533.432 ; 338 ; 234.903.156 ; 8 ; 80.000.000 ; 2 ; 45.000.000 ; 10 ; 125.000.000 ; 348 ; 359.903.156 ;;;;
66;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.; 37 ; 1.377.539 ; 79 ; 1.402.146 ; 98 ; 129.114.944 ; 537 ; 150.289.390 ; 751 ; 282.184.019 ; 35 ; 46.453.229 ; 19 ; 30.476.334 ; 54 ; 76.929.562 ; 805 ; 359.113.581 ;;;;
67;28.127.603;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO; 2.250 ; 114.138.109 ; 984 ; 44.560.899 ; 532 ; 21.070.030 ; 1.296 ; 13.315.948 ; 5.062 ; 193.084.985 ; 90 ; 42.363.276 ; 290 ; 118.005.713 ; 380 ; 160.368.988 ; 5.442 ; 353.453.974 ;;;;
