Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mar/2021;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
48;02.318.507;BANCO KEB HANA DO BRASIL S.A.; 3 ; 6.464.015 ; 65 ; 18.903.732 ; 141 ; 28.921.985 ; 228 ; 278.947.782 ; 437 ; 333.237.514 ; 91 ; 443.413.443 ; 21 ; 180.955.766 ; 112 ; 624.369.209 ; 549 ; 957.606.723 ;
49;62.144.175;BANCO PINE S.A.; 82 ; 41.054.785 ; 853 ; 85.295.168 ; 13 ; 15.070.203 ; 165 ; 34.009.648 ; 1.113 ; 175.429.805 ; 73 ; 422.830.700 ; 260 ; 338.452.214 ; 333 ; 761.282.914 ; 1.446 ; 936.712.719 ;
50;15.114.366;BANCO BOCOM BBM S.A.; 45 ; 39.582.433 ; 84 ; 22.714.519 ; 73 ; 179.367.415 ; 450 ; 148.460.751 ; 652 ; 390.125.118 ; 15 ; 114.827.465 ; 38 ; 369.816.164 ; 53 ; 484.643.629 ; 705 ; 874.768.747 ;
51;00.360.305;CAIXA ECONOMICA FEDERAL; 348 ; 97.171.019 ; 207 ; 11.188.950 ; 25.292 ; 104.013.880 ; 1.329 ; 108.357.809 ; 27.176 ; 320.731.658 ; 527 ; 187.263.835 ; 599 ; 246.320.057 ; 1.126 ; 433.583.892 ; 28.302 ; 754.315.550 ;
52;10.690.848;BANCO DA CHINA BRASIL S.A.; 42 ; 81.092.941 ; 55 ; 12.436.354 ; 56 ; 197.542.877 ; 154 ; 84.691.561 ; 307 ; 375.763.734 ; 85 ; 95.040.657 ; 114 ; 276.506.900 ; 199 ; 371.547.557 ; 506 ; 747.311.291 ;
53;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 719 ; 18.600.134 ; 5.395 ; 112.755.569 ; 4.905 ; 70.426.651 ; 9.593 ; 104.073.706 ; 20.612 ; 305.856.060 ; 1.445 ; 182.943.203 ; 349 ; 55.040.916 ; 1.794 ; 237.984.119 ; 22.406 ; 543.840.178 ;
54;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 55 ; 7.798.873 ; 101 ; 5.020.177 ; 9.493 ; 246.745.416 ; 590 ; 14.609.071 ; 10.239 ; 274.173.537 ; 157 ; 8.560.846 ; 463 ; 243.475.567 ; 620 ; 252.036.413 ; 10.859 ; 526.209.951 ;
55;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 607 ; 13.266.234 ; 2.792 ; 79.986.706 ; 13.843 ; 84.437.042 ; 7.718 ; 100.612.650 ; 24.960 ; 278.302.632 ; 1.584 ; 158.584.175 ; 870 ; 75.692.052 ; 2.454 ; 234.276.227 ; 27.414 ; 512.578.860 ;
56;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 2.055 ; 135.428.522 ; 1.745 ; 86.127.129 ; 1.154 ; 19.210.287 ; 1.263 ; 92.022.279 ; 6.217 ; 332.788.217 ; 49 ; 86.346.041 ; 50 ; 63.331.954 ; 99 ; 149.677.996 ; 6.316 ; 482.466.213 ;
57;03.609.817;BANCO CARGILL S.A.; 86 ; 103.990.097 ; 1 ; 19.588 ; 14 ; 6.170.750 ; 89 ; 27.783.011 ; 190 ; 137.963.447 ; 3 ; 110.000.000 ; 6 ; 185.000.000 ; 9 ; 295.000.000 ; 199 ; 432.963.447 ;
58;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 2.372 ; 147.605.580 ; 1.872 ; 122.417.966 ; 1.456 ; 31.581.116 ; 990 ; 28.119.809 ; 6.690 ; 329.724.471 ; 40 ; 28.122.502 ; 25 ; 57.943.276 ; 65 ; 86.065.777 ; 6.755 ; 415.790.248 ;
59;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 73 ; 102.130.158 ; 110 ; 20.602.672 ; 161 ; 45.065.688 ; 173 ; 53.399.700 ; 517 ; 221.198.218 ; 95 ; 46.248.542 ; 75 ; 125.370.582 ; 170 ; 171.619.124 ; 687 ; 392.817.342 ;
60;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 12 ; 3.753.174 ; 215 ; 7.079.595 ; 459 ; 53.804.460 ; 1.740 ; 99.896.941 ; 2.426 ; 164.534.170 ; 499 ; 120.028.663 ; 242 ; 70.562.919 ; 741 ; 190.591.582 ; 3.167 ; 355.125.751 ;
61;30.723.886;BANCO MODAL S.A.; 3 ; 98.968 ; 67 ; 10.466.304 ; 377 ; 142.945.294 ; 298 ; 41.197.089 ; 745 ; 194.707.654 ; 15 ; 32.060.605 ; 18 ; 122.552.370 ; 33 ; 154.612.974 ; 778 ; 349.320.629 ;
62;59.118.133;BANCO LUSO BRASILEIRO S.A.; 213 ; 20.822.268 ; 780 ; 88.544.652 ; 106 ; 30.558.296 ; 524 ; 22.946.928 ; 1.623 ; 162.872.143 ; 715 ; 115.034.602 ; 286 ; 54.914.739 ; 1.001 ; 169.949.341 ; 2.624 ; 332.821.484 ;
63;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 82 ; 56.058.083 ; 394 ; 51.491.694 ; 36 ; 10.012.478 ; 146 ; 27.192.201 ; 658 ; 144.754.456 ; 71 ; 90.670.654 ; 70 ; 75.721.709 ; 141 ; 166.392.363 ; 799 ; 311.146.819 ;
64;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 8 ; 28.340.359 ; 300 ; 39.266.251 ; 6 ; 31.912.995 ; 236 ; 28.820.111 ; 550 ; 128.339.716 ; 26 ; 85.188.705 ; 10 ; 78.294.390 ; 36 ; 163.483.095 ; 586 ; 291.822.811 ;
65;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 19 ; 42.567.455 ; 30 ; 1.746.958 ; 42 ; 69.455.356 ; 148 ; 1.284.473 ; 239 ; 115.054.242 ; 7 ; 1.785.799 ; 20 ; 160.641.730 ; 27 ; 162.427.529 ; 266 ; 277.481.771 ;
66;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 349 ; 6.928.512 ; 2.903 ; 76.446.957 ; 1.541 ; 30.146.128 ; 2.918 ; 36.174.929 ; 7.711 ; 149.696.526 ; 1.439 ; 96.728.166 ; 183 ; 21.169.435 ; 1.622 ; 117.897.601 ; 9.333 ; 267.594.127 ;
67;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 6 ; 35.822.355 ; 31 ; 51.089.292 ; 20 ; 5.014.426 ; 44 ; 1.379.273 ; 101 ; 93.305.345 ; 6 ; 63.141.701 ; 7 ; 105.161.660 ; 13 ; 168.303.361 ; 114 ; 261.608.706 ;
68;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 434 ; 9.430.713 ; 3.673 ; 86.624.010 ; 997 ; 16.864.716 ; 3.049 ; 35.316.920 ; 8.153 ; 148.236.360 ; 1.393 ; 104.513.172 ; 138 ; 8.845.052 ; 1.531 ; 113.358.223 ; 9.684 ; 261.594.583 ;
