Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Ago/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
36;71.027.866;BANCO BONSUCESSO S.A.; 387 ; 54.244.570 ; 1.616 ; 80.480.289 ; 3.805 ; 514.862.966 ; 7.343 ; 720.214.518 ; 13.151 ; 1.369.802.343 ; 4.266 ; 1.469.934.346 ; 19.524 ; 1.242.551.531 ; 23.790 ; 2.712.485.877 ; 36.941 ; 4.082.288.220 
37;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO; 5 ; 56.348.307 ; 56 ; 26.806.640 ; 83 ; 1.150.941.472 ; 123 ; 778.770.583 ; 267 ; 2.012.867.002 ; 72 ; 634.632.931 ; 76 ; 1.038.361.789 ; 148 ; 1.672.994.720 ; 415 ; 3.685.861.722 
38;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 531 ; 367.138.051 ; 1.317 ; 130.751.299 ; 110 ; 521.483.250 ; 1.861 ; 778.587.362 ; 3.819 ; 1.797.959.963 ; 265 ; 902.658.978 ; 219 ; 916.464.644 ; 484 ; 1.819.123.622 ; 4.303 ; 3.617.083.585 
39;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 434 ; 383.291.884 ; 1.515 ; 256.590.976 ; 731 ; 431.353.848 ; 856 ; 444.637.645 ; 3.536 ; 1.515.874.352 ; 679 ; 955.658.644 ; 698 ; 1.138.558.106 ; 1.377 ; 2.094.216.750 ; 4.913 ; 3.610.091.102 
40;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 1.378 ; 677.105.461 ; 1.986 ; 753.926.020 ; 3.364 ; 1.431.031.481 ; 138 ; 964.689.654 ; 491 ; 972.590.000 ; 629 ; 1.937.279.654 ; 3.993 ; 3.368.311.135 
41;03.532.415;BANCO ABN AMRO S.A.; 74 ; 307.331.139 ;;; 301 ; 1.207.574.735 ; 380 ; 1.193.768.849 ; 755 ; 2.708.674.723 ; 34 ; 56.469.820 ; 90 ; 379.434.308 ; 124 ; 435.904.128 ; 879 ; 3.144.578.851 
42;10.690.848;BANCO DA CHINA BRASIL S.A.; 275 ; 149.444.105 ; 150 ; 114.219.735 ; 143 ; 800.264.516 ; 368 ; 283.562.169 ; 936 ; 1.347.490.525 ; 215 ; 281.982.237 ; 230 ; 834.005.911 ; 445 ; 1.115.988.147 ; 1.381 ; 2.463.478.672 
43;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 6.610 ; 517.293.429 ; 8.992 ; 417.591.851 ; 3.331 ; 222.529.035 ; 10.280 ; 246.744.699 ; 29.213 ; 1.404.159.013 ; 333 ; 410.839.578 ; 303 ; 481.125.805 ; 636 ; 891.965.383 ; 29.849 ; 2.296.124.396 
44;58.616.418;BANCO FIBRA S.A.; 579 ; 414.152.492 ; 3.581 ; 456.927.860 ; 543 ; 324.879.670 ; 2.140 ; 280.539.325 ; 6.843 ; 1.476.499.346 ; 202 ; 343.421.994 ; 146 ; 387.663.261 ; 348 ; 731.085.255 ; 7.191 ; 2.207.584.601 
45;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 1.197 ; 24.921.979 ; 5.463 ; 135.137.892 ; 11.986 ; 132.806.780 ; 22.791 ; 426.912.370 ; 41.437 ; 719.779.021 ; 23.025 ; 813.903.737 ; 1.622 ; 408.876.514 ; 24.647 ; 1.222.780.252 ; 66.084 ; 1.942.559.272 
