Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Jun/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
57;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES; 130 ; 33.134.955 ; 3 ; 409.408 ; 22 ; 311.950 ; 46 ; 498.232 ; 201 ; 34.354.545 ; 156 ; 234.525.021 ; 195 ; 268.585.000 ; 351 ; 503.110.021 ; 552 ; 537.464.566 ;
58;28.127.603;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO; 3.962 ; 123.102.159 ; 1.611 ; 56.747.930 ; 378 ; 4.951.587 ; 1.270 ; 9.056.974 ; 7.221 ; 193.858.649 ; 169 ; 139.722.341 ; 332 ; 200.041.136 ; 501 ; 339.763.477 ; 7.722 ; 533.622.127 ;
59;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;; 662 ; 818.157 ; 5.126 ; 21.313.220 ; 5.788 ; 22.131.377 ; 2.349 ; 265.711.184 ; 510 ; 245.183.515 ; 2.859 ; 510.894.699 ; 8.647 ; 533.026.076 ;
60;03.532.415;BANCO ABN AMRO S.A.; 72 ; 173.676.053 ;;; 36 ; 79.542.302 ; 93 ; 5.222.663 ; 201 ; 258.441.019 ; 11 ; 9.109.000 ; 88 ; 255.280.000 ; 99 ; 264.389.000 ; 300 ; 522.830.019 ;
61;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 1 ; 5.000.000 ; 2 ; 14.666 ; 421 ; 56.440.611 ; 368 ; 64.545.751 ; 792 ; 126.001.028 ; 90 ; 194.910.621 ; 89 ; 192.985.434 ; 179 ; 387.896.055 ; 971 ; 513.897.083 ;
62;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 70 ; 1.856.204 ; 1.026 ; 39.756.582 ; 367 ; 144.241.192 ; 2.201 ; 73.709.275 ; 3.664 ; 259.563.253 ; 1.131 ; 100.749.195 ; 2.001 ; 135.681.667 ; 3.132 ; 236.430.862 ; 6.796 ; 495.994.115 ;
63;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 18 ; 28.759.316 ; 41 ; 13.756.814 ; 67 ; 39.248.560 ; 517 ; 33.100.057 ; 643 ; 114.864.747 ; 81 ; 143.333.105 ; 101 ; 235.174.915 ; 182 ; 378.508.020 ; 825 ; 493.372.767 ;
64;12.586.596;MULTIMONEY CORRETORA DE CÂMBIO LTDA; 101 ; 4.016.632 ; 1.585 ; 28.635.020 ; 4.608 ; 23.998.072 ; 15.834 ; 87.091.809 ; 22.128 ; 143.741.532 ; 9.841 ; 218.278.706 ; 2.645 ; 130.495.668 ; 12.486 ; 348.774.374 ; 34.614 ; 492.515.906 ;
65;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 145 ; 2.989.034 ; 5.168 ; 144.854.804 ; 1.939 ; 18.866.404 ; 6.671 ; 66.669.850 ; 13.923 ; 233.380.093 ; 7.749 ; 223.161.522 ; 842 ; 33.488.584 ; 8.591 ; 256.650.106 ; 22.514 ; 490.030.199 ;
66;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 87 ; 32.674.341 ; 428 ; 86.405.128 ; 288 ; 98.079.574 ; 424 ; 54.471.170 ; 1.227 ; 271.630.213 ; 268 ; 110.087.512 ; 119 ; 100.836.349 ; 387 ; 210.923.861 ; 1.614 ; 482.554.074 ;
