Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Set/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
35;13.059.145;BEXS BANCO DE CÂMBIO S/A; 209 ; 1.051.887.797 ; 428 ; 15.838.247 ; 1.314 ; 225.818.070 ; 3.629 ; 1.029.489.225 ; 5.580 ; 2.323.033.339 ; 1.473 ; 1.052.799.129 ; 757 ; 1.285.679.679 ; 2.230 ; 2.338.478.808 ; 7.810 ; 4.661.512.147 
36;71.027.866;BANCO BONSUCESSO S.A.; 437 ; 56.869.240 ; 1.870 ; 98.046.798 ; 4.394 ; 566.835.950 ; 8.262 ; 766.428.828 ; 14.963 ; 1.488.180.816 ; 4.496 ; 1.604.868.058 ; 21.371 ; 1.367.004.420 ; 25.867 ; 2.971.872.478 ; 40.830 ; 4.460.053.294 
37;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO; 5 ; 56.348.307 ; 78 ; 41.564.245 ; 89 ; 1.244.396.506 ; 133 ; 873.097.019 ; 305 ; 2.215.406.077 ; 84 ; 687.921.686 ; 83 ; 1.074.203.039 ; 167 ; 1.762.124.724 ; 472 ; 3.977.530.801 
38;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 592 ; 422.703.437 ; 1.469 ; 159.422.082 ; 115 ; 522.114.534 ; 2.076 ; 802.438.313 ; 4.252 ; 1.906.678.367 ; 298 ; 960.727.624 ; 241 ; 1.028.135.185 ; 539 ; 1.988.862.808 ; 4.791 ; 3.895.541.175 
39;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 475 ; 428.574.931 ; 1.666 ; 293.118.542 ; 813 ; 445.785.417 ; 949 ; 473.538.159 ; 3.903 ; 1.641.017.049 ; 773 ; 1.033.453.133 ; 788 ; 1.210.866.281 ; 1.561 ; 2.244.319.414 ; 5.464 ; 3.885.336.463 
40;03.532.415;BANCO ABN AMRO S.A.; 88 ; 348.331.139 ;;; 359 ; 1.338.117.160 ; 444 ; 1.330.790.413 ; 891 ; 3.017.238.711 ; 39 ; 68.469.820 ; 102 ; 425.934.308 ; 141 ; 494.404.128 ; 1.032 ; 3.511.642.839 
41;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 1.501 ; 711.197.073 ; 2.145 ; 774.703.560 ; 3.646 ; 1.485.900.633 ; 149 ; 973.853.263 ; 534 ; 995.040.000 ; 683 ; 1.968.893.263 ; 4.329 ; 3.454.793.895 
42;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 7.249 ; 554.194.354 ; 10.112 ; 469.139.482 ; 3.687 ; 254.598.896 ; 11.377 ; 298.419.654 ; 32.425 ; 1.576.352.385 ; 393 ; 476.953.507 ; 327 ; 515.886.542 ; 720 ; 992.840.050 ; 33.145 ; 2.569.192.435 
43;10.690.848;BANCO DA CHINA BRASIL S.A.; 279 ; 149.712.454 ; 179 ; 134.332.458 ; 164 ; 807.431.920 ; 435 ; 307.711.435 ; 1.057 ; 1.399.188.267 ; 252 ; 326.729.005 ; 245 ; 842.008.940 ; 497 ; 1.168.737.945 ; 1.554 ; 2.567.926.212 
44;58.616.418;BANCO FIBRA S.A.; 683 ; 440.513.449 ; 4.013 ; 512.731.000 ; 597 ; 336.429.017 ; 2.365 ; 311.085.467 ; 7.658 ; 1.600.758.933 ; 228 ; 406.694.078 ; 168 ; 395.933.615 ; 396 ; 802.627.693 ; 8.054 ; 2.403.386.625 
45;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 1.362 ; 27.601.056 ; 6.152 ; 152.408.793 ; 13.574 ; 147.979.053 ; 25.449 ; 466.530.347 ; 46.537 ; 794.519.248 ; 25.399 ; 890.131.997 ; 1.842 ; 446.423.545 ; 27.241 ; 1.336.555.542 ; 73.778 ; 2.131.074.791 
46;15.114.366;BANCO BBM S/A; 235 ; 161.286.501 ; 51 ; 5.170.338 ; 196 ; 461.833.152 ; 849 ; 428.732.051 ; 1.331 ; 1.057.022.042 ; 67 ; 431.561.953 ; 88 ; 624.563.946 ; 155 ; 1.056.125.899 ; 1.486 ; 2.113.147.941 
