Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em OUTUBRO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
36;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 179 ; 60.758.117 ; 784 ; 163.121.791 ; 364 ; 52.609.684 ; 644 ; 57.506.843 ; 1.971 ; 333.996.435 ; 131 ; 204.309.293 ; 127 ; 104.196.209 ; 258 ; 308.505.503 ; 2.229 ; 642.501.938 
37;71.027.866;BANCO BONSUCESSO S.A.; 69 ; 6.162.131 ; 341 ; 22.582.876 ; 758 ; 86.522.478 ; 1.294 ; 64.304.450 ; 2.462 ; 179.571.935 ; 333 ; 220.102.301 ; 2.999 ; 225.952.575 ; 3.332 ; 446.054.876 ; 5.794 ; 625.626.811 
38;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 65 ; 97.624.656 ;;; 108 ; 182.013.699 ; 41 ; 66.631.575 ; 214 ; 346.269.931 ; 1 ; 66.020 ; 7 ; 150.750.000 ; 8 ; 150.816.020 ; 222 ; 497.085.951 
39;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 52 ; 21.595.043 ; 156 ; 17.540.712 ; 106 ; 48.084.097 ; 114 ; 66.422.284 ; 428 ; 153.642.137 ; 86 ; 105.777.864 ; 83 ; 89.044.086 ; 169 ; 194.821.950 ; 597 ; 348.464.086 
40;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 21 ; 11.276.363 ; 50 ; 19.286.658 ; 217 ; 25.326.737 ; 531 ; 126.185.127 ; 819 ; 182.074.885 ; 114 ; 120.232.204 ; 15 ; 11.270.664 ; 129 ; 131.502.867 ; 948 ; 313.577.752 
41;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 177 ; 52.699.471 ; 418 ; 149.506.260 ; 595 ; 202.205.731 ; 70 ; 101.500.000 ; 5 ; 4.491.125 ; 75 ; 105.991.125 ; 670 ; 308.196.856 
42;03.012.230;HIPERCARD BANCO MÚLTIPLO S.A.;;;;;;; 1 ; 23.752.033 ; 1 ; 23.752.033 ; 1 ; 134.480.904 ; 1 ; 134.847.218 ; 2 ; 269.328.122 ; 3 ; 293.080.155 
43;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 25 ; 71.676.499 ; 18 ; 74.379.565 ; 43 ; 146.056.064 ; 16 ; 74.064.365 ; 21 ; 71.345.082 ; 37 ; 145.409.447 ; 80 ; 291.465.511 
44;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 291 ; 3.902.351 ; 767 ; 19.746.506 ; 1.900 ; 19.686.320 ; 3.404 ; 59.765.098 ; 6.362 ; 103.100.275 ; 3.272 ; 120.634.245 ; 267 ; 64.831.089 ; 3.539 ; 185.465.334 ; 9.901 ; 288.565.609 
45;30.723.886;BANCO MODAL S.A.; 12 ; 13.641.838 ; 106 ; 15.309.667 ; 134 ; 80.822.052 ; 164 ; 41.703.967 ; 416 ; 151.477.523 ; 20 ; 43.096.785 ; 10 ; 75.019.234 ; 30 ; 118.116.018 ; 446 ; 269.593.541 
46;58.616.418;BANCO FIBRA S.A.; 118 ; 78.439.808 ; 375 ; 50.718.406 ; 44 ; 6.863.324 ; 220 ; 10.692.442 ; 757 ; 146.713.980 ; 16 ; 33.380.427 ; 18 ; 45.473.429 ; 34 ; 78.853.856 ; 791 ; 225.567.836 
47;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 947 ; 54.557.727 ; 1.362 ; 63.209.378 ; 520 ; 7.794.978 ; 1.370 ; 18.334.719 ; 4.199 ; 143.896.802 ; 58 ; 48.662.979 ; 38 ; 26.370.178 ; 96 ; 75.033.157 ; 4.295 ; 218.929.959 
48;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;;;;; 2 ; 268.179 ; 15 ; 635.713 ; 17 ; 903.892 ; 9 ; 106.632.295 ; 8 ; 105.633.565 ; 17 ; 212.265.860 ; 34 ; 213.169.752 
49;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 11 ; 3.954.000 ; 14 ; 745.711 ; 2.238 ; 95.920.532 ; 87 ; 5.118.015 ; 2.350 ; 105.738.258 ; 55 ; 5.390.186 ; 112 ; 99.511.075 ; 167 ; 104.901.262 ; 2.517 ; 210.639.520 
50;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 11 ; 36.356 ; 29 ; 309.367 ; 895 ; 41.336.041 ; 6.034 ; 72.973.554 ; 6.969 ; 114.655.318 ; 551 ; 53.345.319 ; 731 ; 15.656.832 ; 1.282 ; 69.002.151 ; 8.251 ; 183.657.468 
51;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 238 ; 5.290.445 ; 1.728 ; 28.949.273 ; 2.030 ; 15.840.347 ; 5.201 ; 37.494.419 ; 9.197 ; 87.574.484 ; 771 ; 66.699.289 ; 203 ; 21.321.934 ; 974 ; 88.021.223 ; 10.171 ; 175.595.707 
52;59.118.133;BANCO LUSO BRASILEIRO S.A.; 61 ; 6.005.249 ; 387 ; 36.789.699 ; 98 ; 30.075.673 ; 224 ; 25.609.267 ; 770 ; 98.479.887 ; 342 ; 45.667.191 ; 97 ; 19.206.398 ; 439 ; 64.873.589 ; 1.209 ; 163.353.477 
53;33.923.798;BANCO MÁXIMA S.A.; 18 ; 44.362.758 ; 68 ; 3.104.175 ; 394 ; 18.372.959 ; 6.868 ; 31.681.443 ; 7.348 ; 97.521.335 ; 28 ; 24.591.079 ; 18 ; 38.162.512 ; 46 ; 62.753.591 ; 7.394 ; 160.274.926 
54;07.237.373;BANCO DO NORDESTE DO BRASIL S.A.; 31 ; 60.998.108 ; 40 ; 3.122.080 ; 19 ; 727.919 ; 27 ; 8.190.106 ; 117 ; 73.038.212 ; 28 ; 13.029.775 ; 27 ; 63.486.347 ; 55 ; 76.516.121 ; 172 ; 149.554.334 
55;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 45 ; 577.571 ; 271 ; 3.597.754 ; 1.405 ; 9.355.589 ; 4.824 ; 66.413.327 ; 6.545 ; 79.944.242 ; 1.198 ; 60.278.927 ; 4 ; 73.558 ; 1.202 ; 60.352.485 ; 7.747 ; 140.296.728 
56;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 868 ; 8.569.816 ; 4.041 ; 67.074.462 ; 4.909 ; 75.644.278 ; 3.709 ; 57.900.181 ; 12 ; 160.000 ; 3.721 ; 58.060.182 ; 8.630 ; 133.704.459 
57;15.114.366;BANCO BBM S/A; 25 ; 34.185.129 ; 16 ; 4.045.305 ; 17 ; 28.195.857 ; 122 ; 15.705.033 ; 180 ; 82.131.324 ; 5 ; 590.311 ; 11 ; 50.589.404 ; 16 ; 51.179.715 ; 196 ; 133.311.039 
58;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 112 ; 124.407 ; 327 ; 1.202.563 ; 439 ; 1.326.970 ; 735 ; 65.524.759 ; 441 ; 64.437.990 ; 1.176 ; 129.962.750 ; 1.615 ; 131.289.719 
59;13.720.915;BANCO WESTERN UNION DO BRASIL S.A.;;;;;;; 1 ; 1.138 ; 1 ; 1.138 ; 71 ; 62.713.578 ; 148 ; 62.684.434 ; 219 ; 125.398.012 ; 220 ; 125.399.150 
60;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 13 ; 20.885.000 ; 15 ; 27.891.286 ;;; 86 ; 12.794.028 ; 114 ; 61.570.314 ; 12 ; 38.400.000 ; 4 ; 22.500.000 ; 16 ; 60.900.000 ; 130 ; 122.470.314 
61;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 105 ; 1.733.776 ; 1.393 ; 28.969.896 ; 708 ; 10.001.524 ; 2.570 ; 29.126.065 ; 4.776 ; 69.831.261 ; 2.059 ; 48.926.685 ; 11 ; 2.499.526 ; 2.070 ; 51.426.210 ; 6.846 ; 121.257.471 
62;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 1 ; 11.600.000 ; 1 ; 5.866 ; 11 ; 47.243.990 ; 20 ; 927.051 ; 33 ; 59.776.907 ; 2 ; 1.700.000 ; 6 ; 59.670.000 ; 8 ; 61.370.000 ; 41 ; 121.146.907 
63;03.609.817;BANCO CARGILL S.A.; 32 ; 50.238.492 ; 1 ; 1.442.175 ; 3 ; 2.286.632 ; 37 ; 5.698.079 ; 73 ; 59.665.378 ;;; 4 ; 42.000.000 ; 4 ; 42.000.000 ; 77 ; 101.665.378 
64;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 3 ; 1.352.383 ; 10 ; 2.766.618 ; 9 ; 15.997.752 ; 93 ; 2.600.706 ; 115 ; 22.717.459 ; 7 ; 34.251.250 ; 8 ; 44.257.080 ; 15 ; 78.508.330 ; 130 ; 101.225.789 
65;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 664 ; 33.722.458 ; 449 ; 12.173.088 ; 318 ; 7.814.692 ; 273 ; 22.064.883 ; 1.704 ; 75.775.121 ; 19 ; 8.592.139 ; 18 ; 15.705.173 ; 37 ; 24.297.312 ; 1.741 ; 100.072.433 
66;10.690.848;BANCO DA CHINA BRASIL S.A.; 35 ; 2.773.078 ; 15 ; 2.819.838 ; 14 ; 17.860.630 ; 80 ; 32.956.824 ; 144 ; 56.410.370 ; 35 ; 29.290.497 ; 12 ; 14.120.857 ; 47 ; 43.411.354 ; 191 ; 99.821.724 
67;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 26 ; 519.552 ; 423 ; 6.676.932 ; 555 ; 5.856.843 ; 2.014 ; 23.558.555 ; 3.018 ; 36.611.882 ; 2.353 ; 41.247.425 ; 243 ; 17.390.282 ; 2.596 ; 58.637.707 ; 5.614 ; 95.249.589 
68;07.679.404;BANCO TOPÁZIO S.A.; 1 ; 4.711 ; 27 ; 1.858.324 ; 52 ; 2.140.257 ; 163 ; 41.716.245 ; 243 ; 45.719.536 ; 101 ; 41.761.563 ; 3 ; 323.913 ; 104 ; 42.085.475 ; 347 ; 87.805.012 
69;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 175 ; 3.519.772 ; 1.166 ; 28.567.711 ; 473 ; 6.290.545 ; 894 ; 9.799.069 ; 2.708 ; 48.177.098 ; 447 ; 32.341.449 ; 27 ; 3.773.483 ; 474 ; 36.114.932 ; 3.182 ; 84.292.030 
70;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 1 ; 10.296 ; 91 ; 27.005.205 ; 69 ; 10.945.615 ; 183 ; 3.772.386 ; 344 ; 41.733.501 ; 66 ; 30.592.839 ; 15 ; 10.943.000 ; 81 ; 41.535.839 ; 425 ; 83.269.340 
