Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mar/2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
46;00.360.305;CAIXA ECONOMICA FEDERAL; 309 ; 122.873.667 ; 251 ; 10.025.908 ; 21.750 ; 125.947.840 ; 9.149 ; 210.545.998 ; 31.459 ; 469.393.413 ; 502 ; 240.221.089 ; 522 ; 239.111.828 ; 1.024 ; 479.332.916 ; 32.483 ; 948.726.330 ;
47;33.923.798;BANCO MASTER S/A; 158 ; 177.690.390 ; 332 ; 33.015.345 ; 6.399 ; 160.393.548 ; 873 ; 54.181.320 ; 7.762 ; 425.280.602 ; 36 ; 120.260.560 ; 81 ; 338.927.717 ; 117 ; 459.188.277 ; 7.879 ; 884.468.879 ;
48;28.811.341;STONEX BANCO DE CÂMBIO S.A.; 245 ; 41.768.523 ; 147 ; 10.814.821 ; 11.813 ; 354.331.894 ; 582 ; 34.591.756 ; 12.787 ; 441.506.994 ; 150 ; 26.705.873 ; 495 ; 377.398.994 ; 645 ; 404.104.867 ; 13.432 ; 845.611.861 ;
49;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 21 ; 66.255.463 ; 8 ; 977.351 ; 20 ; 12.030.913 ; 53 ; 119.309.362 ; 102 ; 198.573.089 ; 31 ; 325.089.073 ; 69 ; 282.798.088 ; 100 ; 607.887.160 ; 202 ; 806.460.250 ;
50;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 482 ; 12.780.849 ; 4.191 ; 106.568.182 ; 6.229 ; 123.148.092 ; 13.390 ; 187.539.977 ; 24.292 ; 430.037.100 ; 1.471 ; 237.771.519 ; 378 ; 79.534.654 ; 1.849 ; 317.306.173 ; 26.141 ; 747.343.273 ;
51;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 19 ; 227.994.506 ; 25 ; 5.166.571 ; 45 ; 45.114.466 ; 71 ; 18.014.702 ; 160 ; 296.290.245 ; 13 ; 46.788.648 ; 41 ; 297.413.953 ; 54 ; 344.202.601 ; 214 ; 640.492.846 ;
52;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 919 ; 168.213.755 ; 979 ; 90.943.573 ; 1.673 ; 41.405.333 ; 1.875 ; 50.419.428 ; 5.446 ; 350.982.089 ; 92 ; 79.369.975 ; 146 ; 146.420.882 ; 238 ; 225.790.857 ; 5.684 ; 576.772.947 ;
53;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 39 ; 78.577.382 ; 126 ; 226.618.264 ; 165 ; 305.195.645 ; 19 ; 200.205.041 ; 3 ; 53.100.000 ; 22 ; 253.305.041 ; 187 ; 558.500.686 ;
54;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 450 ; 10.441.844 ; 2.128 ; 70.732.182 ; 42.843 ; 81.782.528 ; 102.754 ; 142.986.197 ; 148.175 ; 305.942.752 ; 4.744 ; 177.980.238 ; 358 ; 56.420.425 ; 5.102 ; 234.400.663 ; 153.277 ; 540.343.415 ;
55;61.024.352;BANCO VOITER S.A.; 50 ; 67.976.976 ; 268 ; 99.003.962 ; 640 ; 106.043.049 ; 2.016 ; 138.897.537 ; 2.974 ; 411.921.523 ; 108 ; 98.440.463 ; 94 ; 28.448.547 ; 202 ; 126.889.010 ; 3.176 ; 538.810.533 ;
